### Table 1: Collected Binary Executables in Our Benchmark

| **Category** | **Programs** |
|--------------|--------------|
| File Management | File Encryptor, File Compressor |
| Security Tools | Password Manager, SSH Client, Ransomware, Protection, UPX, Themida, Dynamic DLL |
| Communication | Messenger, Proxy Client |
| Media | Picture Browser |
| Document Handling | PDF Parser |
| Proprietary Programs | Cryptochief, Imagine, UltraSurf, WinRAR |
| Benign Programs with Code Protection | Ccrypt, Imagine, UltraSurf |
| Malware Samples | Sage, WannaCry |

### 6. Evaluation

We have tested K-Hunt with 10 popular cryptographic libraries and 15 real-world programs, identifying many insecure keys among these programs. In this section, we present our evaluation results. We first describe our experimental setup in §6.1, then present the detection results for cryptographic keys in §6.2, and finally detail the identified insecure keys in §6.3.

#### 6.1. Experimental Setup

To the best of our knowledge, there are no standard benchmarks that cover widely used cryptographic algorithms. Therefore, we created a benchmark, detailed in Table 1, which includes recent versions of 10 cryptographic libraries and 15 real-world programs that use cryptographic operations. Our collected benchmark suite includes:

- Popular standard symmetric ciphers (AES, Twofish)
- Asymmetric ciphers (RSA)
- Stream ciphers (RC4, ChaCha20)
- Digital signatures (DSA, ECDSA, Ed25519)
- Different key sizes for the same algorithm (e.g., AES-128, AES-256)
- One proprietary cipher (Cryptochief)
- Proprietary programs for which we do not have access to the source code (Cryptochief, Imagine, UltraSurf, WinRAR)
- Benign programs that use binary code protection techniques such as code packing (Ccrypt, Imagine, UltraSurf)
- Two samples from recent ransomware families (Sage, WannaCry)

For each cryptographic library, we developed test programs to encrypt/decrypt using AES and RSA, and to sign/verify using ECDSA. Since Libsodium does not support RSA and ECDSA, we included the Ed25519 digital signature instead.

For each program, we manually built the ground truth regarding their key management using the program’s source code (when available) or by reverse-engineering the executables (for proprietary programs and malware). Note that for programs where the source code is available, we only used the source code to build the ground truth. K-Hunt operates on executables.

### Table 2: Key Sizes and Algorithms Used in the Benchmark

| **Algorithm** | **Key Size (bits)** | **Botan** | **Crypto++** | **Libgcrypt** | **LibSodium** | **LibTomcrypt** | **Nettle** | **mbedTLS** | **OpenSSL** | **WolfSSL** | **7-zip** | **Ccrypt** | **Cryptcat** | **Cryptochief** | **Enpass** | **Imagine** | **IpMsg** | **Keepass** | **MuPDF** | **PSCP** | **Sage** | **UltraSurf** | **WannaCry** | **Wget** | **WinRAR** |
|---------------|---------------------|-----------|--------------|---------------|---------------|-----------------|------------|-------------|-------------|-------------|-----------|------------|---------------|----------------|------------|-------------|-----------|-------------|-----------|----------|----------|---------------|--------------|---------|-------------|
| AES-256       | 256                 | 53        | 13           | 7             | 1             | 1               | 1          | 2           | 240         | 240         | 240       | 240        | 240           | 240            | 240        | 240         | 240       | 240         | 240       | 240      | 240      | 240           | 240          | 240     | 240         |
| RSA-2048      | 2048                | 1180      | 569          | 162           | 6             | 6               | 6          | 6           | 1024        | 1024        | 1024      | 1024       | 1024          | 1024           | 1024       | 1024        | 1024      | 1024        | 1024      | 1024     | 1024     | 1024          | 1024         | 1024    | 1024        |
| ECDSA         | 224                 | 958       | 921          | 300           | 2             | 2               | 2          | 2           | 224         | 224         | 224       | 224        | 224           | 224            | 224        | 224         | 224       | 224         | 224       | 224      | 224      | 224           | 224          | 224     | 224         |
| AES NI-256    | 256                 | 1281      | 26           | 5             | 1             | 1               | 1          | 1           | 240         | 240         | 240       | 240        | 240           | 240            | 240        | 240         | 240       | 240         | 240       | 240      | 240      | 240           | 240          | 240     | 240         |
| Ed25519       | 256                 | 1949      | 924          | 214           | 1             | 1               | 1          | 1           | 288         | 288         | 288       | 288        | 288           | 288            | 288        | 288         | 288       | 288         | 288       | 288      | 288      | 288           | 288          | 288     | 288         |
| AES-256       | 256                 | 126       | 25           | 3             | 1             | 1               | 1          | 1           | 896         | 896         | 896       | 896        | 896           | 896            | 896        | 896         | 896       | 896         | 896       | 896      | 896      | 896           | 896          | 896     | 896         |
| RSA-2048      | 2048                | 565       | 463          | 153           | 6             | 6               | 6          | 6           | 1152        | 1152        | 1152      | 1152       | 1152          | 1152           | 1152       | 1152        | 1152      | 1152        | 1152      | 1152     | 1152     | 1152          | 1152         | 1152    | 1152        |
| ECDSA         | 224                 | 340       | 322          | 49            | 1             | 1               | 1          | 1           | 320         | 320         | 320       | 320        | 320           | 320            | 320        | 320         | 320       | 320         | 320       | 320      | 320      | 320           | 320          | 320     | 320         |
| AES-256       | 256                 | 7         | 4            | 4             | 1             | 1               | 1          | 1           | 288         | 288         | 288       | 288        | 288           | 288            | 288        | 288         | 288       | 288         | 288       | 288      | 288      | 288           | 288          | 288     | 288         |
| Ed25519       | 256                 | 690       | 686          | 171           | 1             | 1               | 1          | 1           | 240         | 240         | 240       | 240        | 240           | 240            | 240        | 240         | 240       | 240         | 240       | 240      | 240      | 240           | 240          | 240     | 240         |
| AES-256       | 256                 | 60        | 43           | 4             | 1             | 1               | 1          | 1           | 1152        | 1152        | 1152      | 1152       | 1152          | 1152           | 1152       | 1152        | 1152      | 1152        | 1152      | 1152     | 1152     | 1152          | 1152         | 1152    | 1152        |
| RSA-2048      | 2048                | 404       | 385          | 69            | 6             | 6               | 6          | 6           | 128         | 128         | 128       | 128        | 128           | 128            | 128        | 128         | 128       | 128         | 128       | 128      | 128      | 128           | 128          | 128     | 128         |
| ECDSA         | 224                 | 330       | 274          | 72            | 1             | 1               | 1          | 1           | 288         | 288         | 288       | 288        | 288           | 288            | 288        | 288         | 288       | 288         | 288       | 288      | 288      | 288           | 288          | 288     | 288         |
| AES-256       | 256                 | 38        | 13           | 3             | 1             | 1               | 1          | 1           | 1152        | 1152        | 1152      | 1152       | 1152          | 1152           | 1152       | 1152        | 1152      | 1152        | 1152      | 1152     | 1152     | 1152          | 1152         | 1152    | 1152        |
| RSA-2048      | 2048                | 411       | 87           | 61            | 6             | 6               | 6          | 6           | 1664        | 1664        | 1664      | 1664       | 1664          | 1664           | 1664       | 1664        | 1664      | 1664        | 1664      | 1664     | 1664     | 1664          | 1664         | 1664    | 1664        |
