**问题：反弹 shell 的常用命令？一般常反弹哪一种 shell？为什么？**

**回答：**

1. 常用的反弹shell命令包括：
   - **Windows系统**：`psexec.exe`
   - **Linux/macOS系统**：`nc`（Netcat）或`expect`脚本

2. 通常，选择哪种反弹shell工具取决于目标系统的类型，以提高成功率和隐蔽性。

3. 对于Windows系统，默认情况下无法直接执行Bash等类Unix风格的命令行程序。因此，在进行反弹shell时，可能会使用其他替代方案来绕过这个问题。

4. 具体到哪种类型的shell更常见，这主要取决于攻击者的偏好、技术能力和所使用的漏洞利用工具的特点等因素。一般来说，`nc`（Netcat）是首选的反弹shell工具，原因如下：
   - **跨平台支持**：`nc`可以在多种不同的操作系统中运行。
   - **灵活性**：它支持TCP/IP协议栈中的所有层次，从应用层到数据链路层，并可用于任意两个进程之间的双向通信。
   - **日志输出**：具有可读性强的日志输出选项，便于调试和监控。
   - **配置灵活**：可以灵活地指定通信端口和其他参数来进行定制化配置。

5. 另外，由于`nc`具有很高的灵活性和可控性，可以通过修改其行为模式来适应特定的需求或环境限制条件。例如，通过调整连接参数或使用不同的传输协议，可以在各种网络环境中实现可靠的反弹shell连接。

综上所述，`nc`因其跨平台支持、灵活性和强大的功能而成为反弹shell操作中的常用工具。
