### Default Passwords and Device Types

The Mirai malware, as of its 09/30/2016 source code release, included 46 unique default passwords. These passwords were often associated with specific device types and vendors. The following tables list some of the identified default passwords and their corresponding device types.

**Table 5: Default Passwords and Device Types**

| **Device Type** | **Password** |
|-----------------|--------------|
| ACTi IP Camera  | admin        |
| ANKO Products DVR | klv1234      |
| Axis IP Camera  | meinsm       |
| Dahua DVR       | system       |
| Dahua IP Camera | admin        |
| Dreambox TV Receiver | jvbzd     |
| Guangzhou Juan Optical | hi3518    |
| H.224 Chinese DVR | realtek      |
| HiSilicon IP Camera | xmhdipc     |
| SMC Routers     | smcadmin     |
| Ubiquiti AirOS Router | ubnt      |
| VideoIQ         | ikwb         |
| Vivotek IP Camera | supervisor  |

**Additional Passwords and Device Types**

| **Device Type** | **Password** |
|-----------------|--------------|
| Xerox Printer   | 1111         |
| ZTE Router      | Zte521       |
| Unknown         | 1234         |
| Unknown         | 12345        |
| Unknown         | admin1234    |
| Unknown         | default      |
| Unknown         | fucker       |
| Unknown         | guest        |
| Unknown         | password     |
| Unknown         | root         |
| Unknown         | service      |
| Unknown         | support      |
| Unknown         | tech         |
| Unknown         | user         |
| Unknown         | zlxx.        |

### Analysis of Infected Devices

Mirai primarily targeted IP cameras, DVRs, and consumer routers. However, the actual breakdown of infected devices in the wild may differ from the intended targets. We used Censys to collect device banners and determine the models and manufacturers of infected devices. Our results across all five protocols (Telnet, HTTPS, FTP, SSH, and CWMP) indicate that security cameras, DVRs, and consumer routers represent the majority of Mirai infections.

**Table 6: Top Mirai Device Types**

| **Protocol** | **Device Type** | **Percentage** |
|--------------|-----------------|----------------|
| CWMP (28.30%) | Router          | 4.7%           |
|              | Camera/DVR      | 95.3%          |
| Telnet (26.44%) | Router         | 17.4%          |
|              | Storage         | 9.4%           |
|              | Firewall        | 0.1%           |
|              | Other           | 73.1%          |
| HTTPS (19.13%) | Router         | 36.8%          |
|              | Storage         | 6.3%           |
|              | Media           | 0.1%           |
|              | Other           | 56.4%          |
| FTP (17.82%) | Router          | 49.5%          |
|              | Storage         | 1.0%           |
|              | Security        | 0.4%           |
|              | Other           | 49.0%          |
| SSH (8.31%) | Router          | 49.5%          |
|              | Storage         | 1.0%           |
|              | Firewall        | 0.4%           |
|              | Security        | 0.1%           |
|              | Other           | 49.0%          |

**Table 7: Top Mirai Device Vendors**

| **Protocol** | **Vendor** | **Percentage** |
|--------------|------------|----------------|
| CWMP (28.30%) | Huawei     | 3.6%           |
|              | ZTE        | 1.0%           |
| Telnet (26.44%) | Dahua     | 9.1%           |
|              | ZTE        | 6.7%           |
|              | Phicomm    | 1.2%           |
| HTTPS (19.13%) | Dahua     | 36.4%          |
|              | MultiTech  | 26.8%          |
|              | ZTE        | 4.3%           |
|              | ZyXEL      | 2.9%           |
|              | Huawei     | 1.6%           |
| FTP (17.82%) | D-Link     | 37.9%          |
|              | MikroTik   | 2.5%           |
|              | ipTIME     | 1.3%           |
| SSH (8.31%) | MikroTik   | 3.4%           |

### Longitudinal Analysis

Our longitudinal analysis of the top device vendors indicates modest stability, with a few notable exceptions. During the rapid growth phase in mid-September 2016 and the onset of CWMP in late November 2016, there were significant changes in the composition of infected devices. For example, during the rapid growth phase, consumer routers manufactured by ASUS, Netgear, and Zhone replaced D-Link routers and Controlbr DVRs in the top 20 devices. Dahua, Huawei, ZyXEL, and ZTE devices consistently remained in the top 20.

### Security Implications

Our data indicates that many of the world's top manufacturers of consumer electronics lacked sufficient security practices to mitigate threats like Mirai. These manufacturers will play a key role in ameliorating vulnerabilities. Unfortunately, the wide variety of devices spanned multiple countries and legal jurisdictions, making it challenging to coordinate technical fixes and implement new policies to safeguard consumers in the future.

### Bandwidth Analysis

To further confirm the composition of embedded devices, we examined the bandwidth of infected devices based on their scan rate. Starting with the observed scanning rate and volume on our network telescope, we extrapolated across the entire IPv4 Internet by factoring in the size of our network telescope (4.7 million IPs) and the size of Mirai’s default IP blacklist (340.2 million IPs). We found that about half of the Mirai bots that scanned our network telescope sent fewer than 10,000 scan packets. Additionally, the majority of bots scanned at an estimated rate below 250 bytes per second. This is a strict underestimate, as Mirai may have interrupted scanning to process C2 commands and conduct brute force login attempts. In contrast, SQL Slammer scanned at a rate of 1.5 megabytes/second.
