# G0047: Gamaredon Group

## Description
The [Gamaredon Group](https://attack.mitre.org/groups/G0047) is a threat actor that has been active since at least 2013. The group primarily targets individuals and entities associated with the Ukrainian government. (Citation: Palo Alto Gamaredon Feb 2017)

## Tactics, Techniques, and Procedures (TTPs)
Below is a detailed overview of the tactics, techniques, and procedures employed by the Gamaredon Group, along with relevant data sources for detection and analysis.

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/) | [Standard Application Layer Protocol](https://attack.mitre.org/techniques/T1071/) | The Gamaredon Group's file stealer can communicate over HTTP for command and control (C2). | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Linux, macOS, Windows | [Collection](https://attack.mitre.org/tactics/collection/) | [Data from Removable Media](https://attack.mitre.org/techniques/T1025/) | The file stealer can exfiltrate data from newly connected logical volumes, including USB drives. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Information Discovery](https://attack.mitre.org/techniques/T1082/) | The file stealer gathers the victim's computer name and drive serial numbers to send to the C2 server. | Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Exfiltration](https://attack.mitre.org/tactics/exfiltration/) | [Exfiltration Over Command and Control Channel](https://attack.mitre.org/techniques/T1041/) | The file stealer transfers collected files to a hardcoded C2 server. | User interface, Process monitoring |
| Windows, macOS | [Discovery](https://attack.mitre.org/tactics/discovery/) | [Peripheral Device Discovery](https://attack.mitre.org/techniques/T1120/) | Tools used by the Gamaredon Group include an application to check the performance of USB flash drives. | PowerShell logs, API monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/), [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/) | [Remote File Copy](https://attack.mitre.org/techniques/T1105/) | The tools are capable of downloading and executing additional payloads. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Linux, macOS, Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Owner/User Discovery](https://attack.mitre.org/techniques/T1033/) | The file stealer gathers the victim's username to send to the C2 server. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Execution](https://attack.mitre.org/tactics/execution/) | [Scripting](https://attack.mitre.org/techniques/T1064/) | The Gamaredon Group uses various batch scripts to establish C2, download additional files, and perform other functions. | Process monitoring, File monitoring, Process command-line parameters |

This table provides a comprehensive view of the Gamaredon Group's TTPs, enabling security teams to better understand and detect their activities.
