# G0004: Ke3chang

## Description
Ke3chang, a threat group believed to operate out of China, has targeted various industries, including oil, government, and military sectors. (Citations: Villeneuve et al 2014, NCC Group APT15 Alive and Strong, APT15 Intezer June 2018)

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | Defense Evasion | Masquerading | Ke3chang uses the right-to-left override character in spearphishing attachment names to trick targets into executing .scr and .exe files. | File monitoring, Process monitoring, Binary file metadata |
| Windows | Lateral Movement | Pass the Ticket | Ke3chang uses Mimikatz to generate Kerberos golden tickets. | Authentication logs |
| Windows | Persistence, Initial Access | External Remote Services | Ke3chang regains access after eviction via the corporate VPN solution with a stolen VPN certificate, extracted from a compromised host. | Authentication logs |
| Windows | Persistence | Registry Run Keys / Startup Folder | Several Ke3chang backdoors achieve persistence by adding a Run key. | Windows Registry, File monitoring |
| Windows, Office 365 | Collection | Email Collection | Ke3chang uses a .NET tool to dump data from Microsoft Exchange mailboxes. | Office 365 trace logs, Mail server, Email gateway, Authentication logs, File monitoring, Process monitoring, Process use of network |
| Linux, Windows, macOS, SaaS, AWS, GCP, Azure | Collection | Data from Information Repositories | Ke3chang uses a SharePoint enumeration and data dumping tool known as spwebmember. | Azure activity logs, AWS CloudTrail logs, Stackdriver logs, OAuth audit logs, Application logs, Authentication logs, Data loss prevention, Third-party application logs |
| Linux, macOS, Windows, GCP, Azure, AWS | Discovery | Remote System Discovery | Ke3chang uses network scanning and enumeration tools, including Ping. | Network protocol analysis, Process monitoring, Process use of network, Process command-line parameters |
| Linux, macOS, Windows | Command and Control | Standard Application Layer Protocol | Ke3chang malware RoyalCli and BS2005 communicate over HTTP with the C2 server through Internet Explorer (IE) using the COM interface IWebBrowser2. Additionally, Ke3chang malware RoyalDNS uses DNS for C2. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Windows | Persistence, Privilege Escalation | New Service | Ke3chang backdoor RoyalDNS establishes persistence by adding a service called Nwsapagent. | Windows Registry, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Collection, Credential Access | Input Capture | Ke3chang uses keyloggers. | Windows Registry, Kernel drivers, Process monitoring, API monitoring |
| Linux, macOS, Windows | Defense Evasion, Execution | Scripting | Ke3chang uses batch scripts in its malware to install persistence mechanisms. | Process monitoring, File monitoring, Process command-line parameters |
| Windows | Execution | Service Execution | Ke3chang uses a tool known as RemoteExec (similar to PsExec) to remotely execute batch scripts and binaries. | Windows Registry, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, GCP, AWS, Azure | Collection | Data from Local System | Ke3chang gathers information and files from local directories for exfiltration. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, Office 365, Azure AD | Discovery | Account Discovery | Ke3chang performs account discovery using commands such as `net localgroup administrators` and `net group "REDACTED" /domain` on specific permissions groups. | Azure activity logs, Office 365 account logs, API monitoring, Process monitoring, Process command-line parameters |
| Windows | Lateral Movement | Windows Admin Shares | Ke3chang actors copy files to the network shares of other computers to move laterally. | Process use of network, Authentication logs, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure | Discovery | System Information Discovery | Ke3chang performs operating system information discovery using `systeminfo`. | Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Process monitoring, Process command-line parameters |
| Windows | Discovery | System Service Discovery | Ke3chang performs service discovery using `net start` commands. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Exfiltration | Data Encrypted | Ke3chang uses RAR with passwords to encrypt data prior to exfiltration. | File monitoring, Process monitoring, Process command-line parameters, Binary file metadata |
| Linux, macOS, Windows, Office 365, Azure AD | Discovery | Permission Groups Discovery | Ke3chang performs discovery of permission groups using `net group /domain`. | Azure activity logs, Office 365 account logs, API monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Discovery | System Network Configuration Discovery | Ke3chang performs local network configuration discovery using `ipconfig`. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Discovery | File and Directory Discovery | Ke3chang uses command-line interaction to search files and directories. | File monitoring, Process monitoring, Process command-line parameters |
| Windows, Linux, macOS | Credential Access | Credential Dumping | Ke3chang dumps credentials, including by using Mimikatz. | API monitoring, Process monitoring, PowerShell logs, Process command-line parameters |
| Linux, macOS, Windows | Discovery | Process Discovery | Ke3chang performs process discovery using `tasklist` commands. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Exfiltration | Exfiltration Over Command and Control Channel | Ke3chang transfers compressed and encrypted RAR files containing exfiltrated data through the established backdoor command and control channel during operations. | User interface, Process monitoring |
| Linux, Windows, macOS | Exfiltration | Data Compressed | Ke3chang compresses data before exfiltration. | Binary file metadata, File monitoring, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows, AWS, GCP, Azure | Discovery | System Network Connections Discovery | Ke3chang performs local network connection discovery using `netstat`. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Execution | Command-Line Interface | Malware used by Ke3chang can run commands on the command-line interface. | Process monitoring, Process command-line parameters |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) employed by the Ke3chang threat group, along with the relevant data sources for detection and investigation.
