以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 2017年发布的漏洞赏金报告

| 标题及链接 | 作者 | 漏洞赏金项目 | 漏洞类型 | 奖励金额 | 发布日期 |
| --- | --- | --- | --- | --- | --- |
| [XSS on Bugcrowd and Many Other Websites' Main Domain](https://blog.witcoat.com/2018/05/30/xss-on-bugcrowd-and-so-many-other-websites-main-domain/) | [Bull](https://twitter.com/v0sx9b) | Bugcrowd | 反射型XSS | $600 | 2017-06-14 |
| [Metasploit Project中的漏洞（CVE-2017-5244）](https://www.seekurity.com/blog/general/metasploit-web-project-kill-all-running-tasks-csrf-cve-2017-5244/) | [Mohamed A. Baset](https://twitter.com/Hxzeroone) | Rapid7 | CSRF | - | 2017-06-12 |
| [GoDaddy XSS影响停放域名重定向器/处理器](https://www.seekurity.com/blog/write-ups/godaddy-xss-affects-parked-domains-redirector-processor/) | [Mohamed A. Baset](https://twitter.com/Hxzeroone) | GoDaddy | 反射型XSS | - | 2017-06-11 |
| [让我们窃取一些令牌吧！](https://www.seekurity.com/blog/general/lets-steal-some-tokens/) | [Mahmoud Gamal](https://twitter.com/Zombiehelp54) | Google, Shopify, 私有项目 | CSRF, XSS, 账户接管 | $1,000 | 2017-06-11 |
| [WhatsApp - iOS & Android中的DoS漏洞](https://medium.com/bugbountywriteup/whatsapp-dos-vulnerability-in-ios-android-d896f76d3253) | [Vishnu Prasad P G](https://twitter.com/vishnuprasadnta) | Facebook | DoS | $500 | 2017-06-07 |
| [从JS到另一个JS文件导致认证绕过](http://c0rni3sm.blogspot.com/2017/06/from-js-to-another-js-files-lead-to.html) | [@yappare](https://twitter.com/yappare) | - | 认证绕过 | - | 2017-06-06 |
| [我如何从Yahoo获得5,500美元的RCE奖励](https://medium.com/bugbountywriteup/how-i-got-5500-from-yahoo-for-rce-92fffb7145e6) | [Th3G3nt3lman](https://twitter.com/Th3G3nt3lman) | Yahoo | RCE | $5,500 | 2017-06-04 |
| [Django权限提升 - 从零到超级用户](https://seanmelia.files.wordpress.com/2017/06/django-privilege-escalation-e28093-zero-to-superuser.pdf) | [Sean Melia](https://twitter.com/seanmeals) | - | 权限提升 | - | 2017-06-01 |
| [从盲SSRF到HashiCorp Consul中的RCE](http://www.kernelpicnic.net/2017/05/29/Pivoting-from-blind-SSRF-to-RCE-with-Hashicorp-Consul.html) | [Peter Adkins](https://twitter.com/darkarnium) | - | 盲SSRF, RCE | - | 2017-05-29 |
| [Plotly中的两个漏洞：存储型XSS和AWS元数据SSRF](https://ysx.me.uk/a-pair-of-plotly-bugs-stored-xss-and-aws-metadata-ssrf/) | [Yasin Soliman (@SecurityYasin)](https://twitter.com/SecurityYasin) | Plotly | 存储型XSS, SSRF | - | 2017-05-25 |
| [为了乐趣而非利润而入侵NHS](https://medium.com/@nmalcolm/hacking-the-nhs-for-fun-and-no-profit-90931029dcb4) | [Nathan (@NathOnSecurity)](https://twitter.com/NathOnSecurity) | NHS | SQL注入, LFI | $0 | 2017-05-22 |
| [一次云基础本地文件包含 = 多家公司受影响](http://panchocosil.blogspot.com/2017/05/one-cloud-based-local-file-inclusion.html) | [Francisco Correa (@panchocosil)](https://twitter.com/panchocosil) | Oracle Responsys, Facebook, LinkedIn, Dropbox | 目录遍历 | - | 2017-05-17 |
| [查找任何Facebook用户的Mingle建议（重新审视）](https://philippeharewood.com/find-mingle-suggestions-for-any-facebook-user-revisited/) | [Philippe Harewood](https://twitter.com/phwd) | Facebook | 逻辑缺陷, 授权缺陷 | - | 2017-05-11 |
| [我得到了邮件 - G Suite漏洞](https://medium.com/@rojanrijal/i-got-emails-g-suite-vulnerability-917e1f6a91f6) | [Rojan Rijal](https://twitter.com/RojanRijal) | Google, Yelp, Facebook | 逻辑缺陷, 邮件接管 | - | 2017-05-05 |
| [检查元素导致Stripe账户锁定认证绕过](https://www.jonbottarini.com/2017/04/03/inspect-element-leads-to-stripe-account-lockout-authentication-bypass/) | [Jon Bottarini (@jon_bottarini)](https://twitter.com/jon_bottarini) | Stripe | 认证绕过 | $500 | 2017-04-03 |
| [Airbnb - Web到App手机通知IDOR以查看每个人的Airbnb消息](https://buer.haus/2017/03/31/airbnb-web-to-app-phone-notification-idor-to-view-everyones-airbnb-messages/) | [Brett Buerhaus (@bbuerhaus)](https://twitter.com/bbuerhaus), [Ben Sadeghipour (@nahamsec)](https://twitter.com/nahamsec) | Airbnb | IDOR | - | 2017-03-31 |
| [数百个子域被攻破（包括HackerOne）](https://medium.com/bugbountywriteup/hundreds-of-hundreds-subdomains-hack3d-including-hacker0ne-ad3acd1c0a44) | [Ak1T4 (@akita_zen)](https://twitter.com/akita_zen) | HackerOne | 子域接管 | $1,000 | 2017-03-28 |
| [Wappalyzer.com上的关键信息泄露](https://www.nc-lp.com/blog/critical-information-disclosure-on-wappalyzer-com) | [Davide Tampellini](https://twitter.com/tampe125) | Wappalyzer | 信息泄露 | - | 2017-03-24 |
| [McAfee Web Gateway中的近普遍XSS](https://blog.ettic.ca/near-universal-xss-in-mcafee-web-gateway-cf8dfcbc8fc3) | Olivier Arteau | McAfee | XSS | - | 2017-03-17 |
| [渗透PornHub - 大量XSS漏洞（加上一件酷衬衫！）](https://www.jonbottarini.com/2017/03/16/penetrating-pornhub-xss-vulns-galore-plus-a-cool-shirt/) | [Jon Bottarini (@jon_bottarini)](https://twitter.com/jon_bottarini) | PornHub | XSS | $250 | 2017-03-16 |
| [Airbnb - Ruby on Rails字符串插值导致远程代码执行](https://buer.haus/2017/03/13/airbnb-ruby-on-rails-string-interpolation-led-to-remote-code-execution/) | [Brett Buerhaus (@bbuerhaus)](https://twitter.com/bbuerhaus), [Ben Sadeghipour (@nahamsec)](https://twitter.com/nahamsec) | Airbnb | RCE | - | 2017-03-13 |
| [Airbnb - 将第三方开放重定向链接成LivePerson聊天中的服务器端请求伪造（SSRF）](https://buer.haus/2017/03/09/airbnb-chaining-third-party-open-redirect-into-server-side-request-forgery-ssrf-via-liveperson-chat/) | [Brett Buerhaus (@bbuerhaus)](https://twitter.com/bbuerhaus), [Ben Sadeghipour (@nahamsec)](https://twitter.com/nahamsec) | Airbnb | 开放重定向, SSRF, 路径遍历 | - | 2017-03-09 |
| [Airbnb - 当绕过JSON编码, XSS过滤器, WAF, CSP和审核员变成八个漏洞时](https://buer.haus/2017/03/08/airbnb-when-bypassing-json-encoding-xss-filter-waf-csp-and-auditor-turns-into-eight-vulnerabilities/) | [Brett Buerhaus (@bbuerhaus)](https://twitter.com/bbuerhaus), [Ben Sadeghipour (@nahamsec)](https://twitter.com/nahamsec) | Airbnb | XSS, CSP绕过 | - | 2017-03-08 |
| [好的Google，给我所有的内部DNS信息！](https://www.rcesecurity.com/2017/03/ok-google-give-me-all-your-internal-dns-information/) | [Julien Ahrens](https://twitter.com/MrTuxracer) | Google | SSRF | - | 2017-03-01 |
| [使用postMessage和WebSocket重连来窃取你的宝贵令牌](https://labs.detectify.com/2017/02/28/hacking-slack-using-postmessage-and-websocket-reconnect-to-steal-your-precious-token/) | [Frans Rosén](https://twitter.com/fransrosen) | Slack | postMessage缺陷, 安全设计原则违反 | $3,000 | 2017-02-28 |
| [我如何通过Facebook获取你的电话号码](https://medium.com/intigriti/how-i-got-your-phone-number-through-facebook-223b769cccf1) | [Inti De Ceukelaire](https://twitter.com/securinti) | Facebook | 逻辑缺陷 | - | 2017-02-20 |
