# 优化后的文本

## OSP网络规模与ETG大小
- **网络规模**：如图5(a)所示，展示了OSP网络的规模。
- **流量类别数量**：如图5(b)所示，展示了OSP网络中的流量类别数量。这些网络中，流量类别的数量从不到100到超过100,000不等。其中69%的网络拥有少于10,000个流量类别，41%的网络则少于1,000个。

## OSP数据中心网络使用的构造
- **协议使用情况**：表3列出了OSP数据中心网络中使用的各种协议和修饰符。eBGP在所有网络中被使用，而OSPF在84.1%的网络中被采用。静态路由在5.4%的网络中使用。
- **修改器**：ACLs在所有网络中使用，而路由过滤器则在84%的网络中应用。此外，27.1%的网络使用了本地偏好来计算路径。

## ARC生成效率
- **时间**：图6展示了为每个OSP网络生成ARC所需的时间。对于78%的网络，生成ARC的时间不超过5秒，最长耗时为11.8秒。大部分时间（平均85%）用于解析网络配置，这与网络中设备的数量相关（皮尔逊相关系数为0.58）。剩余时间主要用于构建ETG，这部分时间与网络中的流量类别数量相关（皮尔逊相关系数为0.62）。
- **大小**：图7描述了每个网络生成的ETG的大小。我们发现ETGs相对紧凑，45%的ETGs顶点数少于20，74%的ETGs边数少于50。设计上，ETG的顶点数与网络中用于生成ETG的路由过程数量直接相关。

## 验证效率
- **不变量验证**：图8展示了验证不变量I1、I2、I3和I5所需的时间。对于97%的网络，在任意链路故障情况下验证I1所需时间不超过500毫秒，而62%的网络可以在100毫秒内完成。最耗时的网络通常具有最多的流量类别。每条流量类别的验证时间范围从8微秒到347微秒（中位数21微秒）。
- **与Batfish比较**：我们的方法在速度上优于Batfish，后者是当前最先进的网络配置分析工具之一。

通过以上数据和分析，我们可以得出结论：ARC能够高效地表示真实网络控制平面，并且在不变量验证方面表现出色。
