hd	移动光标到下一行的中间
ho	光标置初始位
hu	移动光标到上一行的中间
i1	登录时，初始化的字符串1
i3	登录时，初始化的字符串3
is	登录时，初始化的字符串2
ic	插入一个字符
IC	插入%1个字符
if	初始化文件
im	开始插入模式
ip	插入填充时间和插入后所需要的特殊字符
iP	初始化程序
K1	辅助键盘的上左键
K2	辅助键盘的center键
K3	辅助键盘的上右键
K4	辅助键盘的底部左键
K5	辅助键盘的底部右键
k0	功能键0
k1	功能键1
k2	功能键2
k3	功能键3
k4	功能键4
k5	功能键5
k6	功能键6
k7	功能键7
k8	功能键8
k9	功能键9
k;	功能键10
ka	清除所有的tab键
kA	插入行键
kb	退格键
kB	退回tab停止位
kC	清屏键
kd	光标下移键
kD	删除光标下的字符键
ke	关闭辅助键盘
kE	清除到行末
kF	向前/后滚卷
kh	光标置初始位键
kH	光标hown down键
kI	插入字符/插入模式键
kl	光标左移键
kL	整行删除键
kM	退出插入模式
kN	下一页
kP	上一页
kr	光标右移键
kR	向后/前滚卷键
ks	开辅助键盘
kS	清除到屏幕末端
kt	清除这个tab键
kT	设置这儿的tab键
ku	光标向上键
l0	如果没有f0，第零个标签功能键
l1	如果没有f1，第一个标签功能键
l2	如果没有f2，第二个标签功能键
\&...	\&...
la	如果没有f10，第十个标签功能键
le	光标左移一个字符
ll	移动光标到左底角
LE	光标左移%1个字符
LF	 关闭软标签
LO	开启软标签
mb	开始闪烁
MC	清除软标记
md	开始粗体模式
me	开始所有的模式如so, us, mb, md 和 mr
mh	开始半闪烁模式
mk	暗模式 (看不见字符)
ML	设置左软标记
mm	使终端为meta模式
mo	使终端离开meta模式
mp	打开保护属性
mr	开始反亮模式
MR	设置右软标记
nd	光标右移一个字符
nw	回车命令
pc	填充字符
pf	关闭打印机
pk	对键%1编程，如同用户打印一样发送字符串%2
pl	对键%1编程，以本地模式执行字符串%2
pn	对软标签%1编程来显示字符串%2
po	打开打印机
pO	打开打印机%1 ()
,	 左箭头 left arrow (
.SH "[中文版最新更新]"
.B 2000.12.15
.SH "《中国linux论坛man手册页翻译计划》:"
.BI http://cmpp.linuxforum.net
