# G0033: Poseidon Group
## Description
The [Poseidon Group](https://attack.mitre.org/groups/G0033) is a Portuguese-speaking threat group that has been active since at least 2005. This group is known for using exfiltrated information from victims to extort them, often blackmailing companies into hiring the [Poseidon Group](https://attack.mitre.org/groups/G0033) as a security firm. (Citation: Kaspersky Poseidon Group)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [Process Discovery](https://attack.mitre.org/techniques/T1057/) | After compromising a victim, the [Poseidon Group](https://attack.mitre.org/groups/G0033) lists all running processes. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Network Connections Discovery](https://attack.mitre.org/techniques/T1049/) | The [Poseidon Group](https://attack.mitre.org/groups/G0033) obtains and saves information about the victim's network interfaces and addresses. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Masquerading](https://attack.mitre.org/techniques/T1036/) | Tools used by the [Poseidon Group](https://attack.mitre.org/groups/G0033) attempt to masquerade as legitimate anti-virus processes to evade detection. | File monitoring, Process monitoring, Binary file metadata |
| Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Service Discovery](https://attack.mitre.org/techniques/T1007/) | After compromising a victim, the [Poseidon Group](https://attack.mitre.org/groups/G0033) discovers all running services. | Process monitoring, Process command-line parameters |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/) | [PowerShell](https://attack.mitre.org/techniques/T1086/) | The [Poseidon Group](https://attack.mitre.org/groups/G0033)'s Information Gathering Tool (IGT) includes PowerShell components. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Windows, Linux, macOS | [Credential Access](https://attack.mitre.org/tactics/credential-access/) | [Credential Dumping](https://attack.mitre.org/techniques/T1003/) | The [Poseidon Group](https://attack.mitre.org/groups/G0033) conducts credential dumping on victims, with a focus on obtaining credentials for domain and database servers. | API monitoring, Process monitoring, PowerShell logs, Process command-line parameters |
| Linux, macOS, Windows, Office 365, Azure AD | [Discovery](https://attack.mitre.org/tactics/discovery/) | [Account Discovery](https://attack.mitre.org/techniques/T1087/) | The [Poseidon Group](https://attack.mitre.org/groups/G0033) searches for administrator accounts on both the local victim machine and the network. | Azure activity logs, Office 365 account logs, API monitoring, Process monitoring, Process command-line parameters |

This table provides an overview of the tactics, techniques, and procedures (TTPs) employed by the [Poseidon Group](https://attack.mitre.org/groups/G0033), along with the relevant data sources for detecting and mitigating their activities.
