# G0049: OilRig

## Description
OilRig, a suspected Iranian threat group, has been active since at least 2014, primarily targeting organizations in the Middle East and internationally. The group has targeted various industries, including financial, government, energy, chemical, and telecommunications. OilRig is known to conduct supply chain attacks, leveraging the trust relationships between organizations to reach their primary targets. FireEye's assessment suggests that the group operates on behalf of the Iranian government, based on infrastructure details, use of Iranian infrastructure, and targeting that aligns with nation-state interests. (Citations: [1](https://attack.mitre.org/groups/G0049), [2](https://unit42.paloaltonetworks.com/oilrig-targets-middle-east-government/), [3](https://www.clearskysec.com/wp-content/uploads/2017/01/Operation-DustySky.pdf), [4](https://unit42.paloaltonetworks.com/unit42-playbook-oilrig-apt-group/), [5](https://www.fireeye.com/blog/threat-research/2017/12/targeted-attack-in-middle-east-by-apt34.html), [6](https://unit42.paloaltonetworks.com/playbook-quadagent-malware-targets-middle-east/))

This group was previously tracked under two distinct names, APT34 and OilRig, but has been combined due to additional reporting that provided higher confidence about the overlap in their activities.

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows, macOS, Linux | Initial Access | Spearphishing via Service | OilRig has used LinkedIn to send spearphishing links. | SSL/TLS inspection, Anti-virus, Web proxy |
| Linux, macOS, Windows | Command and Control | Commonly Used Port | OilRig has used port 80 to call back to the C2 server. | Packet capture, Netflow/Enclave netflow, Process use of network, Process monitoring |
| Linux, macOS, Windows, AWS, GCP, Azure | Credential Access | Credentials in Files | OilRig has used tools named VALUEVAULT and PICKPOCKET to dump passwords from web browsers. | File monitoring, Process command-line parameters |
| Linux, Windows, macOS, AWS, GCP, Azure | Discovery | Network Service Scanning | OilRig has used the publicly available tool SoftPerfect Network Scanner and a custom tool called GOLDIRONY to conduct network scanning. | Netflow/Enclave netflow, Network protocol analysis, Packet capture, Process command-line parameters, Process use of network |
| Windows | Persistence, Initial Access | External Remote Services | OilRig uses remote services such as VPN, Citrix, or OWA to persist in an environment. | Authentication logs |
| Windows, macOS, Linux | Initial Access | Spearphishing Attachment | OilRig has sent spearphishing emails with malicious attachments using compromised and/or spoofed email accounts. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, macOS, Windows | Collection | Screen Capture | OilRig has a tool called CANDYKING to capture a screenshot of the user's desktop. | API monitoring, Process monitoring, File monitoring |
| Windows, macOS, Linux, Office 365, SaaS | Initial Access | Spearphishing Link | OilRig has sent spearphishing emails with malicious links to potential victims. | Packet capture, Web proxy, Email gateway, Detonation chamber, SSL/TLS inspection, DNS records, Mail server |
| Linux, macOS, Windows | Command and Control, Lateral Movement | Remote File Copy | OilRig can download remote files onto victims' systems. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Windows | Execution | Windows Management Instrumentation | OilRig has used WMI for execution. | Authentication logs, Netflow/Enclave netflow, Process monitoring, Process command-line parameters |
| Windows | Execution, Persistence, Privilege Escalation | Scheduled Task | OilRig has created scheduled tasks that run a VBScript to execute a payload on victim machines. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | Collection, Credential Access | Input Capture | OilRig has used keylogging tools called KEYPUNCH and LONGWATCH. | Windows Registry, Kernel drivers, Process monitoring, API monitoring |
| Linux, macOS, Windows, Office 365, Azure AD, SaaS | Credential Access | Brute Force | OilRig has used brute force techniques to obtain credentials. | Office 365 account logs, Authentication logs |
| Linux, Windows, macOS | Execution | User Execution | OilRig has delivered malicious links and macro-enabled documents that require targets to click the "enable content" button to execute the payload. | Anti-virus, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows | Command and Control | Standard Cryptographic Protocol | OilRig has used the Plink utility and other tools to create tunnels to C2 servers. | Packet capture, Netflow/Enclave netflow, Malware reverse engineering, Process use of network, Process monitoring, SSL/TLS inspection |
| Windows | Defense Evasion, Execution | Compiled HTML File | OilRig has used a CHM payload to load and execute another malicious file once delivered to a victim. | File monitoring, Process monitoring, Process command-line parameters |
| Windows, Linux, macOS | Discovery | Password Policy Discovery | OilRig has used `net.exe` in a script with `net accounts /domain` to find the password policy of a domain. | Process command-line parameters, Process monitoring |

By understanding these TTPs, organizations can better prepare and defend against the tactics employed by OilRig.
