### Table 55: Enterprise-Specific MIBs Supported by Junos OS Evolved (Continued)

| **Enterprise-Specific MIB** | **Description** | **Supported and Unsupported Tables and Objects** | **Platform** |
|-----------------------------|-----------------|-------------------------------------------------|--------------|
| **Source Class Usage (SCU) MIB** | Provides support for monitoring SCU and DCU counters. | No exceptions. | PTX10001-36, PTX10004, PTX10008, PTX10016 |
| **TWAMP MIB (jnxTwampMib)** | Monitors network performance using Two-Way Active Measurement Protocol. | Supported tables: <br> - jnxTwampClientResultsSampleTable <br> - jnxTwampClientResultsSummaryTable <br> - jnxTwampClientResultsCalculatedTable <br> - jnxTwampClientHistorySampleTable <br> - jnxTwampClientHistorySummaryTable <br> - jnxTwampClientHistoryCalculatedTable <br> - jnxTwampClientControlConnectionTable <br> - jnxTwampClientTestSessionsTable <br> <br> Supported traps: <br> - jnxTwampClientControlConnectionClosed <br> - jnxTwampClientTestIterationFinished <br> - pingProbeFailed <br> - pingTestFailed <br> - pingTestCompleted <br> - jnxPingRttThresholdExceeded <br> - jnxPingRttJitterThresholdExceeded <br> - jnxPingEgressThresholdExceeded <br> - jnxPingEgressJitterThresholdExceeded <br> - jnxPingIngressThresholdExceeded <br> - jnxPingIngressJitterThresholdExceeded <br> - jnxPingMaxRttThresholdExceeded | PTX10001-36, PTX10003, PTX10004, PTX10008 |
| **Timing MIB (jnxTimingNotfnsMIB)** | Defines Synchronous Ethernet (SyncE) objects, faults, and events. | Supported traps: <br> - jnxTimingFaultLOSSet <br> - jnxTimingFaultLOSClear <br> - jnxTimingFaultEFDSet <br> - jnxTimingFaultEFDClear <br> - jnxTimingFaultLOESMCSet <br> - jnxTimingFaultLOESMCClear <br> - jnxTimingFaultQLFailSet <br> - jnxTimingFaultQLFailClear <br> - jnxTimingFaultLTISet <br> - jnxTimingFaultLTIClear <br> - jnxTimingFaultPriSrcFailed <br> - jnxTimingFaultSecSrcFailed <br> - jnxTimingEventPriSrcRecovered <br> - jnxTimingEventSecSrcRecovered <br> - jnxTimingEventPriRefChanged <br> - jnxTimingEventSecRefChanged <br> - jnxTimingEventQLChangedRx <br> - jnxTimingEventQLChangedTx <br> - jnxTimingEventDpllStatus <br> - jnxTimingEventSynceDpllStatus <br> <br> Supported objects and tables: <br> - jnxClksyncIfIndex <br> - jnxClksyncIntfName <br> - jnxClksyncQualityCode <br> - jnxClksyncQualityCodeStr <br> - jnxClksyncDpllState <br> - jnxClksyncDpllStateStr <br> - jnxClksyncSynceLockedIfIndex <br> - jnxClksyncSynceLockedIntfName <br> - jnxClksyncSynceQualityTable | PTX10008 |
| **VPN MIB** | Provides monitoring for Layer 3 VPNs, Layer 2 VPNs, and virtual private LAN service (VPLS). | Unsupported objects: <br> - jnxVpnActiveVpns <br> - jnxVpnConfiguredVpns | PTX10003 |

### Table 56: Enterprise-Specific MIBs Supported by Junos OS

| **Enterprise-Specific MIB** | **Description** | **Platforms** |
|-----------------------------|-----------------|---------------|
| **AAA Objects MIB** | Provides support for monitoring user authentication, authorization, and accounting through RADIUS, LDAP, SecurID, and local authentication servers. | SRX Series, vSRX Virtual Firewall |
| **Access Authentication Objects MIB** | Provides support for monitoring firewall authentication, including data about the users trying to access firewall-protected resources and the firewall authentication service. | SRX Series, vSRX Virtual Firewall |
| **Alarm MIB** | Provides information about alarms from the router chassis. | All platforms except MX10003 and MX204 devices. |
| **Analyzer MIB** | Provides information about analyzer and remote analyzer related to port mirroring on the EX Series Ethernet Switches. | EX Series, QFabric system, QFX Series |
| **Antivirus Objects MIB** | Provides information about the antivirus engine, antivirus scans, and antivirus scan-related traps. | SRX Series, vSRX Virtual Firewall |
| **ATM Class-of-Service MIB** | Provides support for ATM interfaces and virtual connections. | ACX Series, M Series, T Series |
| **ATM MIB** | Provides support for monitoring Asynchronous Transfer Mode, version 2 (ATM2) virtual circuit (VC) class-of-service (CoS) configurations. It also provides CoS queue statistics for all VCs that have CoS configured. | M Series, SRX Series, T Series, vSRX Virtual Firewall |
| **BGP4 V2 MIB** | Provides support for monitoring BGP peer-received prefix counters. It is based upon similar objects in the MIB documented in Internet draft draft-ietf-idr-bgp4-mibv2-03.txt, Definitions of Managed Objects for the Fourth Version of BGP (BGP-4), Second Version. | All platforms |
| **BGP MIB** | Contains the objects for BGP version. | MX Series |
| **Bidirectional Forwarding Detection MIB** | Provides support for monitoring Bidirectional Forwarding Detection (BFD) sessions. | All platforms |
| **Chassis Cluster MIB** | Provides information about objects that are used whenever the state of the control link interfaces or fabric link interfaces changes (up to down or down to up) in a chassis cluster deployment. | SRX Series, vSRX Virtual Firewall |
| **Chassis Definitions for Router Model MIB** | Contains the object identifiers (OIDs) that are used by the Chassis MIB to identify platform and chassis components. The Chassis MIB provides information that changes often, whereas the Chassis Definitions for Router Model MIB provides information that changes less often. | ACX Series, M Series, MX Series, PTX Series, QFX Series, SRX550, SRX1500, T Series |
| **Chassis MIBs** | Provides support for environmental monitoring (power supply state, board voltages, fans, temperatures, and air flow) and inventory support for the chassis, System Control Board (SCB), System and Switch Board (SSB), Switching and Forwarding Module (SFM), Switch Fabric Board (SFB), Flexible PIC Concentrators (FPCs), and PICs. | All platforms |
| **Class-of-Service MIB** | Provides support for monitoring interface output queue statistics per interface and per forwarding class. Provides support for monitoring Priority-Based Flow Control (PFC) statistics. The entries in the jnxCosPfcPriorityTable of Class-of-Service MIB include jnxCosPfcPriorityEntry, jnxCosIfIndex, jnxCosPfcPriorityIndex, jnxCosPfcPriorityRequestsTx, and jnxCosPfcPriorityRequestsRx. | ACX Series, EX Series, M Series, MX Series, PTX Series, QFabric system, QFX Series, SRX Series, T Series, vSRX Virtual Firewall |
| **CGNAT MIB** | Provides information about services interfaces used for CGNAT implementation. | MX Series, SRX Series (USF - MX-SPC3, MS-MPC - JUNIPER-NET-MIB) |
