以下是优化后的文本：

---

### 数据概览

| 0.50 | 0.25 | 0.00 | 1.00 | 0.75 | 0.50 | 0.25 | 0.00 |
|-----|-----|-----|-----|-----|-----|-----|-----|
| e   | t   | a   | R   | s   | s   | e   | c   |
| c   | u   | S   | 1.00| 0.75| 0.50| 0.25| 0.00|
| 1.00| 0.75| 0.50| 0.25| 0.00| 1.00| 0.75| 0.50|
| 0.25| 0.00| 1.00| 0.75| 0.50| 0.25| 0.00| 1.00|
| 0.75| 0.50| 0.25| 0.00| 1.00| 0.75| 0.50| 0.25|

### 自治系统（AS）编号
- AS1221
- AS1239
- AS1755
- AS2914
- AS3257
- AS3356
- AS3967
- AS4755
- AS6461
- AS7018

### 连接度
- 4
- 5
- 6
- 7

### 算法
- 贪婪算法
- RR-swap

### 图10：不同自治系统核心图中，不同算法生成的树形结构包（最多20个）的中位拉伸值（及5%到95%分位数），随图大小变化的趋势。

#### 算法
- 贪婪算法
- RR-swap

#### 自治系统
- AS1221
- AS1239
- AS1755
- AS2914
- AS3257
- AS3356
- AS3967
- AS4755
- AS6461
- AS7018

#### 节点数量
- 50
- 100
- 150
- 200
- 300
- 400
- 500
- 600
- 700

### 图9：RR-swap算法在不同自治系统中生成4到7个不相交树形结构的成功率。每个数据点代表20次尝试的平均成功率，每次选择一个随机根节点。贪婪算法总是成功。

### 实验方法
我们从自治系统图中随机选择节点作为树形结构包的根节点，并使用贪婪算法和RR-swap方法生成大小为k ∈ {4, 5, 6, 7}的树形结构包。

### 结果分析
- 贪婪算法总能成功完成，即我们的修剪操作生成了4/5/6/7连通图。
- 不同于随机正则图，RR-swap在某些情况下难以完成树形结构的构建。如图9所示，RR-swap的整体成功率为61%。进一步调查发现，RR-swap在处理某些特定情况时存在困难。

---

希望这个版本更加清晰、连贯和专业。如果有任何进一步的需求或修改，请告诉我！
