 BGP_REACHED_THRESHOLD,BGP.[STRING]: The proportion of prefixes   received from peer [STRING] ([STRING]) to maximum allowed prefixes reached   the threshold value ([UINT32]%).,$1：VPN实例名称。如果是公网内的日志信息，则显示为空   $2：BGP对等体的IP地址   $3：BGP对等体的地址族   $4：接收的路由数量占允许的最大路由数量百分比的阈值,5,BGP/5/BGP_REACHED_THRESHOLD: BGP.vpn1:   The proportion of prefixes received from peer 1.1.1.1 (IPv4-UNC) to maximum   allowed prefixes reached the threshold value (60%).,接收的路由数量占允许的最大路由数量的百分比达到了阈值,检查是否是攻击导致，如果是，需要管理员找到问题原因，对攻击进行防御   否则，查看是否需要增大以下数值：   ·允许的最大路由数量   ·接收的路由数量占允许的最大路由数量百分比的阈值
 BGP_LOG_ROUTE_FLAP,BGP.[STRING]: The route [STRING]   [STRING]/[UINT32] learned from peer [STRING] ([STRING]) flapped.,$1：VPN实例名称。如果是公网内的日志信息，则显示为空   $2：BGP路由的RD值。不带RD的路由则显示为空   $3：BGP路由的前缀地址   $4：BGP路由的前缀掩码   $5：BGP对等体的IP地址   $6：BGP对等体的地址族,4,BGP/4/BGP_LOG_ROUTE_FLAP: BGP.vpn1: The   route 15.1.1.1/24 learned from peer 1.1.1.1 (IPv4-UNC) flapped.,从对等体学到的路由发生抖动,检查路由抖动是否不正常，如果是，需要管理员找到路由抖动的源头，并制定解决方案
 BGP_MEM_ALERT,BGP process received system memory alert [STRING]   event.,$1：内存告警的类型，包括stop、start,5,BGP/5/BGP_MEM_ALERT: BGP process received   system memory alert start event.,BGP模块收到内存告警信息,如果内存告警类型为start，请检查系统内存占用情况，对占用内存较多的模块进行调整，尽量释放可用内存
 BGP_PEER_LICENSE_REACHED,Number of peers in Established state   reached the license limit.,无,5,BGP/5/BGP_PEER_LICENSE_REACHED: Number of   peers in Established state reached the license limit.,处于established状态的邻居数量已达到license规格限制,检查license安装情况，判断是否需要安装新的license
 BGP_ROUTE_LICENSE_REACHED,Number of [STRING] routes reached the   license limit.,$1：BGP地址族，取值包括：   ·IPv4-UNC public：表示公网IPv4单播路由   ·IPv6-UNC public：表示公网IPv6单播路由   ·IPv4 private：表示私网IPv4单播路由，VPNv4路由和嵌套VPN路由   ·IPv6 private：表示私网IPv6单播路由，VPNv6路由,5,BGP/5/BGP_ROUTE_LICENSE_REACHED: Number   of IPv4-UNC public routes reached the license limit.,指定类型的路由数量已达到license规格限制,检查license安装情况，判断是否需要安装新的license   当指定类型的路由数量降低到License的规格限制以下或者License规格限制扩大时，之前被丢弃的路由不能自动恢复，需要用户手工配置，以便重新学习路由
 BGP_STATE_CHANGED,BGP.[STRING]: [STRING] state has changed   from [STRING] to [STRING].,$1：VPN实例名称。如果是公网内的日志信息，则显示为空   $2：BGP对等体的IP地址   $3：变化前的状态名称   $4：变化后的状态名称,5,BGP/5/BGP_STATE_CHANGED: BGP.vpn1: 192.99.0.2   state has changed from ESTABLISHED to IDLE.,BGP对等体的状态发生变化   此日志信息当BGP对等体从其他状态进入Established状态或者从Established状态进入其他状态时产生,如果BGP对等体意外Down，请检查网络是否发生故障或丢包
 BLS_ENTRY_ADD,SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING];   RcvVPNInstance(1041)=[STRING]; TTL(1051)=[STRING]; Reason(1052)=[STRING].,$1：黑名单IP地址   $2：DS-Lite Tunnel 对端地址   $3：VPN名称   $4：老化时间   $5：添加原因,5,BLS/5/BLS_ENTRY_ADD: SrcIPAddr(1003)=1.1.1.6;   DSLiteTunnelPeer(1040)=--; RcvVPNInstance(1041)=; TTL(1051)=; Reason(1052)=Configuration.   BLS/5/BLS_ENTRY_ADD: SrcIPAddr(1003)=9.1.1.5;   DSLiteTunnelPeer(1040)=--; RcvVPNInstance(1041)=vpn1; TTL(1051)=10; Reason(1052)=Scan   behavior detected.,日志开关打开；手动配置一个黑名单；scan检测添加一个黑名单；触发日志发送,无
 BLS_ENTRY_DEL,SrcIPAddr(1003)=[IPADDR]; DSLiteTunnelPeer(1040)=[STRING];   RcvVPNInstance(1041)=[STRING]; Reason(1052)=[STRING].,$1：黑名单IP地址   $2：DS-Lite Tunnel对端地址   $3：VPN名称   $4：删除原因,5,BLS/5/BLS_ENTRY_DEL: SrcIPAddr(1003)=1.1.1.3;   DSLiteTunnelPeer(1040)=--; RcvVPNInstance(1041)=; Reason(1052)=Configuration.   BLS/5/BLS_ENTRY_DEL: SrcIPAddr(1003)=9.1.1.5;   DSLiteTunnelPeer(1040)=--; RcvVPNInstance(1041)=vpn1; Reason(1052)=Aging.,日志开关打开；手动删除一个黑名单；老化删除一个黑名单；触发日志发送,无
 BLS_IPV6_ENTRY_ADD,SrcIPv6Addr(1036)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   TTL(1051)=[STRING]; Reason(1052)=[STRING].,$1：黑名单IPv6地址   $2：VPN名称   $3：老化时间   $4：添加原因,5,BLS/5/BLS_IPV6_ENTRY_ADD: SrcIPv6Addr(1036)=2::2;   RcvVPNInstance(1041)=; TTL(1051)=; Reason(1052)=Configuration.   BLS/5/BLS_IPV6_ENTRY_ADD: SrcIPv6Addr(1036)=1::5;   RcvVPNInstance(1041)=--; TTL(1051)=10; Reason(1052)=Scan behavior detected.,日志开关打开；手动配置一个黑名单；scan检测添加一个黑名单；触发日志发送,无
 BLS_IPV6_ENTRY_DEL,SrcIPv6Addr(1036)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Reason(1052)=[STRING].,$1：黑名单IPv6地址   $2：VPN名称   $3：删除原因,5,BLS/5/BLS_IPV6_ENTRY_DEL: SrcIPv6Addr(1036)=2::2;   RcvVPNInstance(1041)=; Reason(1052)=Configuration.,日志开关打开；手动删除一个黑名单；老化删除一个黑名单；触发日志发送,无
 CFD_CROSS_CCM,"MEP [UINT16] in SI [INT32] received a   cross-connect CCM. It’s SrcMAC is [MAC], SeqNum is [INT32], RMEP is [UINT16],   MD ID is [STRING], MA ID is [STRING].",$1：服务实例的ID   $2：本地MEP的ID   $3：源MAC地址   $4：序列号   $5：远端MEP的ID   $6：MD的ID。如果不存在，会显示“without ID”   $7：MA的ID,6,"CFD/6/CFD_CROSS_CCM: MEP 13 in SI 10 received   a cross-connect CCM. Its SrcMAC is 0011-2233-4401, SeqNum is 78, RMEP is 12, MD   ID is without ID, MA ID is 0.",MEP收到交叉连接的CCM报文，该报文包含与本端不同的MA ID或MD   ID,检查两端MEP的配置。让MEP所属的MD和MA的配置一致，且两端MEP级别相同、方向都相同
