# G0051: FIN10
## Description
[FIN10](https://attack.mitre.org/groups/G0051) is a financially motivated threat group that has targeted organizations in North America from 2013 to 2016. The group uses stolen data exfiltrated from victims to extort organizations. (Citation: FireEye FIN10 June 2017)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Execution](https://attack.mitre.org/tactics/execution/) | [Scripting](https://attack.mitre.org/techniques/T1064/) | FIN10 has executed malicious .bat files containing PowerShell commands. | Process monitoring, File monitoring, Process command-line parameters |
| Windows | [Persistence](https://attack.mitre.org/tactics/persistence/) | [Registry Run Keys / Startup Folder](https://attack.mitre.org/techniques/T1060/) | FIN10 has established persistence by using the Registry option in PowerShell Empire to add a Run key. | Windows Registry, File monitoring |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/) | [PowerShell](https://attack.mitre.org/techniques/T1086/) | FIN10 uses PowerShell for execution as well as PowerShell Empire to establish persistence. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/), [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [Scheduled Task](https://attack.mitre.org/techniques/T1053/) | FIN10 has established persistence by using S4U tasks as well as the Scheduled Task option in PowerShell Empire. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [File Deletion](https://attack.mitre.org/techniques/T1107/) | FIN10 has used batch scripts and scheduled tasks to delete critical system files. | File monitoring, Process command-line parameters, Binary file metadata |
| Linux, macOS, Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Owner/User Discovery](https://attack.mitre.org/techniques/T1033/) | FIN10 has used Meterpreter to enumerate users on remote systems. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/), [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Valid Accounts](https://attack.mitre.org/techniques/T1078/) | FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor. The group has also moved laterally using the Local Administrator account. | AWS CloudTrail logs, Stackdriver logs, Authentication logs, Process monitoring |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/), [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/) | [Remote File Copy](https://attack.mitre.org/techniques/T1105/) | FIN10 has deployed Meterpreter stagers and SplinterRAT instances in the victim network after moving laterally. | File monitoring, Packet capture, Process use of network, Netflow/Enclave netflow, Network protocol analysis, Process monitoring |
| Windows | [Lateral Movement](https://attack.mitre.org/tactics/lateral-movement/) | [Remote Desktop Protocol](https://attack.mitre.org/techniques/T1076/) | FIN10 has used RDP to move laterally to systems in the victim environment. | Authentication logs, Netflow/Enclave netflow, Process monitoring |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) employed by the FIN10 threat group, along with the relevant data sources for detection and investigation.
