+-----------+-----------+------+-------------------+-----------------+
| S         | varch     | 可选 | 子系统名，如ORDER | 前台服务        |
| ubSysName | ar(max32) |      | _WEB、ORDER_APP、 | 填写应用名称；  |
|           |           |      | ORDER_DDS、ORDER_ |                 |
|           |           |      | DB。优先获取PAAS_ | 后台CICS服务    |
|           |           |      | CLUSER_NAME环境变 | 填写条带名称；  |
|           |           |      | 量，然后是SubSysN |                 |
|           |           |      | ame系统属性，最后 | 工单发送        |
|           |           |      | 是DSF传递的参数。 | 填写进程名称；  |
|           |           |      |                   |                 |
|           |           |      |                   | 信控进          |
|           |           |      |                   | 程填写进程名称  |
+-----------+-----------+------+-------------------+-----------------+
| Protocol  | varch     | 必选 | 协议类型，TC      | 前              |
|           | ar(max12) |      | P/HTTP/SOAP/DSF等 | 台WEB服务调用填 |
|           |           |      |                   | 写HTTP或HTTPS； |
|           |           |      |                   |                 |
|           |           |      |                   | 后              |
|           |           |      |                   | 台CICS填写TCP； |
|           |           |      |                   |                 |
|           |           |      |                   | 工单            |
|           |           |      |                   | 发送填写SOAP；  |
|           |           |      |                   |                 |
|           |           |      |                   | 信控            |
|           |           |      |                   | 进程填写DATA；  |
+-----------+-----------+------+-------------------+-----------------+
| BeginTime | char(16)  | 必选 | 对服务调用是请    | 请求日志时填    |
|           |           |      | 求收发的时间，对  | 写服务请求时间  |
|           |           |      | 异步消息通信是消  |                 |
|           |           |      | 息收发的时间，采  | 响应日志时填空  |
|           |           |      | 用UTC时间记录，格 |                 |
|           |           |      | 式为YYMMDDHHMMSS. |                 |
|           |           |      | sss，粒度到毫秒。 |                 |
+-----------+-----------+------+-------------------+-----------------+
| EndTime   | char(16)  | 可选 | 对                | 请求日志时填空  |
|           |           |      | 服务调用是响应收  |                 |
|           |           |      | 发的时间，对异步  | 响应日志时填    |
|           |           |      | 消息通信为空，采  | 写系统当前时间  |
|           |           |      | 用UTC时间记录，格 |                 |
|           |           |      | 式为YYMMDDHHMMSS. |                 |
|           |           |      | sss，粒度到毫秒。 |                 |
+-----------+-----------+------+-------------------+-----------------+
| R         | int(10)   | 必选 | 对服务            | 请              |
| eqMsgSize |           |      | 调用是请求消息大  | 求日志时填写请  |
|           |           |      | 小，对异步消息通  | 求消息的总大小  |
|           |           |      | 信是收发的消息大  |                 |
|           |           |      | 小，单位为字节。  | 响应日志时填写0 |
+-----------+-----------+------+-------------------+-----------------+
| R         | int(10)   | 必选 | 对服务调用是      | 响应日志时填写  |
| spMsgSize |           |      | 响应消息大小（请  | 响应消息的大小  |
|           |           |      | 求消息中不用打印  |                 |
|           |           |      | ），对消息通信为  | 请求日志时填写0 |
|           |           |      | 空，单位为字节。  |                 |
+-----------+-----------+------+-------------------+-----------------+
| R         | int(12)   | 可选 | 对服务调          | 服务调用返回    |
| esultCode |           |      | 用是调用的返回码  | 码，成功时填写  |
|           |           |      | ，对消息通信为空  | 0，失败时填写-1 |
|           |           |      | 。0为正常返回码， |                 |
|           |           |      | 非0为异常返回码。 |                 |
+-----------+-----------+------+-------------------+-----------------+
| R         | varchar   | 可选 | 结果描述信        | 服务调用失败时  |
| esultInfo | (max 512) |      | 息，只在异常时输  | ，填写失败信息  |
|           |           |      | 出，最大长度512字 |                 |
|           |           |      | 节，正常时为空。  |                 |
+-----------+-----------+------+-------------------+-----------------+
| SeqNo     | varchar   | 必选 | 埋点序            | 填写服务调用    |
|           | (max 128) |      | 列号，标识调用链  | 序号，交易埋点  |
|           |           |      | 中埋点先后顺序，  | 开始填写1，步骤 |
|           |           |      | 最大长度128字节。 | 埋点、服务埋点  |
|           |           |      |                   | 根据业务调用服  |
|           |           |      |                   | 务顺序填写埋点  |
|           |           |      |                   | 层级，在1的基础 |
|           |           |      |                   | 上逐级增加，如  |
|           |           |      |                   | 1，1.1，1.1.1， |
|           |           |      |                   | 1.2，1.2.1，1.2 |
|           |           |      |                   | .1.1，1.2.1.1.1 |
+-----------+-----------+------+-------------------+-----------------+
| C         | int(10)   | 必选 | 服务调用          | 根据Se          |
| allNumber |           |      | 序号，服务在调用  | qNo判断，有几个 |
|           |           |      | 链中的调用顺序，  | 层级就写几，如  |
|           |           |      | 在serverRecv加1。 | 1.1，则填写2，  |
|           |           |      |                   | 如1.1.1则填写3  |
+-----------+-----------+------+-------------------+-----------------+
| E         | varchar   | 可选 | 预留              | 业务特殊信息:\  |
| xtendInfo | (max      |      | 的业务扩展字段，  | 业务类型        |
|           | 1024)     |      | 采用名值对（Name= | 编码（RECTYPE） |
|           |           |      | Value）的格式，"= | 、受理渠道（ACC |
|           |           |      | "前后不能有空格， | ESSTYPE）、受理 |
|           |           |      | 如包含多个名值对  | 地市（REGION）  |
|           |           |      | ，之间以英文逗号  | 、操作员ID(OPE  |
|           |           |      | ","加空格分隔，名 | RID)、服务号码( |
|           |           |      | 值对之间不可以包  | SERVNUMBER)、菜 |
|           |           |      | 含回车或换行符。\ | 单ID(MENUID)等  |
|           |           |      | 业务              | 业务关键信息。  |
|           |           |      | 扩展字段仅供业务  |                 |
|           |           |      | 层输出能辅助故障  | 注意            |
|           |           |      | 定界定位的业务层  | 红色格式要求。  |
|           |           |      | 关键信息（如业务  |                 |
|           |           |      | 返回码、用户号码  |                 |
|           |           |      | 、用户ID等），请  |                 |
|           |           |      | 求和响应的码流信  |                 |
|           |           |      | 息不能放在这里。\ |                 |
|           |           |      | 在移动阅读门      |                 |
|           |           |      | 户的埋点信息里，  |                 |
|           |           |      | 需要固定输出用户  |                 |
|           |           |      | 号码信息，格式为" |                 |
|           |           |      | UserNumber=\*\*\* |                 |
|           |           |      | \*"，该字段需要放 |                 |
|           |           |      | 在扩展信息首部。  |                 |
+-----------+-----------+------+-------------------+-----------------+
| PlatformE | varchar   | 可选 | 平台扩展字        | 暂时填空        |
| xtendInfo | (max 512) |      | 段，采用名值对（  |                 |
|           |           |      | Name=Value）的格  |                 |
|           |           |      | 式，如包含多个名  |                 |
|           |           |      | 值对，之间以英文  |                 |
|           |           |      | 逗号加空格分隔，  |                 |
|           |           |      | 名值对之间不可以  |                 |
|           |           |      | 包含回车或换行符  |                 |
|           |           |      | 。平台扩展信息需  |                 |
|           |           |      | 要包含如下信息：\ |                 |
|           |           |      | 1、               |                 |
|           |           |      | 跟踪              |                 |
|           |           |      | 任务ID，格式为：  |                 |
|           |           |      | TaskID=\*\*\*\*\  |                 |
|           |           |      | 如包含多个跟踪任  |                 |
|           |           |      | 务ID，每个跟踪任  |                 |
|           |           |      | 务ID都以单独的名  |                 |
|           |           |      | 值对输出，输出格  |                 |
|           |           |      | 式为：TaskID=ID1, |                 |
|           |           |      | TaskID=ID2,       |                 |
|           |           |      | TaskID=ID3\       |                 |
|           |           |      | 2、               |                 |
|           |           |      | Tra               |                 |
|           |           |      | ceFlag，格式为：T |                 |
|           |           |      | raceFlag=\*\*\*\* |                 |
|           |           |      | (取值为二进制数)\ |                 |
|           |           |      | 3、               |                 |
|           |           |      | 调用链            |                 |
|           |           |      | 组标识GroupID，BE |                 |
|           |           |      | S中对应为业务交易 |                 |
|           |           |      | 流水号，格式为：  |                 |
|           |           |      | GroupID=\*\*\*\*\ |                 |
|           |           |      | 4、               |                 |
|           |           |      | 调用链            |                 |
|           |           |      | 组名称GroupName， |                 |
|           |           |      | BES中对应为业务交 |                 |
|           |           |      | 易类型名，即Entr  |                 |
|           |           |      | yMenu，格式为：Gr |                 |
|           |           |      | oupName=\*\*\*\*\ |                 |
|           |           |      | 5、               |                 |
|           |           |      | 调用链子          |                 |
|           |           |      | 组标识SubGroupID  |                 |
|           |           |      | ，BES中对应为步骤 |                 |
|           |           |      | 标识，格式为：Su  |                 |
|           |           |      | bGroupID=\*\*\*\* |                 |
+-----------+-----------+------+-------------------+-----------------+
| C         | varchar   | 可选 | 可读文本格式的码  | 填空            |
| odeStream | (max      |      | 流（非二进制码流  |                 |
|           | 10240)    |      | ）输出，仅针对与  |                 |
|           |           |      | 门户中设置的特定  |                 |
|           |           |      | 用户号码匹配（跟  |                 |
|           |           |      | 踪匹配标志hasComp |                 |
|           |           |      | aredTrace为true） |                 |
|           |           |      | 的调用请求和响应  |                 |
|           |           |      | ，以及业务返回码  |                 |
|           |           |      | 异常的调用响应。  |                 |
|           |           |      | 不需要打印码流时  |                 |
|           |           |      | ，该字段可为空。  |                 |
+-----------+-----------+------+-------------------+-----------------+
### 业务监控日志文件平台
#### 业务调用链日志采集（方案一：filebeat+logstarsh）
#### 
Filebeat简介：
filebeat是一个日志文件托运工具，在你的服务器上安装客户端后，filebeat会监控日志目录或者指定的日志文件，追踪读取这些文件（追踪文件的变化，不停的读），并且转发这些信息到elasticsearch或者logstarsh中存放。
