I was trying to add profiler to the existing tensorflow object detection API,
the following part of code is added to
tensorflow/tensorflow/contrib/slim/python/slim/learning.py
Line 489 in dfa0f87
|  
---|---  
      if run_metadata is not None:
        logging.info('Added profiling by User')
        ProfileOptionBuilder = profiler.ProfileOptionBuilder
        opts = ProfileOptionBuilder(ProfileOptionBuilder.time_and_memory()).with_step(np_global_step).with_timeline_output(train_step_kwargs['logdir']+'/profile.json').build()
        logging.info(train_step_kwargs['logdir']+'/profile.json')
        profiler.profile(
            ops.get_default_graph(),
            run_meta=run_metadata,
            cmd='graph',
            options=opts)
but when I was trying to run the training for resnet_101_coco with no other
changes, the training progress with no error, but the profiler output
incompatible shapes:
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/conv1/Conv2D incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 300, 453) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/conv1/BatchNorm/FusedBatchNorm incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 300, 453) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/conv1/Relu incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 300, 453) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/pool1/MaxPool incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 150, 227) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/block1/unit_1/bottleneck_v1/shortcut/Conv2D incompatible shapes: Shapes (2, ?, ?, 256) and (2, 256, 150, 227) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/block1/unit_1/bottleneck_v1/conv1/Conv2D incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 150, 227) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/block1/unit_1/bottleneck_v1/shortcut/BatchNorm/FusedBatchNorm incompatible shapes: Shapes (2, ?, ?, 256) and (2, 256, 150, 227) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/block1/unit_1/bottleneck_v1/conv1/BatchNorm/FusedBatchNorm incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 150, 227) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/block1/unit_1/bottleneck_v1/conv1/Relu incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 150, 227) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/block1/unit_1/bottleneck_v1/conv2/Conv2D incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 150, 227) are not compatible.
    Node clone_3/FirstStageFeatureExtractor/resnet_v1_101/resnet_v1_101/block1/unit_1/bottleneck_v1/conv2/BatchNorm/FusedBatchNorm incompatible shapes: Shapes (2, ?, ?, 64) and (2, 64, 150, 227) are not compatible.
