|       |                   | 销 |                | 0 |    |   |              |
|       |                   | 信 |                | 1 |    |   |              |
|       |                   | 息 |                | 1 |    |   |              |
|       |                   | 查 |                |   |    |   |              |
|       |                   | 询 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 45.   | NPS.358.001.01    | 清 |                | J |    |   | 清算账户     |
|       |                   | 算 |                | 1 |    |   | 余额变动通知 |
|       |                   | 账 |                | 0 |    |   |              |
|       |                   | 户 |                | 8 |    |   |              |
|       |                   | 余 |                |   |    |   |              |
|       |                   | 额 |                |   |    |   |              |
|       |                   | 变 |                |   |    |   |              |
|       |                   | 动 |                |   |    |   |              |
|       |                   | 通 |                |   |    |   |              |
|       |                   | 知 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 46.   | NPS.360.001.01    | 清 |                | H |    |   | 清算账户     |
|       |                   | 算 |                | 1 |    |   | 余额透支通知 |
|       |                   | 账 |                | 0 |    |   |              |
|       |                   | 户 |                | 5 |    |   |              |
|       |                   | 余 |                |   |    |   |              |
|       |                   | 额 |                |   |    |   |              |
|       |                   | 透 |                |   |    |   |              |
|       |                   | 支 |                |   |    |   |              |
|       |                   | 通 |                |   |    |   |              |
|       |                   | 知 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 47.   | NPS.362.001.01    | 清 |                | H |    |   | 清算         |
|       |                   | 算 |                | 1 |    |   | 账户余额预警 |
|       |                   | 余 |                | 0 |    |   |              |
|       |                   | 额 |                | 3 |    |   |              |
|       |                   | 预 |                |   |    |   |              |
|       |                   | 警 |                |   |    |   |              |
|       |                   | 通 |                |   |    |   |              |
|       |                   | 知 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 48.   | NPS.363.001.01    | 清 |                | H |    |   | 清算余额查询 |
|       |                   | 算 |                | 0 |    |   |              |
|       |                   | 余 |                | 0 |    |   |              |
|       |                   | 额 |                | 6 |    |   |              |
|       |                   | 查 |                |   |    |   |              |
|       |                   | 询 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 求 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 49.   | NPS.365.001.01    | 资 |                | H |    |   | 资金调拨申请 |
|       |                   | 金 |                | 1 |    |   |              |
|       |                   | 调 |                | 0 |    |   |              |
|       |                   | 拨 |                | 4 |    |   |              |
|       |                   | 申 |                |   |    |   |              |
|       |                   | 请 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 50.   | NPS.366.001.01    | 清 |                | H |    |   | 清算         |
|       |                   | 算 |                | 1 |    |   | 账户余额通知 |
|       |                   | 余 |                | 0 |    |   |              |
|       |                   | 额 |                | 6 |    |   |              |
|       |                   | 通 |                |   |    |   |              |
|       |                   | 知 |                |   |    |   |              |
|       |                   | 报 |                |   |    |   |              |
|       |                   | 文 |                |   |    |   |              |
+-------+-------------------+---+-----------------+---+----+---+--------------+
| 51.   | NPS.368.001.01    | 清 |                | H |    |   | 清算账户     |
|       |                   | 算 |                | 1 |    |   | 余额通知回执 |
|       |                   | 账 |                | 0 |    |   |              |
|       |                   | 户 |                | 7 |    |   |              |
