# G0096: APT41
## Description
APT41 is a threat group known for conducting both Chinese state-sponsored espionage and financially motivated activities. Active since at least 2012, APT41 has targeted various industries, including healthcare, telecommunications, technology, and video gaming, across 14 countries. (Citation: FireEye APT41 Aug 2019)

## Tactics, Techniques, and Procedures (TTPs)
The following table outlines the TTPs associated with APT41:

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| macOS, Windows, AWS, GCP, Azure | Discovery | [Network Share Discovery](https://attack.mitre.org/techniques/T1135/) | APT41 used the `net share` command for network reconnaissance. | Process monitoring, Process command-line parameters, Network protocol analysis, Process use of network |
| Linux, macOS, Windows, AWS, GCP, Azure | Discovery | [System Network Connections Discovery](https://attack.mitre.org/techniques/T1049/) | APT41 used the `netstat` command for network reconnaissance and the HIGHNOON malware to enumerate active RDP sessions. | Process monitoring, Process command-line parameters |
| Linux, Windows, macOS | Execution | [Exploitation for Client Execution](https://attack.mitre.org/techniques/T1203/) | APT41 leveraged several exploits, including CVE-2012-0158, CVE-2015-1641, CVE-2017-0199, CVE-2017-11882, and CVE-2019-3396. | Anti-virus, System calls, Process monitoring |
| Windows | Defense Evasion | [DLL Side-Loading](https://attack.mitre.org/techniques/T1073/) | APT41 used legitimate executables to perform DLL side-loading of their malware. | Process use of network, Process monitoring, Loaded DLLs |
| Linux, macOS, Windows | Defense Evasion | [File Deletion](https://attack.mitre.org/techniques/T1107/) | APT41 deleted files from the system. | File monitoring, Process command-line parameters, Binary file metadata |
| Windows | Defense Evasion, Execution | [Compiled HTML File](https://attack.mitre.org/techniques/T1223/) | APT41 used compiled HTML (.chm) files for targeting. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, Windows, macOS | Command and Control | [Fallback Channels](https://attack.mitre.org/techniques/T1008/) | APT41 used the Steam community page as a fallback mechanism for C2. | Malware reverse engineering, Netflow/Enclave netflow, Packet capture, Process monitoring, Process use of network |
| Linux, macOS, Windows | Defense Evasion, Privilege Escalation | [Process Injection](https://attack.mitre.org/techniques/T1055/) | APT41's malware TIDYELF loaded the main WINTERLOVE component by injecting it into the iexplore.exe process. | API monitoring, Windows Registry, File monitoring, DLL monitoring, Process monitoring, Named Pipes |
| Linux, macOS, Windows | Command and Control | [Standard Application Layer Protocol](https://attack.mitre.org/techniques/T1071/) | APT41 used DNS for C2 communications. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |
| Linux, macOS, Windows | Discovery | [System Network Configuration Discovery](https://attack.mitre.org/techniques/T1016/) | APT41 collected MAC addresses from victim machines. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure AD, Azure, Office 365 | Persistence | [Create Account](https://attack.mitre.org/techniques/T1136/) | APT41 created user accounts and added them to the User and Admin groups. | Office 365 account logs, Azure activity logs, AWS CloudTrail logs, Process monitoring, Process command-line parameters, Authentication logs, Windows event logs |
| Windows | Execution, Persistence, Privilege Escalation | [Scheduled Task](https://attack.mitre.org/techniques/T1053/) | APT41 used a compromised account to create a scheduled task on a system. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Windows | Persistence | [Modify Existing Service](https://attack.mitre.org/techniques/T1031/) | APT41 modified legitimate Windows services to install malware backdoors. | Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS | Defense Evasion | [Clear Command History](https://attack.mitre.org/techniques/T1146/) | APT41 attempted to remove evidence of some of its activity by deleting Bash histories. | Authentication logs, File monitoring |
| Linux, macOS, Windows | Execution | [Command-Line Interface](https://attack.mitre.org/techniques/T1059/) | APT41 used `cmd.exe /c` to execute commands on remote machines. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Impact | [Data Encrypted for Impact](https://attack.mitre.org/techniques/T1486/) | APT41 used a ransomware called Encryptor RaaS to encrypt files on targeted systems and provide a ransom note to the user. | Kernel drivers, File monitoring, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows | Command and Control, Defense Evasion | [Web Service](https://attack.mitre.org/techniques/T1102/) | APT41 used legitimate websites for C2 through dead drop resolvers (DDR), including GitHub, Pastebin, and Microsoft TechNet. | Host network interface, Netflow/Enclave netflow, Network protocol analysis, Packet capture, SSL/TLS inspection |
| Linux, macOS, Windows, AWS, GCP, Azure | Impact | [Resource Hijacking](https://attack.mitre.org/techniques/T1496/) | APT41 deployed a Monero cryptocurrency mining tool in a victim’s environment. | Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Process use of network, Process monitoring, Network protocol analysis, Network device logs |
| Linux, Windows, macOS | Exfiltration | [Data Compressed](https://attack.mitre.org/techniques/T1002/) | APT41 created a RAR archive of targeted files for exfiltration. | Binary file metadata, File monitoring, Process command-line parameters, Process monitoring |
| Windows | Defense Evasion | [Modify Registry](https://attack.mitre.org/techniques/T1112/) | APT41 used a malware variant called GOODLUCK to modify the registry in order to steal credentials. | Windows Registry, File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
