以下是优化后的文本，使其更加清晰、连贯和专业：

---

**参考文献**

1. Jaime Cochran, Zakir Durumeric, J. Alex Halderman, Luca Invernizzi, Michalis Kallitsis, Deepak Kumar, Chaz Lever, Zane Ma, Joshua Mason, Damian Menscher, Chad Seaman, Nick Sullivan, Kurt Thomas, and Yi Zhou. 2017. Understanding the Mirai Botnet. *Proceedings of the 26th USENIX Security Symposium*.

2. A. Barić, V. Amaral, and M. Goulão. 2012. Usability Evaluation of Domain-Specific Languages. *2012 Eighth International Conference on the Quality of Information and Communications Technology*, 342–347. https://doi.org/10.1109/QUATIC.2012.63

3. Barbara Kordy, Sjouke Mauw, Saša Radomirović, and Patrick Schweitzer. 2011. Foundations of Attack–Defense Trees. In *Formal Aspects of Security and Trust*, edited by Pierpaolo Degano, Sandro Etalle, and Joshua Guttman. Springer Berlin Heidelberg, 80–95.

4. David Malone and Kevin Maher. 2012. Investigating the Distribution of Password Choices. *Proceedings of the 21st International Conference on World Wide Web (WWW ’12)*. ACM, New York, NY, USA, 301–310. https://doi.org/10.1145/2187836.2187878

5. Peter Mayer, Jan Kirchner, and Melanie Volkamer. 2017. A Second Look at Password Composition Policies in the Wild: Comparing Samples from 2010 and 2016. *Thirteenth Symposium on Usable Privacy and Security (SOUPS 2017)*. USENIX Association, Santa Clara, CA, 13–28.

6. Openwall Project. 2011. Wordlists and Common Passwords for Password Recovery. http://www.openwall.com/passwords/wordlists/. Accessed: 09/01/2018.

7. Jack Schofield. 2019. I Got a Phishing Email That Tried to Blackmail Me—What Should I Do? *The Guardian*. https://www.theguardian.com/technology/askjack/2019/jan/17/phishing-email-blackmail-sextortion-webcam. Accessed: 2019-08-20.

8. Sean M. Segreti, William Melicher, Saranga Komanduri, Darya Melicher, Richard Shay, Blase Ur, Lujo Bauer, Nicolas Christin, Lorrie Faith Cranor, and Michelle L. Mazurek. 2017. Diversify to Survive: Making Passwords Stronger with Adaptive Policies. *Thirteenth Symposium on Usable Privacy and Security (SOUPS 2017)*. USENIX Association, Santa Clara, CA, 1–12.

9. Richard Shay, Saranga Komanduri, Adam L. Durity, Phillip (Seyoung) Huh, Michelle L. Mazurek, Sean M. Segreti, Blase Ur, Lujo Bauer, Nicolas Christin, and Lorrie Faith Cranor. 2016. Designing Password Policies for Strength and Usability. *ACM Transactions on Information and System Security (TISSEC)* 18, 4, Article 13 (May 2016), 34 pages. https://doi.org/10.1145/2891411

10. S. Shin, G. Gu, N. Reddy, and C. P. Lee. 2012. A Large-Scale Empirical Study of Conficker. *IEEE Transactions on Information Forensics and Security* 7, 2 (April 2012), 676–690. https://doi.org/10.1109/TIFS.2011.2173486

11. Blase Ur, Sean M. Segreti, Lujo Bauer, Nicolas Christin, Lorrie Faith Cranor, Saranga Komanduri, Darya Kurilova, Michelle L. Mazurek, William Melicher, and Richard Shay. 2015. Measuring Real-World Accuracies and Biases in Modeling Password Guessability. *24th USENIX Security Symposium (USENIX Security 15)*. USENIX Association, Washington, D.C., 463–481.

12. Eric R. Verheul. 2006. Selecting Secure Passwords. In *Topics in Cryptology – CT-RSA 2007*, edited by Masayuki Abe. Springer Berlin Heidelberg, 49–66.

13. D. Wang, H. Cheng, P. Wang, X. Huang, and G. Jian. 2017. Zipf’s Law in Passwords. *IEEE Transactions on Information Forensics and Security* 12, 11 (November 2017), 2776–2791. https://doi.org/10.1109/TIFS.2017.2721359

14. Matt Weir, Sudhir Aggarwal, Michael Collins, and Henry Stern. 2010. Testing Metrics for Password Creation Policies by Attacking Large Sets of Revealed Passwords. *Proceedings of the 17th ACM Conference on Computer and Communications Security (CCS ’10)*. ACM, New York, NY, USA, 162–175. https://doi.org/10.1145/1866307.1866327

15. M. Weir, S. Aggarwal, B. de Medeiros, and B. Glodek. 2009. Password Cracking Using Probabilistic Context-Free Grammars. *2009 30th IEEE Symposium on Security and Privacy*. 391–405. https://doi.org/10.1109/SP.2009.8

16. Daniel Lowe Wheeler. 2016. zxcvbn: Low-Budget Password Strength Estimation. *25th USENIX Security Symposium (USENIX Security 16)*. USENIX Association, Austin, TX, 157–173.

17. L. Xu, C. Ge, W. Qiu, Z. Huang, Z. Gong, J. Guo, and H. Lian. 2017. Password Guessing Based on LSTM Recurrent Neural Networks. *2017 IEEE International Conference on Computational Science and Engineering (CSE) and IEEE International Conference on Embedded and Ubiquitous Computing (EUC)*, Vol. 1, 785–788. https://doi.org/10.1109/CSE-EUC.2017.155

---

**附录**

**表11：政策α值排名**

| 政策       | 3class16 | basic20 | 2word16 | basic16 | 3class12 | 2word12 | comp8  | basic12 |
|------------|----------|---------|---------|---------|----------|---------|--------|---------|
| Shay       | 1        | 2       | 3       | 4       | 5        | 6       | 7      | 8       |
| Skeptic    | 1        | 2       | 3       | 6       | 5        | 7       | 4      | 8       |
| α          | -0.00015790845 | -0.00017481256 | -0.00034446767 | -0.01237917795 | -0.00946485322 | -0.01360245343 | -0.00619759948 | -0.16874098618 |
| Distance   | 0        | 0       | 0       | 2       | 0        | 1       | 3      | 0       |

| 政策       | 3class16 | basic20 | 2word16 | basic16 | 3class12 | 2word12 | comp8  | basic12 |
|------------|----------|---------|---------|---------|----------|---------|--------|---------|
| Shay       | 1        | 2       | 3       | 4       | 5        | 6       | 7      | 8       |
| Skeptic    | 1        | 3       | 2       | 7       | 4        | 6       | 5      | 8       |
| α          | -0.15000000183 | -0.22731830237 | -0.18899750304 | -0.45303574889 | -0.28309796453 | -0.31745131738 | -0.2965234856 | -0.47954187505 |
| Distance   | 0        | 1       | 1       | 3       | 1        | 0       | 2      | 0       |

| 政策       | 3class16 | basic20 | 2word16 | basic16 | 3class12 | 2word12 | comp8  | basic12 |
|------------|----------|---------|---------|---------|----------|---------|--------|---------|
| Shay       | 1        | 2       | 3       | 4       | 5        | 6       | 7      | 8       |
| Skeptic    | 1        | 4       | 2       | 6       | 5        | 7       | 3      | 8       |
| α          | -0.04210526403 | -0.15048415667 | -0.05134151255 | -0.17558403806 | -0.15869415661 | -0.18670016936 | -0.15048415667 | -0.35504148566 |
| Distance   | 0        | 2       | 1       | 2       | 0        | 1       | 4      | 0       |

| 政策       | 3class16 | basic20 | 2word16 | basic16 | 3class12 | 2word12 | comp8  | basic12 |
|------------|----------|---------|---------|---------|----------|---------|--------|---------|
| Shay       | 1        | 2       | 3       | 4       | 5        | 6       | 7      | 8       |
| Skeptic    | 7        | 8       | 6       | 5       | 2        | 3       | 4      | 1       |
| α          | -1.33181526992 | -1.65587234842 | -1.33177869336 | -1.02369206677 | -0.77450139244 | -0.82018732762 | -0.87004936668 | -0.77238736541 |
| Distance   | 0        | 6       | 6       | 3       | 1        | 3       | 3      | 7       |

---

希望这些修改能够使你的文档更加清晰和专业。如果有任何进一步的调整需求，请随时告知。
