### Authorized Use and Download Information
This document is authorized for licensed use limited to IEEE Xplore. It was downloaded on March 18, 2021, at 12:50:21 UTC from IEEE Xplore. Restrictions apply.

### Figure 7: Municipal Seal Usage
This style of seal is used throughout the municipality. To ensure the correct seal is being used, consumers must be aware of the type of seal expected to be present.

### Figure 8: Security Seal on a Gas Pump
The image shows a security seal on a gas pump that instructs consumers to immediately notify an attendant if the words "VOID OPEN" appear. The presence of these words indicates tampering.

### B. Real-World Skimmer Data
To measure the impact of security measures, we conducted a long-term study of skimmer incidents in Florida. The Department of Agriculture and Consumer Services (DACS) is responsible for inspecting gas pumps, including pay-at-the-pump terminals. DACS has the legal authority to open pumps for inspection and regularly inspects each pump in Florida. They also collect reports from other law enforcement agencies when skimmers are identified.

#### Data Collection
We obtained records of all reported gas pump skimmers between March 10, 2015, and November 14, 2018, from the Florida DACS. These reports provide insights into the locations and types of skimmers found, as well as the security measures in place at the time of detection. The dataset includes 1,588 reports covering 2,072 skimmers across 953 unique locations. All identified skimmers were internal.

### Figure 9: Map of Found Skimmers in Florida
A map showing the locations of all found skimmers in Florida from early 2015 to late 2018.

### Analysis of Data
Using the raw data from the Florida DACS, we resolved the addresses to latitude and longitude using the Geocodio API. We successfully geocoded 97% of the reports, with the remaining 3% failing due to coarse location or improper addressing. Using Cartopy and Matplotlib, we plotted the incidence of skimmers by location, as shown in Figure 9. Skimmer density correlates with major population centers like southeast Florida, but well-traveled interstates and state roads also attract skimmers regardless of the surrounding area.

### Figure 10: Distance to Nearest Interstate Exit
A cumulative distribution showing the great circle distance in miles of all found skimmers in Florida to the nearest interstate exit. Nearly 50% of all skimmers were found within one mile of an interstate exit, 80% within three miles, and 90% within five miles. This suggests that driving more than five miles from an interstate would substantially reduce the risk, though it may not be convenient for most consumers.

### Security Measures and Their Effectiveness
#### Seal and Tape Conditions
The most common themes in the reports were related to tamper-evident seals. The top two themes were "tape correctly placed" (929 comments) and "tape incorrectly placed" (79 comments). Other themes included "tape broken" (33 comments), "tape not present" (30 comments), "tape intact" (17 comments), "tape present" (17 comments), "tape was incorrect/fake" (13 comments), and "tape not working" (3 comments). The high frequency of seal-related themes highlights the reliance on seals for securing pumps.

Most comments mentioned correctly placed seals. However, in some cases, the tape was intact and correctly placed even after skimmer installation, suggesting that seals' presence and placement are being attacked. Possible reasons include:
- The seal not functioning correctly.
- The seal being replaced by the adversary.
- An employee not checking for or noticing the skimmer.
- The skimmer being installed from the rear of the unit, where the pump is not internally sealed.

#### Discovery of Fake or Incorrect Seals
The discovery of fake or incorrect seals confirms attacks on seal identity. Consumers or employees need to know how the expected seal should look and, if available, the correct serial number to verify its authenticity.

### Security Measures in Place
Two fields in each report reference security measures: "Security Measures in Place?" and "Comment." We were informed that the former notes whether any approved security measure was in use. Out of 1,588 reports, 300 (18.9%) answers to "Security Measures in Place?" were blank, and 42 (2.6%) contained an answer other than "Yes" or "No." Of the remaining records, 1,127 (90.4%) indicated measures were in place, and 119 (9.6%) indicated they were not.

### Comments Analysis
The Comments field is a free-form field, and we analyzed 1,190 reports that included information in this field. Two researchers coded the data, generating a set of codes representing the security measures, their condition, and how they were discovered. The average Cohen’s kappa over the 30 codes was κ=0.94 (min=0.73, SD=0.09), indicating almost perfect agreement.

### Table IV: Codebook with Examples
| Code | Count | Example |
|------|-------|---------|
| tape correctly placed | 929 | All dispensers have correctly placed security tape/unbroken (351) |
| tape incorrectly placed | 79 | Improper placement of security tape (389) |
| no annotation | 39 | Guardian is currently on site changing the exterior locks and installing the interior security box that encases the card reader board. (358) |
| discovered by technician | 37 | Skimmer found by tech while making repairs. (1585) |
| tape broken | 33 | All tape was either broken or missing on all pumps (569) |
| tape not present | 30 | Did not have security tape but put it on while the Inspector was present (353) |
| discovered by facility | 26 | Skimmer found by owner during routine Inspection/Properly placed security tape (446) |
| high security lock | 26 | Has high security lock, but no tape. (1269) |
| Bluetooth skimmer | 22 | Blue Tooth signal information. Blue Tooth signal: Comfort-Inn High security locks installed on all pumps but not working order during inspection (912) |
| tape intact | 17 | All dispensers have correctly placed security tape/unbroken (351) |
| tape present | 17 | Pumps have security tape (321) |
| cellular skimmer | 15 | All skimmers had cell phone chip. 2 skimmers on pump 1 and 2. on the wire and in the card reader. No security tape. Pump has a high security lock (931) |
| tape was incorrect/fake | 13 | Security tape/fake seals were put on/good fake seals (977) |
| locks not working | 10 | Blue Tooth signal information. Blue Tooth signal: Comfort-Inn High security locks installed on all pumps but not working order during inspection (912) |
| education | 9 | Educated facility staff on identifying skimmers, and ensured they understood proper placement and inspection procedures to ensure the security seals were not tampered with. (1148) |
| low security lock | 9 | Locks had not been replaced on Pump #5 & #6 (261) |
| unclear | 8 | All nozzles bagged off-out of product/received paperwork on 12/15/16 (313) |
| extra lock | 6 | Properly placed security tape/Had extra lock that was ripped open (373) |
| alarm not working | 4 | Alarm set for bottom cabinet on dispensers/not top half ( cc readers) (345) |
| alarm | 3 | No security seals. Pump had standard lock. Skimmer sweep with Hardee County Sheriffs Department. (958) |
| high security screws | 2 | Properly placed tape and high security lock/pried door open to bend the extra lock (387) |
| no security measures | 2 | Pumps have properly placed security tape and an alarm (602) |
| signs of tampering | 2 | Consumer complaint for pump 11. I then conducted an inspection of all pumps for skimmers. I found an intact card reader skimmer board on pump 13. This business uses special design Wayne bolts/secondary locks and tapes. The skimmer was removed by tech and given to police (857) |
| non-wireless skimmer | 2 | Inadequate security measures ( tape does not show VOID (430) |
| enhanced security | 2 | Pumps have properly placed security tape and enhanced security (1069) |
| vampire clip skimmer | 1 | Cell phone chip in skimmer. Enhanced security screws and locks on all pumps (923) |

### Conclusion
The data overwhelmingly shows that existing security measures are ineffective at deterring skimmers. The presence and condition of other security measures, such as high security locks, alarms, and screws, were also noted. High security locks were the most commonly mentioned non-seal security measure, but their effectiveness remains questionable. Future work could focus on developing predictive models for skimming attacks based on comprehensive data about gas station locations.
