```    
```    
db1=> select * from pgaudit.audit_sql_drop ;    
-[ RECORD 1 ]---+--------------------------------    
event           | sql_drop    
tag             | DROP TABLE    
username        | test    
datname         | db1    
client_addr     |     
client_port     |     
crt_time        | 2017-09-25 16:06:08.22198    
classid         | 1259    
objid           | 33212    
objsubid        | 0    
original        | t    
normal          | f    
is_temporary    | f    
object_type     | table    
schema_name     | public    
object_name     | tbl    
object_identity | public.tbl    
address_names   | {public,tbl}    
address_args    | {}    
-[ RECORD 2 ]---+--------------------------------    
event           | sql_drop    
tag             | DROP TABLE    
username        | test    
datname         | db1    
client_addr     |     
client_port     |     
crt_time        | 2017-09-25 16:06:08.22198    
classid         | 2604    
objid           | 33215    
objsubid        | 0    
original        | f    
normal          | f    
is_temporary    | f    
object_type     | default value    
schema_name     |     
object_name     |     
object_identity | for public.tbl.info    
address_names   | {public,tbl,info}    
address_args    | {}    
-[ RECORD 3 ]---+--------------------------------    
event           | sql_drop    
tag             | DROP TABLE    
username        | test    
datname         | db1    
client_addr     |     
client_port     |     
crt_time        | 2017-09-25 16:06:08.22198    
classid         | 1247    
objid           | 33214    
objsubid        | 0    
original        | f    
normal          | f    
is_temporary    | f    
object_type     | type    
schema_name     | public    
object_name     | tbl    
object_identity | public.tbl    
address_names   | {public.tbl}    
address_args    | {}    
-[ RECORD 4 ]---+--------------------------------    
event           | sql_drop    
tag             | DROP TABLE    
username        | test    
datname         | db1    
client_addr     |     
client_port     |     
crt_time        | 2017-09-25 16:06:08.22198    
classid         | 1247    
objid           | 33213    
objsubid        | 0    
original        | f    
normal          | f    
is_temporary    | f    
object_type     | type    
schema_name     | public    
object_name     | _tbl    
object_identity | public.tbl[]    
address_names   | {public.tbl[]}    
address_args    | {}    
-[ RECORD 5 ]---+--------------------------------    
event           | sql_drop    
tag             | DROP TABLE    
username        | test    
datname         | db1    
client_addr     |     
client_port     |     
crt_time        | 2017-09-25 16:06:08.22198    
classid         | 1259    
objid           | 33222    
objsubid        | 0    
original        | f    
normal          | f    
is_temporary    | f    
object_type     | toast table    
schema_name     | pg_toast    
object_name     | pg_toast_33212    
object_identity | pg_toast.pg_toast_33212    
address_names   | {pg_toast,pg_toast_33212}    
address_args    | {}    
-[ RECORD 6 ]---+--------------------------------    
event           | sql_drop    
tag             | DROP TABLE    
username        | test    
datname         | db1    
client_addr     |     
client_port     |     
crt_time        | 2017-09-25 16:06:08.22198    
classid         | 1259    
objid           | 33224    
objsubid        | 0    
original        | f    
normal          | f    
is_temporary    | f    
object_type     | index    
schema_name     | pg_toast    
object_name     | pg_toast_33212_index    
object_identity | pg_toast.pg_toast_33212_index    
address_names   | {pg_toast,pg_toast_33212_index}    
address_args    | {}    
-[ RECORD 7 ]---+--------------------------------    
event           | sql_drop    
tag             | DROP TABLE    
username        | test    
datname         | db1    
client_addr     |     
client_port     |     
crt_time        | 2017-09-25 16:06:08.22198    
classid         | 1247    
objid           | 33223    
objsubid        | 0    
original        | f    
normal          | f    
is_temporary    | f    
object_type     | type    
schema_name     | pg_toast    
object_name     | pg_toast_33212    
object_identity | pg_toast.pg_toast_33212    
address_names   | {pg_toast.pg_toast_33212}    
address_args    | {}    
```    
```    
db1=> select * from pgaudit.audit_table_rewrite ;    
     event     |     tag     | username | datname | client_addr | client_port |          crt_time          | table_rewrite_oid | table_rewrite_reason     
---------------+-------------+----------+---------+-------------+-------------+----------------------------+-------------------+----------------------    
 table_rewrite | ALTER TABLE | test     | db1     |             |             | 2017-09-25 16:05:59.781995 |             33212 |                    2    
(1 row)    
```    
10、 使用listen监听异步消息  
```  
postgres=# listen ddl_event;  
LISTEN  
Asynchronous notification "ddl_event" with payload "CLASS_NSP:pg_catalog, CLASS_NAME:pg_class, OBJ:, CONTENT:{"event":"sql_drop","tag":"DROP TABLE","username":"postgres","datname":"postgres","client_addr":null,"client_port":null,"crt_time":"2018-03-13T15:27:22.792129","classid":"1259","objid":"1596751","objsubid":0,"original":true,"normal":false,"is_temporary":false,"object_type":"table","schema_name":"public","object_name":"a","object_identity":"public.a","address_names":["public","a"],"address_args":[],"xid":372671943}" received from server process with PID 51884.  
Asynchronous notification "ddl_event" with payload "CLASS_NSP:pg_catalog, CLASS_NAME:pg_type, OBJ:, CONTENT:{"event":"sql_drop","tag":"DROP TABLE","username":"postgres","datname":"postgres","client_addr":null,"client_port":null,"crt_time":"2018-03-13T15:27:22.792129","classid":"1247","objid":"1596753","objsubid":0,"original":false,"normal":false,"is_temporary":false,"object_type":"type","schema_name":"public","object_name":"a","object_identity":"public.a","address_names":["public.a"],"address_args":[],"xid":372671943}" received from server process with PID 51884.  
Asynchronous notification "ddl_event" with payload "CLASS_NSP:pg_catalog, CLASS_NAME:pg_type, OBJ:, CONTENT:{"event":"sql_drop","tag":"DROP TABLE","username":"postgres","datname":"postgres","client_addr":null,"client_port":null,"crt_time":"2018-03-13T15:27:22.792129","classid":"1247","objid":"1596752","objsubid":0,"original":false,"normal":false,"is_temporary":false,"object_type":"type","schema_name":"public","object_name":"_a","object_identity":"public.a[]","address_names":["public.a[]"],"address_args":[],"xid":372671943}" received from server process with PID 51884.  
Asynchronous notification "ddl_event" with payload "CLASS_NSP:pg_catalog, CLASS_NAME:pg_class, OBJ:, CONTENT:{"event":"sql_drop","tag":"DROP TABLE","username":"postgres","datname":"postgres","client_addr":null,"client_port":null,"crt_time":"2018-03-13T15:27:22.792129","classid":"1259","objid":"1596754","objsubid":0,"original":false,"normal":false,"is_temporary":false,"object_type":"toast table","schema_name":"pg_toast","object_name":"pg_toast_1596751","object_identity":"pg_toast.pg_toast_1596751","address_names":["pg_toast","pg_toast_1596751"],"address_args":[],"xid":372671943}" received from server process with PID 51884.  
