## Geohashes

[Geohashes](http://en.wikipedia.org/wiki/Geohash) 是一种将经纬度坐标对（`lat/lon`）编码成字符串的方法。最初，这种方法被用于使URL中的地理位置更易读。然而，如今Geohashes已成为在数据库中有效索引地理坐标点和地理形状的重要工具。

Geohashes通过将全球划分为32个单元格（4行8列），每个单元格用一个字母或数字表示。例如，单元 `g` 覆盖了半个格陵兰岛、整个冰岛以及大不列颠的大部分地区。每个这样的单元格可以进一步细分为新的32个子单元，这一过程可以无限递归地继续下去。比如，`gc` 包含爱尔兰和英格兰；`gcp` 涵盖了伦敦的主要部分及南英格兰的部分区域；而 `gcpuuz94k` 则精确到伯明翰宫入口处，其精度约为5米。因此，Geohash字符串越长，所代表的位置就越具体。

如果两个Geohashes共享相同的前缀，如 `gcpuuz`，这意味着它们位于彼此非常接近的地方。前缀相同的部分越长，则这两个位置之间的距离就越近。然而，值得注意的是，两个紧邻但跨越不同主要单元边界的地点可能会拥有完全不同的Geohashes。以伦敦的 [Millennium Dome](http://en.wikipedia.org/wiki/Millennium_Dome) 为例，它的Geohash为 `u10hbp`，因为它位于较大的 `u` 单元内，而它东侧相邻的最大单元则是 `g`。

地理坐标点能够自动映射至相应的Geohashes，并且会被索引到所有层级的Geohash _前缀_。以下展示了伯明翰宫门口（纬度：`51.501568`，经度：`-0.141257`）如何在不同尺寸精度上建立Geohash索引：

| Geohash       | 级别 | 尺寸范围         |
|--------------|-----|-----------------|
| g            | 1   | ~ 5,004km x 5,004km |
| gc           | 2   | ~ 1,251km x 625km    |
| gcp          | 3   | ~ 156km x 156km      |
| gcpu         | 4   | ~ 39km x 19.5km      |
| gcpuu        | 5   | ~ 4.9km x 4.9km      |
| gcpuuz       | 6   | ~ 1.2km x 0.61km     |
| gcpuuz9      | 7   | ~ 152.8m x 152.8m    |
| gcpuuz94     | 8   | ~ 38.2m x 19.1m      |
| gcpuuz94k    | 9   | ~ 4.78m x 4.78m      |
| gcpuuz94kk   | 10  | ~ 1.19m x 0.60m      |
| gcpuuz94kkp  | 11  | ~ 14.9cm x 14.9cm    |
| gcpuuz94kkp5 | 12  | ~ 3.7cm x 1.8cm      |

使用 [`geohash_cell` 过滤器](http://bit.ly/1DIqyex)，可以根据给定的坐标点 (`lat/lon`) 查找与其相邻的所有位置。
