	- 9.26 [火眼：《2018上半年电子邮件威胁报告》](https://www.aqniu.com/industry/39170.html)
	- 9.26 [Android Trojan reads Whatsapp-Messages](https://www.gdatasoftware.com/blog/2018/09/31122-android-trojan-reads-whatsapp-messages)
	- 9.27 [金融行业微蜜罐系统应用思考](http://blog.nsfocus.net/application-micro-honeypot-system-financial-industry/)
	- 9.27 [用户名“admin”、密码“123456”，乌克兰军方系统安全问题被曝光](http://www.freebuf.com/news/185614.html)
	- 9.27 [毒云藤（APT-C-01）军政情报刺探者揭露](http://www.freebuf.com/articles/system/185155.html)
	- 9.27 [BLE安全入门及实战（2）](https://www.secpulse.com/archives/75963.html)
	- 9.28 [新Njrat木马（Bladabindi）的新功能源码分析](http://www.freebuf.com/articles/terminal/184930.html)
	- 9.28 [“绿斑”行动——持续多年的攻击](http://www.freebuf.com/vuls/185139.html)
	- 9.28 [移动互联网十年](https://www.pingwest.com/a/177759)
	- 9.28 [挖洞经验 | 看我如何发现雅虎邮箱APP的存储型XSS漏洞](http://www.freebuf.com/articles/terminal/184041.html)
	- 9.29 [HTTP协议调试工具汇总，你心目中应该是什么样的？](http://www.freebuf.com/sectool/184366.html)
	- 9.29 [揭秘网络犯罪分子如何利用区块链隐藏自己](http://www.freebuf.com/articles/web/183993.html)
	- 9.29 [GhostDNS正在针对巴西地区70种、100,000+家用路由器做恶意DNS劫持](http://blog.netlab.360.com/70-different-types-of-home-routers-all-together-100000-are-being-hijacked-by-ghostdns/)
	- 9.29 [GhostDNS正在针对巴西地区70种、100,000+家用路由器做恶意DNS劫持](http://blog.netlab.360.com/70-different-types-of-home-routers-all-together-100000-are-being-hijacked-by-ghostdns/)
	- 9.30 [代码自动化扫描系统的建设（下）](http://www.freebuf.com/articles/web/185148.html)
- 0x09
	- 10.2 [看专家解释攻击者如何通过苹果移动设备管理协议（MDM）攻击企业中的Mac](http://www.freebuf.com/articles/system/184319.html)
	- 10.3 [Facebook任意JS代码执行漏洞原理与利用分析](http://www.freebuf.com/vuls/185076.html)
	- 10.5 [日益增加的移动诈骗攻击分析简报](http://www.freebuf.com/news/185254.html)
	- 10.5 [彭博社曝光的“间谍芯片”，我在淘宝1块钱就能买一个](http://www.freebuf.com/news/185968.html)
	- 10.5 [Palo Alto Networks a Seven-Time Gartner Magic Quadrant Leader](https://researchcenter.paloaltonetworks.com/2018/10/palo-alto-networks-seven-time-gartner-magic-quadrant-leader/)
	- 10.5 [APT28：新网络间谍活动将目标瞄准军事和政府机构](https://www.symantec.com/connect/zh-hans/blogs/apt28-0)
	- 10.6 [Vulnhub靶机Wakanda渗透测试攻略](http://www.freebuf.com/articles/network/185023.html)
	- 10.7 [挖洞经验 | 看我如何发现Facebook安卓APP的$8500美金Webview漏洞](http://www.freebuf.com/articles/terminal/184500.html)
	- 10.8 [廉价安卓手机的秘密：暗藏后门来获利](http://www.ijiandao.com/2b/baijia/173259.html)
	- 10.9 [物联网僵尸网络“捉迷藏”新变种发现：Android 设备成新受害者](http://hackernews.cc/archives/24232)
	- 10.9 [前端安全系列（一）：如何防止XSS攻击？](http://www.freebuf.com/articles/web/185654.html)
	- 10.10 [家用路由器的安全性几何？](http://www.freebuf.com/news/186029.html)
	- 10.10 [昨天，我的手机收到了一条霸占全屏的匿名“信息”](http://www.freebuf.com/articles/network/186022.html)
	- 10.10 [BLE安全入门及实战（3）](https://www.secpulse.com/archives/76377.html)
	- 10.10 [工业互联网安全：风起于青萍之末](https://www.aqniu.com/vendor/39420.html)
	- 10.11 [网络间谍组织APT28瞄准军事和政府机构](https://www.aqniu.com/threat-alert/39456.html)
	- 10.11 [Shielding Software From Privileged Side-Channel Attacks](https://www.securitygossip.com/blog/2018/10/11/shielding-software-from-privileged-side-channel-attacks)
	- 10.11 [Fake Flash Updaters Push Cryptocurrency Miners](https://researchcenter.paloaltonetworks.com/2018/10/unit42-fake-flash-updaters-push-cryptocurrency-miners/)
	- 10.11 [DNS后门及其检测](http://www.freebuf.com/articles/network/185324.html)
	- 10.11 [美国GAO武器系统安全报告：先进武器装备多存在安全漏洞](http://www.freebuf.com/news/186414.html)
	- 10.11 [知己知彼之新型勒索Viro Botnet Ransomware的功能分析](http://www.freebuf.com/articles/terminal/185735.html)
	- 10.11 [华夏银行技术处长编写病毒程序取款700余万占为己有，现已受审](http://www.freebuf.com/news/186335.html)
	- 10.11 [Adaptable, All-in-One Android Trojan Shows the Future of Malware](https://threatpost.com/adaptable-all-in-one-android-trojan-shows-the-future-of-malware/138215/)
	- 10.11 [New TeleBots backdoor: First evidence linking Industroyer to NotPetya](https://www.welivesecurity.com/2018/10/11/new-telebots-backdoor-linking-industroyer-notpetya/)
	- 10.11 [2018 上半年有 45 亿账号被盗 平均每分钟 4822 个](http://hackernews.cc/archives/24251)
	- 10.11 [医疗互联网服务敏感数据泄露风险调查报告](http://www.freebuf.com/vuls/186160.html)
	- 10.12 [APT组织ZooPark V3版移动样本分析](http://www.freebuf.com/articles/terminal/185500.html)
	- 10.14 [安卓手机搭建渗透环境（无需Root）](http://www.freebuf.com/sectool/186251.html)
	- 10.15 [Danger-zone ：一款可将域、IP和email地址关联并可视化输出的工具](http://www.freebuf.com/sectool/185771.html)
	- 10.15 [移动安全自动化测试框架MobSF多个版本静态分析接口存在的任意文件写入漏洞复现与分析](http://www.freebuf.com/vuls/185937.html)
	- 10.15 [无字母数字Webshell之提高篇](http://www.freebuf.com/articles/web/186298.html)
	- 10.15 [顺藤摸瓜，炒股交流群里的黑产陷阱](http://www.freebuf.com/articles/network/186525.html)
	- 10.16 [技术讨论 | 一种基于软件捆绑方式Bypass AV的思路](http://www.freebuf.com/articles/system/186168.html)
	- 10.16 [一次入侵应急响应分析](http://www.freebuf.com/articles/network/186071.html)
	- 10.16 [新型鼠标光标劫持攻击将允许攻击者劫持GoogleChrome会话](http://www.freebuf.com/articles/web/185853.html)
	- 10.16 [SMS-based two-factor authentication is not safe — consider these alternative 2FA methods instead](https://www.kaspersky.com/blog/2fa-practical-guide/24219/)
	- 10.17 [网络安全威胁信息格式规范正式发布，国内威胁情报发展迎来新阶段](http://www.freebuf.com/news/186490.html)
		[在线预览|GB/T 36643-2018](http://c.gb688.cn/bzgk/gb/showGb?type=online&hcno=971636AF85AD7158EA50BB428F67C803)
	- 10.17 [开源软件源代码安全缺陷分析报告——人工智能类开源软件专题](http://www.freebuf.com/articles/paper/186281.html)
	- 10.17 [Ubiquitous SEO Poisoning URLs](http://www.zscaler.com/blogs/research/ubiquitous-seo-poisoning-urls-0)
	- 10.17 [小心！这个木马偷了网易的身份证 还能远程控制你的电脑](https://www.aqniu.com/threat-alert/39677.html)
	- 10.18 [免越狱虚拟定位外挂的调试小记与检测方案](https://www.secpulse.com/archives/76854.html)
	- 10.18 [Linux应急响应（三）：挖矿病毒](https://www.secpulse.com/archives/76825.html)
	- 10.19 [Cookie篡改与命令注入](http://www.freebuf.com/vuls/181368.html)
	- 10.19 [给我一个无线切入点，我就可以操控你的物理隔离网络](http://www.freebuf.com/articles/es/186565.html)
	- 10.20 [XMR恶意挖矿案例简析](http://www.freebuf.com/articles/system/186743.html)
	- 10.21 [广撒网，多捞鱼：当黑客们也不再“安于本分”](http://www.freebuf.com/news/186393.html)
	- 10.21 [逃避沙箱并滥用WMI：新型勒索软件PyLocky分析](http://www.freebuf.com/articles/system/186626.html)
	- 10.22 [2017年十大Web黑客技术榜单](http://www.freebuf.com/articles/web/186739.html)
