### 术语表

**可用性 (Availability)**
- 确保经过授权的主体能够及时且不被打断地访问客体。

**意识 (Awareness)**
- 安全教育的一种形式，是开展培训的先决条件。其目的是将安全放在首位，并使学员或用户认识到这一点。

**后门 (Backdoor 或 Back Door)**
- 后门是没有记录在文档中的命令序列，允许软件开发人员绕过正常的访问限制。后门可以由制造商放置或由黑客利用漏洞放置。

**员工证 (Badges)**
- 一种物理身份标识和/或电子访问控制设备。

**按需带宽 (Bandwidth on Demand)**
- 服务提供商提供的功能/优点：如果运营商网络具有容量，允许客户在需要时消费更多带宽。这种消耗通常以更高的费率计费。

**基址+偏移量寻址 (Base+offset Addressing)**
- 一种寻址机制，使用存储在一个CPU寄存器中的数值作为基址，然后将指令提供的偏移量与基址相加，从计算得到的存储器地址中取出操作数。

**基带 (Baseband)**
- 一次只能传输一个单独信号的通信介质。

**基线 (Baseline)**
- 组织中所有系统必须达到的安全性的最小级别。基线可以包括安全性、性能（用于基于行为的IDS）或配置（用于配置管理）。

**基本输入/输出系统 (Basic Input/Output System, BIOS)**
- 独立于操作系统的原始指令，用于启动计算机并从磁盘加载操作系统。

**基本速率接口 (Basic Rate Interface, BRI)**
- ISDN服务类型，提供2个B通道（或数据通道）和1个D通道（或管理通道）。每个B通道提供64Kbps的速率，D通道提供16Kbps的速率。

**信标帧 (Beacon Frame)**
- 无线网络报文类型，通过宣告网络SSID或网络名称来广播无线网络的存在。

**行为 (Behavior)**
- 在面向对象编程术语和技术中，指客体对消息处理后的结果或输出。

**基于行为的检测 (Behavior-based Detection)**
- IDS使用的一种入侵发现机制，通过观察和研究找出系统中正常的行为和事件。一旦积累了足够的正常行为数据，就可以检测到异常和可能含有恶意的行为和事件。也称为统计入侵检测、异常检测或启发式检测。

**Bell-LaPadula 模型**
- 一种基于状态机模型、关注机密性的安全模型，采用强制访问控制和格子模型。

**最佳证据规则 (Best Evidence Rule)**
- 该规则声明，当文档被用作法庭处理的证据时，必须提供原始文档。除了某些例外情况，副本不会被接受为证据。

**Biba 模型**
- 一种基于状态机模型、关注完整性的安全模型，采用强制访问控制和格子模型。

