**机密文件 - Tencent © 2019**

# 游戏安全的攻防艺术

**演讲者邮箱: PI:EMAIL**
**日期: 2019.02**

---

## 个人简介
- **2013年至今:** 腾讯游戏业务安全部技术专家
- **2005-2012年:** 趋势科技架构师
- **2005-2008年:** 开发和设计PE病毒沙箱
- **2008-2012年:** 开发和设计脚本漏洞分析引擎
- **2013年至今:** 开发和设计游戏安全通用方案
- **2011年8月:** 在Defcon19上发表演讲“Chinese Phishing at Defcon19”，拉斯维加斯

---

### 1. 外挂是什么？

#### 外挂的发展史
- **单机游戏:** CheatEngine/FPE
- **网络游戏:**
  - 脱机挂 (WPE/WireShark)
  - 加速/倍攻 (数值异常)
  - 透视/自瞄 (Hook, 驱动)
  - 炸房/强登
- **打金工作室/代充/代练**
- **手游模拟器**

#### 目前中国的外挂行业运作模式

#### 中国网游作弊用户分布
- 越热门的游戏作弊越多
- 一些作弊软件卖得很贵
- 绝大多数作弊者都是新进玩家
- 60%的作弊发生在网吧
- 由于PUBG的影响，FPS作弊现在非常流行

#### FPS游戏作弊的爆发
- **PUBG:**
  - 2018年，超过2700款外挂被监控到
  - 高峰期每天超过100款外挂进行更新
- **FPS:**
  - 2018年大约有60款以上的FPS生存游戏
  - 所有的游戏都发现有外挂的存在
- **APEX:**
  - 自2019年2月5日发布以来，72小时内超过1000万玩家
  - 已经发现超过60款外挂在售卖

#### 月入宝马不是梦

### 2. 外挂技术原理的讨论

#### 安全领域的大讨论
- **软件漏洞:**
  - 游戏bug，复制金币
  - 客户端逻辑没有服务器验证
  - 盗版问题
- **网络安全:**
  - 报文篡改
  - DDOS攻击
- **服务器、数据安全:**
  - 服务器入侵
  - SQL注入/回档

#### 暗黑3漏洞 - 金币复制

#### 内存修改型
- **游戏对象属性:**
  - 血量，攻击力，怪物等
- **修改或调用游戏逻辑:**
  - 碰撞检测，自动瞄准
- **游戏资源文件:**
  - 手游/弱联网
  - 本地效果

#### LOL改模型

#### 堡垒之夜/人物透视

#### 脱机挂/协议模拟
- **端游:**
  - UnReal Engine (开源)
  - 外挂工作室
- **页游:**
  - Fiddle
- **手游:**
  - 离线

#### 针对腾讯游戏的DDOS
- **LOL:**
  - 当对局要输时，通过DDOS导致服务端崩溃
- **QQCart:**
  - 海量数据包导致安全包解析失败
- **灰色产业:**
  - 中小厂商相互攻击

#### 模拟按键
- **技术点:**
  - SendMessage/SendInput/KdbClass
  - 图像识别
  - 简单的状态机/深度学习AI
- **用途:**
  - 自动瞄准/自动开枪
  - 挂机脚本

#### 同步器硬件
- DNF工作室
  - 可以在淘宝上买到

### 3. 游戏保护与安全对抗

#### 游戏安全的特殊性
- **玩家:**
  - 要求打击
  - 侥幸心理/协助外挂
- **游戏开发运营:**
  - KPI考核，活跃和营收
- **工作室:**
  - 靠量取胜

#### 外挂对抗之产品侧
- **举报:**
  - 视频举报
  - 恶意挂机
- **处罚手段:**
  - 封号/封禁机器
  - 踢人
  - 限制收益
  - 禁闭、禁言

#### 外挂对抗之技术侧
- **通用检测:**
  - 基础保护
  - 样本
  - 举例: EAC (Easy Anti-Cheat), BattleEye (at PUBG)
- **行为检测:**
  - 收益
  - 伤害
  - 坐标

#### 基础保护
- **反调试/加壳/代码混淆:**
  - VMP
- **完整性检测**
- **驱动:**
  - 基于VT的保护（腾讯）

#### 基于样本的保护
- **样本收集渠道:**
  - 量少
- **分析系统的容量:**
  - 依赖人工
- **样本自身的加密变形:**
  - 特征难于提取
- **外网特征运营的安全性:**
  - 风险不可控

可疑样本
- 收集
- 外挂识别
- 特征提取
- 白名单
- 测试
- 对抗监控
- 特征发布

#### 基于行为的保护
- **游戏数据:**
  - 通关时间/人物属性
  - 坐标
- **数据挖掘:**
  - 修改点，样本
  - 历史战绩

#### LOL工作室
- **LOL坐标:**
  - CNN (160*160, ResNet)
  - LSTM 坐标序列

#### 图像识别检测透视

---

更多详细信息，请访问 [gslab.qq.com](http://gslab.qq.com)
