### Table 14: Results for LOGO CV for mAGDs of Single DGAs Grouped by Seed Using SVMs
In total, 150 sets of 30 DGAs were considered.

| Metric | Value |
|--------|-------|
| 0.00026 |       |
| 0.99133 |       |
| 0.99185 |       |
| 0.99240 |       |
| 0.99252 |       |
| 0.00014 |       |
| 0.99211 |       |
| 0.99254 |       |
| 0.99272 |       |
| 0.99108 |       |
| 0.00047 |       |
| 0.99016 |       |
| 0.99112 |       |
| 0.99207 |       |
| 0.00748 |       |
| 0.00014 |       |
| 0.00728 |       |
| 0.00746 |       |
| 0.00789 |       |
| 0.00892 |       |
| 0.00047 |       |
| 0.00793 |       |
| 0.00888 |       |
| 0.00984 |       |

### Table 18: Classification Accuracy for Training on RWTH Aachen Data and Prediction on Siemens Data Using SVMs

| Metric | Value |
|--------|-------|
| ACC    | 0.99464 |
| TPR    | 0.00017 |
| TNR    | 0.99430 |
| FNR    | 0.99468 |
| FPR    | 0.99492 |
| ACC    | 0.99148 |
| TPR    | 0.00056 |
| TNR    | 0.99037 |
| FNR    | 0.99156 |
| FPR    | 0.99245 |
| ACC    | 0.99779 |
| TPR    | 0.00037 |
| TNR    | 0.99721 |
| FNR    | 0.99784 |
| FPR    | 0.99854 |
| ACC    | 0.00852 |
| TPR    | 0.00056 |
| TNR    | 0.00755 |
| FNR    | 0.00844 |
| FPR    | 0.00963 |
| ACC    | 0.00221 |
| TPR    | 0.00037 |
| TNR    | 0.00146 |
| FNR    | 0.00216 |
| FPR    | 0.00279 |

### Table 15: Results for Detecting mAGDs with SVMs of Arbitrary Mixed DGAs Using 5 Repetitions of 5-Fold CV for Each Set
In total, 20 sets were considered.

| Metric | Value |
|--------|-------|
| ACC    | 0.97972 |
| TPR    | 0.00041 |
| TNR    | 0.97894 |
| FNR    | 0.97967 |
| FPR    | 0.98073 |
| ACC    | 0.96195 |
| TPR    | 0.00056 |
| TNR    | 0.96088 |
| FNR    | 0.96207 |
| FPR    | 0.96304 |
| ACC    | 0.99746 |
| TPR    | 0.00040 |
| TNR    | 0.99672 |
| FNR    | 0.99747 |
| FPR    | 0.99839 |
| ACC    | 0.02635 |
| TPR    | 0.00061 |
| TNR    | 0.02517 |
| FNR    | 0.02622 |
| FPR    | 0.02751 |
| ACC    | 0.00254 |
| TPR    | 0.00040 |
| TNR    | 0.00161 |
| FNR    | 0.00253 |
| FPR    | 0.00328 |

### Table 16: Results for LOGO CV for Sets of mAGDs of Mixed DGAs Grouped by DGA Using SVMs
In total, 20 sets were considered.

| Metric | Value |
|--------|-------|
| ACC    | 0.99394 |
| TPR    | 0.00031 |
| TNR    | 0.99327 |
| FNR    | 0.99402 |
| FPR    | 0.99436 |
| ACC    | 0.99331 |
| TPR    | 0.00070 |
| TNR    | 0.99135 |
| FNR    | 0.99341 |
| FPR    | 0.99425 |
| ACC    | 0.99456 |
| TPR    | 0.00047 |
| TNR    | 0.99371 |
| FNR    | 0.99451 |
| FPR    | 0.99533 |
| ACC    | 0.00669 |
| TPR    | 0.00070 |
| TNR    | 0.00575 |
| FNR    | 0.00659 |
| FPR    | 0.00865 |
| ACC    | 0.00544 |
| TPR    | 0.00047 |
| TNR    | 0.00467 |
| FNR    | 0.00549 |
| FPR    | 0.00629 |

### Table 17: Results for Classifying mAGDs of Arbitrary Mixed DGAs and bNXD from Siemens Applying 5 Repetitions of 5-Fold CV for 20 Sets Each of Size 100,000 Using SVMs

| Metric | Value |
|--------|-------|
| ACC    | 0.99448 |
| TPR    | 0.00017 |
| TNR    | 0.99419 |
| FNR    | 0.99447 |
| FPR    | 0.99479 |
| ACC    | 0.99412 |
| TPR    | 0.00017 |
| TNR    | 0.99387 |
| FNR    | 0.99415 |
| FPR    | 0.99442 |
| ACC    | 0.99485 |
| TPR    | 0.00033 |
| TNR    | 0.99432 |
| FNR    | 0.99483 |
| FPR    | 0.99559 |
| ACC    | 0.00588 |
| TPR    | 0.00017 |
| TNR    | 0.00558 |
| FNR    | 0.00585 |
| FPR    | 0.00613 |
| ACC    | 0.00515 |
| TPR    | 0.00033 |
| TNR    | 0.00441 |
| FNR    | 0.00517 |
| FPR    | 0.00568 |

### Table 19: Classification Accuracy for Training on Siemens Data and Prediction on RWTH Aachen Data Using SVMs

| Metric | Value |
|--------|-------|
| ACC    | 0.93683 |
| TPR    | 0.00059 |
| TNR    | 0.93565 |
| FNR    | 0.93689 |
| FPR    | 0.93778 |
| ACC    | 0.98900 |
| TPR    | 0.00049 |
| TNR    | 0.98807 |
| FNR    | 0.98913 |
| FPR    | 0.99010 |
| ACC    | 0.88465 |
| TPR    | 0.00103 |
| TNR    | 0.88269 |
| FNR    | 0.88470 |
| FPR    | 0.88629 |
| ACC    | 0.01100 |
| TPR    | 0.00049 |
| TNR    | 0.00990 |
| FNR    | 0.01087 |
| FPR    | 0.01193 |
| ACC    | 0.11535 |
| TPR    | 0.00103 |
| TNR    | 0.11371 |
| FNR    | 0.11530 |
| FPR    | 0.11731 |

