### Pull Requests and Repository Artifacts

Recent studies have examined various repository artifacts, including programming languages [47], maintenance practices [48, 49], toxicity in comments [50], and related metadata [51, 52]. Unlike previous research that has focused on these visible aspects of repositories, our study delves into less overt dimensions such as trust processes, contributor hierarchy, and security considerations.

### Interview Studies in a Security Context

Interview studies are a well-established method for in-depth investigations within the security and privacy research community. Past research has utilized interviews to gain insights into the work and tools of security professionals [53, 54], administrators [55, 56], and security analysts [57]. Interviews have also been used to understand the security needs of expert communities, such as journalists [58], editors [59], and victim service providers [60]. In broader studies, interviews provide detailed insights into specific mindsets and approaches, such as encryption tasks [61] and Tor usage [62].

More recently, Gutfleisch et al. [63] interviewed developers about their considerations regarding security features in software development. Dabbish et al. [39] explored the value of transparency in large-scale distributed collaborations through interviews. Steinmacher et al. [64] conducted semi-structured interviews with 36 developers from 14 different projects to identify social barriers faced by first-time contributors. Balali et al. [65] interviewed mentors from 10 OSS projects to uncover challenges and strategies for recommending tasks to newcomers.

In line with these approaches, we chose in-depth interviews to gain detailed insights into participants' perceptions, behaviors, and reasoning.

### Security and Trust in the Open Source Community

The open source community faces unique security and trust challenges compared to other ecosystems, making it a valuable subject for research [66–68]. Key structural features, such as issues and commits, enable evaluations of general statistics [69], security tactics [70], and emotions [71]. Antal et al. [72] found that neither the Python nor JavaScript communities react quickly to emerging security vulnerabilities. Bosu et al. [73] analyzed 267,046 code review requests from 10 open source projects and discovered that changes made by less experienced contributors were 1.8 to 24 times more likely to be vulnerable.

Published identification systems for open source projects include those for vulnerabilities [74–76] and toxic comments [77]. Trust is a critical factor in public software collaboration. Research directions include measuring trustworthiness [78, 79] and identifying factors that influence trust [45, 80, 81]. Previous studies have established that the quality of contributions, reputation, and the employing organization are important trust factors. Code quality is crucial for security in open source projects, with research focusing on aspects like code reviews [82, 83], quality assessment models [84], and discrepancies between vision and implementation [85].

Committers play a significant role in the open source ecosystem, and several studies have focused on their pull requests [86], motivations [87–90], and contribution barriers [64, 91]. Other works propose supporting aspects such as onboarding [65, 92–94] and mentoring [65, 95]. Blincoe et al. [96] introduced a new method, reference coupling, to detect technical dependencies between projects, finding that most ecosystems center around one project and interconnect with others. Casalnuovo et al. [97] explored the evidence for socialization as a precursor to joining GitHub projects, noting that developers prefer to join projects where they have pre-existing relationships.

While our research utilizes certain repository artifacts, our primary focus is on in-depth details from 27 interviews with contributors, maintainers, and project owners. Like previous research, we recognize the importance of the open source ecosystem to the overall software world and aim to use these interviews as a foundation for supporting committers and maintainers in creating secure and trustworthy projects.

### Methodology

#### Study Setup

To gain insights into the inner workings of open source projects, we conducted semi-structured interviews (n = 27) with contributors, maintainers, and project owners between July and November 2021. We chose in-depth interviews because we were particularly interested in processes that are not directly visible from repository data, such as trust relationships, incident responses, and the handling of suspicious or malicious contributors.

**Interview Guide:**
- The initial interview guide was based on our exploratory research questions and concepts from previous related work.
- We consulted and piloted the interview guide with open source contributors from our professional network.
- Both English and German versions of the interview guide were created and kept in sync during the study.
- The interview guide was iteratively refined based on feedback and conducted interviews, reaching saturation after the 15th interview.

**Recruitment and Inclusion Criteria:**
- Our recruitment approach aimed to reach a diverse set of OSS projects from different historical and structural contexts.
- We used multiple recruitment channels, including our professional network, project- or technology-associated communication channels (mailing lists, Discord, IRC), and contact details on public repository websites.

### Detailed Overview of Interviewed Contributors

| Alias | Language | Duration | Recruitment Channel | Commits | Contributors |
|-------|----------|----------|---------------------|---------|--------------|
| P01   | German   | 0:40:49  | Professional Network | 100,000+| 10+          |
| P02   | German   | 1:03:51  | Professional Network | 1,000+  | 10+          |
| P03   | German   | 0:53:49  | Contact Email        | 10,000+ | 100+         |
| P04   | English  | 0:33:59  | Communication Channel| 100+    | 10+          |
| P05   | English  | 0:36:35  | Contact Email        | 1,000+  | 100+         |
| P06   | English  | 0:55:20  | Communication Channel| 100+    | 10+          |
| P07   | English  | 0:33:16  | Contact Email        | 100+    | 10+          |
| P08   | English  | 1:06:18  | Contact Email        | 100,000+| 100+         |
| P09   | English  | 0:30:37  | Contact Email        | 10,000+ | <10          |
| P10   | English  | 0:23:35  | Contact Email        | 10,000+ | 100+         |
| P11   | English  | 1:08:13  | Contact Email        | 10,000+ | 1,000+       |
| P12   | German   | 0:35:12  | Professional Network | 10,000+ | 100+         |
| P13   | English  | 0:29:23  | Communication Channel| 10,000+ | 100+         |
| P14   | English  | 0:19:44  | Communication Channel| 1,000+  | 10+          |
| P15   | German   | 0:26:32  | Contact Email        | 10,000+ | 100+         |
| P16   | English  | 0:46:19  | Contact Email        | 10,000+ | 100+         |
| P17   | English  | 0:44:14  | Contact Email        | 1,000+  | 1,000+       |
| P18   | English  | 0:32:46  | Project Website      | 1,000+  | 10+          |
| P19   | German   | 0:40:59  | Communication Channel| 10,000+ | 100+         |
| P20   | German   | 0:38:14  | Communication Channel| 10,000+ | 100+         |
| P21   | English  | 0:38:25  | Contact Email        | 1,000+  | 100+         |
| P22   | English  | 0:37:09  | Contact Email        | 1,000+  | 100+         |
| P23   | English  | 0:23:19  | Project Website      | 100+    | 10+          |
| P24   | English  | 0:39:35  | Contact Email        | 10,000+ | 100+         |
| P25   | English  | 0:52:23  | Contact Email        | 10,000+ | 100+         |
| P26   | English  | 0:33:23  | Contact Email        | 10,000+ | 100+         |
| P27   | English  | 0:37:52  | Contact Email        | 1,000+  | 100+         |

This table provides a detailed overview of the interviewed contributors, their project backgrounds, and some project metadata. For privacy reasons, we report binned project metrics and assign aliases to participants.
