### 通用标题组件介绍

通用标题是文字组件的一种，支持自定义标题内容、位置、颜色和超链接等功能。用户可以在可视化应用中添加多个通用标题组件，以展示可视化应用及其各个模块的标题。本文将详细介绍通用标题组件的各项配置及其含义。

![通用标题组件示例](images/galaxee/text/5-9-2021-15-30-18-PM.png)

#### 配置项说明

##### 基本设置
- **图表尺寸**、**图表位置**、**旋转角度** 和 **透明度**：请参阅组件指南中的相关配置项说明。
- **标题名**：定义通用标题的具体内容。如果数据项中也设置了标题名，则数据项中的标题名优先级更高。
- **文本方向**：设置文本的显示方向（例如水平或垂直）。
- **对齐方式**：指定文本在组件内的对齐方式（如左对齐、居中或右对齐）。
- **文字间隔**：调整标题内字符之间的间距。
- **省略号**：启用后，当文本超出设定范围时，将以省略号形式显示未完全显示的部分。

##### 文本样式
- **字体**：选择标题所使用的字体类型。
- **文字粗细**：设置标题文字的加粗程度。
- **文字大小**：定义标题文字的尺寸。
- **文字颜色**：指定标题文字的颜色。

##### 背景样式
- **背景颜色**：设置组件背景的颜色。
- **圆角**：调整边框四角的圆润程度。
- **边框粗细**：定义边框线条的宽度。
- **边框样式**：选择边框线条的样式（如实线、虚线等）。
- **边框颜色**：指定边框的颜色。

##### 超链接配置
- **超链接**：设置点击标题时跳转的目标URL。
- **新窗口打开**：勾选此项将在新的浏览器标签页中打开链接目标；否则，在当前页面加载链接内容。

通过以上各项配置，您可以灵活地定制出符合需求的通用标题组件，从而更好地服务于您的可视化项目。
