|   |         | 申请 |       |     |     |            |             |
|   |         | 报文 |       |     |     |            |             |
+---+---------+------+-------+-----+-----+------------+-------------+
| 2 | c       | 参与 | 通用  | NP  | PR0 | 业         | 无          |
| 4 | cms.929 | 机构 | 处理  | C处 | 9： | 务检查不通 |             |
| 2 | .001.03 | 业务 | 确认  | 理  | 已  | 过，CNAPS2 |             |
| . |         | 管理 | 报文  | 状  | 拒  | 拒绝处理。 |             |
|   |         | 状态 |       | 态  | 绝  |            |             |
|   |         | 下载 |       |     |     |            |             |
|   |         | 申请 |       |     |     |            |             |
|   |         | 报文 |       |     |     |            |             |
+---+---------+------+-------+-----+-----+------------+-------------+
| 2 | c       | 工作 | 通用  | NP  | PR0 | 业         | 无          |
| 4 | cms.940 | 密钥 | 处理  | C处 | 9： | 务检查不通 |             |
| 3 | .001.01 | 更新 | 确认  | 理  | 已  | 过，CNAPS2 |             |
| . |         | 申请 | 报文  | 状  | 拒  | 拒绝处理。 |             |
|   |         | 报文 |       | 态  | 绝  |            |             |
+---+---------+------+-------+-----+-----+------------+-------------+
| 2 |         |      | 工作  | NP  | PR0 | 业务       | 无          |
| 4 |         |      | 密钥  | C处 | 5： | 处理成功。 |             |
| 4 |         |      | 更新  | 理  | 已  |            |             |
| . |         |      | 通知  | 状  | 成  |            |             |
|   |         |      | 报文  | 态  | 功  |            |             |
+---+---------+------+-------+-----+-----+------------+-------------+
| 2 | c       | 工作 | 通用  | NP  | PR0 | 业务       | 无          |
| 4 | cms.942 | 密钥 | 处理  | C处 | 5： | 处理成功。 |             |
| 5 | .001.01 | 验证 | 确认  | 理  | 已  |            |             |
| . |         | 报文 | 报文  | 状  | 成  |            |             |
|   |         |      |       | 态  | 功  |            |             |
+---+---------+------+-------+-----+-----+------------+-------------+
| 2 |         |      |       | NP  | PR0 | 业         | 无          |
| 4 |         |      |       | C处 | 9： | 务检查不通 |             |
| 6 |         |      |       | 理  | 已  | 过，CNAPS2 |             |
| . |         |      |       | 状  | 拒  | 拒绝处理。 |             |
|   |         |      |       | 态  | 绝  |            |             |
|   |         |      |       |     |     | 工作       |             |
|   |         |      |       |     |     | 密钥匹配失 |             |
|   |         |      |       |     |     | 败，CNAPS2 |             |
|   |         |      |       |     |     | 拒绝处理。 |             |
+---+---------+------+-------+-----+-----+------------+-------------+
| 2 | c       | 自   | 通用  | NP  | PR0 | 业务       | 无          |
| 4 | cms.999 | 动化 | 处理  | C处 | 5： | 处理成功。 |             |
| 7 | .001.01 | 验证 | 确认  | 理  | 已  |            |             |
| . |         | 报文 | 报文  | 状  | 成  |            |             |
|   |         |      |       | 态  | 功  |            |             |
+---+---------+------+-------+-----+-----+------------+-------------+
| 2 |         |      |       | NP  | PR0 | 业         | 无          |
| 4 |         |      |       | C处 | 9： | 务检查不通 |             |
| 8 |         |      |       | 理  | 已  | 过，CNAPS2 |             |
| . |         |      |       | 状  | 拒  | 拒绝处理。 |             |
|   |         |      |       | 态  | 绝  |            |             |
+---+---------+------+-------+-----+-----+------------+-------------+
注：无后续可更新状态，表示该状态为终态，此时除非日终对账，不允许修改为其他状态。
## **附录三：业务类型（业务种类）与拒绝代码对照表**
+-------+----------------------+---------------------------------------+
| 编号  | 业务类型（业务种类） | 拒绝代码                              |
+-------+----------------------+---------------------------------------+
| 1.    | 银行本票             | RJ40：本票号码不符                    |
|       |                      |                                       |
|       |                      | RJ41：收款人名称不符                  |
|       |                      |                                       |
|       |                      | RJ42：出票日期不符                    |
|       |                      |                                       |
|       |                      | RJ43：密押不符                        |
|       |                      |                                       |
|       |                      | RJ44：金额不符                        |
|       |                      |                                       |
|       |                      | RJ45：超过提示付款期                  |
|       |                      |                                       |
|       |                      | RJ30：非本行票据                      |
|       |                      |                                       |
|       |                      | RJ29：重复提示付款                    |
|       |                      |                                       |
|       |                      | RJ48：银行本票已挂                    |
|       |                      | 失止付或出票银行已收到法院止付通知书  |
+-------+----------------------+---------------------------------------+
| 2.    | 银行汇票             | RJ49：汇票号码不符                    |
|       |                      |                                       |
|       |                      | RJ53：票面记载的收款人名称不符        |
|       |                      |                                       |
|       |                      | RJ42：出票日期不符                    |
|       |                      |                                       |
|       |                      | RJ43：密押不符                        |
|       |                      |                                       |
|       |                      | RJ50：出票金额不符                    |
|       |                      |                                       |
|       |                      | RJ51：实际结算金额超过出票金额        |
|       |                      |                                       |
|       |                      | RJ45：超过提示付款期                  |
|       |                      |                                       |
|       |                      | RJ30：非本行票据                      |
|       |                      |                                       |
|       |                      | RJ29：重复提示付款                    |
|       |                      |                                       |
|       |                      | RJ52：汇票已挂                        |
|       |                      | 失止付或出票银行已收到法院止付通知书  |
+-------+----------------------+---------------------------------------+
| 3.    | 支票（含CIS回执）    | RJ21：大、小写金额不符                |
|       |                      |                                       |
|       |                      | RJ22：支票必须记载的事项不全          |
|       |                      |                                       |
|       |                      | RJ23：出票人签章与预留银行签章不符    |
|       |                      |                                       |
|       |                      | RJ24：约定                            |
|       |                      | 使用支付密码的，支付密码未填写或错误  |
|       |                      |                                       |
|       |                      | RJ25：持票人未作委托收款背书          |
|       |                      |                                       |
|       |                      | RJ26：电子清算信息与支票影像不相符    |
|       |                      |                                       |
|       |                      | RJ27：出票人账号、户名不符            |
|       |                      |                                       |
|       |                      | R                                     |
|       |                      | J28：出票人账号余额不足以支付票据款项 |
|       |                      |                                       |
|       |                      | RJ29：重复提示付款                    |
|       |                      |                                       |
|       |                      | RJ30：非本行票据                      |
|       |                      |                                       |
|       |                      | RJ31：出票人已销户                    |
|       |                      |                                       |
|       |                      | RJ32：出票人账户已依法冻结            |
|       |                      |                                       |
|       |                      | RJ33：持票人                          |
|       |                      | 已办理挂失止付或已收到法院止付通知书  |
|       |                      |                                       |
|       |                      | RJ34：持票人开户行申请止付            |
|       |                      |                                       |
|       |                      | RJ35：数字签名或证书错                |
+-------+----------------------+---------------------------------------+
| 4.    | 商业本票             | RJ40：本票号码不符                    |
|       |                      |                                       |
|       |                      | RJ41：收款人名称不符                  |
|       |                      |                                       |
|       |                      | RJ42：出票日期不符                    |
|       |                      |                                       |
|       |                      | RJ43：密押不符                        |
|       |                      |                                       |
|       |                      | RJ44：金额不符                        |
|       |                      |                                       |
|       |                      | RJ45：超过提示付款期                  |
|       |                      |                                       |
|       |                      | RJ30：非本行票据                      |
|       |                      |                                       |
|       |                      | RJ29：重复提示付款                    |
|       |                      |                                       |
|       |                      | RJ48：银行本票已挂                    |
|       |                      | 失止付或出票银行已收到法院止付通知书  |
+-------+----------------------+---------------------------------------+
| 5.    | 普通实时贷记业务     | RJ01：账号不存在                      |
|       |                      |                                       |
|       |                      | RJ02：账号、户名不符                  |
|       |                      |                                       |
|       |                      | RJ03：账户余额不足支付                |
|       |                      |                                       |
|       |                      | RJ04：当日业务累计金额超过规定金额    |
|       |                      |                                       |
|       |                      | RJ05：业务检查错                      |
|       |                      |                                       |
|       |                      | RJ06：指定协议不存在                  |
|       |                      |                                       |
|       |                      | RJ07：超过协议授权范围                |
|       |                      |                                       |
|       |                      | RJ08：账户类型非法                    |
|       |                      |                                       |
|       |                      | RJ09：退票                            |
|       |                      |                                       |
|       |                      | RJ10：账户密码错误                    |
|       |                      |                                       |
|       |                      | RJ11：账户状态异常                    |
|       |                      |                                       |
|       |                      | RJ12：核验身份错误                    |
|       |                      |                                       |
|       |                      | RJ13：重复签约                        |
|       |                      |                                       |
|       |                      | RJ19：参与机构为非营业状态            |
|       |                      |                                       |
|       |                      | RJ20：业务已撤销（冲正或止付）        |
|       |                      |                                       |
|       |                      | RJ35：核数字签                        |
|       |                      | 名错RJ43：密押不符；RJ44：金额不符；  |
|       |                      |                                       |
|       |                      | RJ90：其他                            |
|       |                      |                                       |
|       |                      | RJ92：付款清算行检查错拒绝            |
|       |                      |                                       |
|       |                      | RJ94：轧差额度不足拒绝                |
|       |                      |                                       |
|       |                      | RJ95：收款清算行检查错拒绝            |
|       |                      |                                       |
|       |                      | RJ97：接收参与机构检查错拒绝          |
+-------+----------------------+---------------------------------------+
| 6.    | 银行承兑汇票         | RJ04：当日业务累计金额超过规定金额    |
|       |                      |                                       |
|       |                      | RJ05：业务检查错                      |
|       |                      |                                       |
|       |                      | RJ07：超过协议授权范围                |
|       |                      |                                       |
|       |                      | RJ08：账户类型非法                    |
|       |                      |                                       |
|       |                      | RJ19：参与机构为非营业状态            |
|       |                      |                                       |
|       |                      | RJ20：业务已撤销（冲正或止付）        |
|       |                      |                                       |
|       |                      | RJ21：大、小写金额不符                |
|       |                      |                                       |
|       |                      | RJ26：电子清算信息与支票影像不相符    |
|       |                      |                                       |
|       |                      | RJ29：重复提示付款                    |
|       |                      |                                       |
|       |                      | RJ30：非本行票据                      |
|       |                      |                                       |
|       |                      | RJ33：持票人                          |
|       |                      | 已办理挂失止付或已收到法院止付通知书  |
|       |                      |                                       |
|       |                      | RJ34：持票人开户行申请止付            |
|       |                      |                                       |
|       |                      | RJ35：核数字签名错                    |
|       |                      |                                       |
|       |                      | RJ36：票据号码错误                    |
|       |                      |                                       |
|       |                      | RJ37：票据密码错误                    |
|       |                      |                                       |
|       |                      | RJ38：票据过期或未到                  |
|       |                      |                                       |
|       |                      | RJ41：收款人名称不符；R               |
|       |                      | J43：密押不符；RJ45：超过提示付款期； |
|       |                      |                                       |
|       |                      | RJ49：汇票号码不符                    |
|       |                      |                                       |
|       |                      | RJ53：票面记载的收款人名称不符        |
|       |                      |                                       |
|       |                      | RJ56：票据涂改                        |
|       |                      |                                       |
|       |                      | RJ57：背书不符                        |
+-------+----------------------+---------------------------------------+
| 7.    | 商业承兑汇票         | RJ01：账号不存在                      |
|       |                      |                                       |
|       |                      | RJ02：账号、户名不符                  |
|       |                      |                                       |
|       |                      | RJ03：账户余额不足支付                |
|       |                      |                                       |
|       |                      | RJ05：业务检查错                      |
|       |                      |                                       |
|       |                      | RJ11：账户状态异常                    |
|       |                      |                                       |
|       |                      | RJ19：参与机构为非营业状态            |
|       |                      |                                       |
|       |                      | RJ20：业务已撤销（冲正或止付）        |
|       |                      |                                       |
|       |                      | RJ21：大、小写金额不符                |
|       |                      |                                       |
|       |                      | RJ23：出票人签章与预留银行签章不符    |
|       |                      |                                       |
|       |                      | RJ24：约定                            |
|       |                      | 使用支付密码的，支付密码未填写或错误  |
|       |                      |                                       |
|       |                      | RJ25：持票人未作委托收款背书          |
|       |                      |                                       |
|       |                      | RJ26：电子清算信息与支票影像不相符    |
|       |                      |                                       |
|       |                      | RJ27：出票人账号、户名不符            |
|       |                      |                                       |
|       |                      | R                                     |
|       |                      | J28：出票人账号余额不足以支付票据款项 |
|       |                      |                                       |
|       |                      | RJ29：重复提示付款                    |
|       |                      |                                       |
|       |                      | RJ30：非本行票据                      |
|       |                      |                                       |
|       |                      | RJ31：出票人已销户                    |
|       |                      |                                       |
|       |                      | RJ32：出票人账户已依法冻结            |
|       |                      |                                       |
|       |                      | RJ33：持票人                          |
|       |                      | 已办理挂失止付或已收到法院止付通知书  |
|       |                      |                                       |
|       |                      | RJ34：持票人开户行申请止付            |
|       |                      |                                       |
|       |                      | RJ35：核数字签名错                    |
|       |                      |                                       |
|       |                      | RJ36：票据号码错误                    |
|       |                      |                                       |
|       |                      | RJ37：票据密码错误                    |
|       |                      |                                       |
|       |                      | RJ38：票据过期或未到                  |
|       |                      |                                       |
|       |                      | RJ39：该票据没有圈存                  |
|       |                      |                                       |
|       |                      | RJ41：收款人名称不符；                |
|       |                      | RJ42：出票日期不符；RJ43：密押不符；  |
|       |                      |                                       |
|       |                      | RJ45：超过提示付款期；                |
|       |                      |                                       |
|       |                      | RJ49：汇票号码不符                    |
|       |                      |                                       |
|       |                      | RJ50：出票金额不符                    |
|       |                      |                                       |
|       |                      | RJ53：票面记载的收款人名称不符        |
|       |                      |                                       |
|       |                      | RJ55：印鉴不符                        |
|       |                      |                                       |
|       |                      | RJ56：票据涂改                        |
|       |                      |                                       |
|       |                      | RJ57：背书不符                        |
+-------+----------------------+---------------------------------------+
| 8.    | 支票影像截           | RJ21:大小金额不符或书写不规范         |
