---
title: 32条职场经验总结，助你快速成长
category: 技术文章精选集
tag:
  - 工作
---

**推荐语**：本文是阿里开发者分享的职场经验精华。

## 成长捷径
- 入职时保持谦逊的态度很重要，但不应将“我是新人”作为逃避责任的借口。
- 撰写技术博客可能需要两周时间，但它可能是最快的成长方式之一。
- 推荐阅读《金字塔原理》和《高效能人士的七个习惯》，后者虽然听起来像是成功学书籍，但实际上它讲述了如何塑造良好的性格。
- 遇到问题时，多问“是什么”和“为什么”，深入探究问题根源。试图绕过的问题最终仍会再次出现。
- 不要被忙碌带来的虚假安全感所迷惑，明确目标并为之努力才是最真实的保障。
- 不必过于纠结于短期得失，在一个公平的工作环境中，“吃亏是福”这句话并非空谈。
- 不要将自己局限于前端、后端或测试等具体角色中，而应将自己视为能够解决业务领域内各种问题的专业人士。
- 对工作充满好奇与热爱，这种态度本身就是一条通往成功的捷径。长期主义者更看重自身工作的内在价值，而不仅仅是组织当前给予的认可（如KPI）。

## 日常功夫
- 每一行代码都应体现你当前的最佳水平。看似微不足道的小细节，往往会在关键时刻成为阻碍晋升的因素。
- 双周报告不应仅仅记录日常琐事，而应该具有前瞻性地规划未来的工作内容（以小目标为导向）。
- 如果觉得日常工作乏味且缺乏技术含量，不妨试着将任务分类，并将其视作通向个人职业目标道路上的一个个小步骤。这样，每完成一项任务都是向着目标迈进了一步。
- 日常行为举止如同放大镜般展示着一个人的能力。大多数人或许并未意识到这一点，但他们的优点与缺点其实十分明显。无需刻意掩饰，也不存在侥幸过关的情况。

> 最后一点的意思是，我们有时过分关注在述职、晋升等正式场合的表现，认为这是他人评价我们的主要依据。实际上，人们更倾向于根据你在日常工作中的表现——如何处理业务需求、帮助同事以及创造价值来评判你。通常来说，与某人合作三次之后，便可以对其特质做出准确判断；而在公开场合的表演只能蒙蔽自己。

## 学会被管理
- 避免传播负面情绪，减少抱怨。
- 与上级交往时既不卑躬屈膝也不傲慢无礼，更容易赢得尊重。若有不同意见，建议私下沟通而非当众反驳。
- 做好向上沟通，特别是确保双方对期望达成一致。如果绩效评估结果出乎意料，双方都有责任，但受损失的是员工本人。
- 尽量从主管的角度思考问题：
  - 这样可以帮助理解一些看似不合逻辑的决策；
  - 不要在意谁执行了任务或者功劳归谁所有，为团队分忧解难更能赢得主管的信任；
  - 切勿误解此原则为盲目顺从，那是一种令人鄙视的行为。

## 思维转变
- 定义问题是项高级技能，尽早培养发现问题 -> 定义问题 -> 解决问题 -> 彻底根除问题 的思维模式。
- 评估事物时注重其价值所在；执行任务时追求实际成果；讨论问题时则应聚焦于问题本身。
- 如果无法清晰表达观点，很可能是因为思路不够清晰，这在晋升过程中尤为明显。
- 当一个人擅长解决特定类型的问题时，随着时间推移，他可能会越来越依赖于这一领域（给人贴上某个标签容易，但去掉这个标签却很难）。

## 控制情绪
- 学会控制自己的情绪，因为没有人愿意倾听一个愤怒之人的言论。
- 即使感到委屈或愤怒，也要保持冷静，避免让自己变成需要别人安慰的对象。
- 真正自信的人敢于坦诚面对自身的不足。很多时候，当我们被激怒时，只是因为对方触及到了内心深处隐藏的自卑感。
- 真正伤害我们的并不是别人的言行或自己犯下的错误，而是我们对待这些错误的方式。

## 成为领导者
- 使人信服并愿意追随的人不是职位上的经理，而是真正能够提供帮助和支持的人。如果你想获得他人的尊敬，道理同样适用。
- 不要轻易对他人作出负面评价，基于片面了解的观点可能并不准确，随意传播此类言论会对对方造成巨大困扰。
- 如果领导者不认同公司的使命、愿景及价值观，那么他的工作将会非常痛苦。
- 在困难时期不要否定你的队友，相反，应该给予及时且正面的反馈。
- 船长最重要的职责不是建造船只，而是激发船员对大海的向往。
- 领导者的首要任务是确保团队生存下去，唯一途径就是实现上级、老板及公司经营者设定的目标，尤其在艰难时刻更为关键。
- 领导者还肩负着识别团队所需完成的任务，并坚定信念带领大家共同前进的责任。越是艰难时期越需要坚定不移的决心。
- 优秀的领导者能够让每个遇到的人都感受到自己被重视和需要。
