# 关于windows service 2003 与 2008 事件ID对照表
下表列出了应在环境中监视的事件，具体取决于“监控Active Directory中的妥协迹象”中提供的建议。在下表中，“当前Windows事件ID”列列出了在当前主流支持的Windows和Windows Server版本中实现的事件ID，以下表格以“2008”代称。
“旧版Windows事件ID”列列出了旧版Windows中的相应事件ID，例如运行Windows XP或更早版本的客户端计算机以及运行Windows Server 2003或更早版本的服务器，以下表格以“2003”代称。“潜在关键性”列标识在检测攻击时是否应将该事件视为低，中或高关键性。以下表格以“级别”代称，“事件摘要”列提供事件的简要说明以下表格以“概述”代称。
高可能的临界值意味着应该调查一次事件。中等或低的潜在临界值意味着只有在出现意外情况或在测量的时间段内显着超过预期基线的数量时才应调查这些事件。在创建需要强制性调查响应的警报之前，所有组织都应在其环境中测试这些建议。每个环境都是不同的，并且由于其他无害事件，可能会发生一些潜在危险度高的事件。
| **2008** | **2003**    | **级别** | **概述**                                                     |
| -------- | ----------- | -------- | ------------------------------------------------------------ |
| 4618     | N   / A     | 高       | 已发生受监视的安全事件模式。                                 |
| 4649     | N   / A     | 高       | 检测到重播攻击。由于错误配置错误，可能是无害的误报。         |
| 4719     | 612         | 高       | 系统审核策略已更改。                                         |
| 4765     | N   / A     | 高       | SID历史记录已添加到帐户中。                                  |
| 4766     | N   / A     | 高       | 尝试将SID历史记录添加到帐户失败。                            |
| 4794     | N   / A     | 高       | 尝试设置目录服务还原模式。                                   |
| 4897     | 801         | 高       | 启用角色分离：                                               |
| 4964     | N   / A     | 高       | 特殊组已分配给新登录。                                       |
| 5124     | N   / A     | 高       | 在OCSP Responder Service上更新了安全设置                     |
| N   / A  | 550         | 中到高   | 可能的拒绝服务（DoS）攻击                                    |
| 1102     | 517         | 中到高   | 审核日志已清除                                               |
| 4621     | N   / A     | 介质     | 管理员从CrashOnAuditFail恢复了系统。现在，将允许非管理员的用户登录。可能未记录某些可审核活动。 |
| 4675     | N   / A     | 介质     | SID被过滤掉了。                                              |
| 4692     | N   / A     | 介质     | 尝试备份数据保护主密钥。                                     |
| 4693     | N   / A     | 介质     | 尝试恢复数据保护主密钥。                                     |
| 4706     | 610         | 介质     | 为域创建了新的信任。                                         |
| 4713     | 617         | 介质     | Kerberos策略已更改。                                         |
| 4714     | 618         | 介质     | 加密数据恢复策略已更改。                                     |
| 4715     | N   / A     | 介质     | 对象的审核策略（SACL）已更改。                               |
| 4716     | 620         | 介质     | 可信域信息已被修改。                                         |
| 4724     | 628         | 介质     | 尝试重置帐户的密码。                                         |
| 4727     | 631         | 介质     | 已创建启用安全性的全局组。                                   |
| 4735     | 639         | 介质     | 已启用安全性的本地组已更改。                                 |
| 4737     | 641         | 介质     | 启用安全性的全局组已更改。                                   |
| 4739     | 643         | 介质     | 域策略已更改。                                               |
| 4754     | 658         | 介质     | 已创建启用安全性的通用组。                                   |
| 4755     | 659         | 介质     | 启用安全性的通用组已更改。                                   |
| 4764     | 667         | 介质     | 已删除安全性已禁用的组                                       |
| 4764     | 668         | 介质     | 组的类型已更改。                                             |
| 4780     | 684         | 介质     | ACL是在作为管理员组成员的帐户上设置的。                      |
| 4816     | N   / A     | 介质     | RPC在解密传入消息时检测到完整性违规。                        |
| 4865     | N   / A     | 介质     | 添加了受信任的林信息条目。                                   |
| 4866     | N   / A     | 介质     | 已删除受信任的林信息条目。                                   |
| 4867     | N   / A     | 介质     | 已修改受信任的林信息条目。                                   |
| 4868     | 772         | 介质     | 证书管理器拒绝了挂起的证书请求。                             |
| 4870     | 774         | 介质     | 证书服务撤销了证书。                                         |
| 4882     | 786         | 介质     | 证书服务的安全权限已更改。                                   |
| 4885     | 789         | 介质     | 证书服务的审核筛选器已更改。                                 |
| 4890     | 794         | 介质     | 证书服务的证书管理器设置已更改。                             |
| 4892     | 796         | 介质     | 证书服务的属性已更改。                                       |
| 4896     | 800         | 介质     | 已从证书数据库中删除一行或多行。                             |
| 4906     | N   / A     | 介质     | CrashOnAuditFail值已更改。                                   |
| 4907     | N   / A     | 介质     | 对象的审核设置已更改。                                       |
| 4908     | N   / A     | 介质     | 特殊组登录表已修改。                                         |
| 4912     | 807         | 介质     | 每用户审核策略已更改。                                       |
| 4960     | N   / A     | 介质     | IPsec丢弃了未通过完整性检查的入站数据包。如果此问题仍然存在，则可能表示网络问题或正在修改数据包传输到此计算机。验证从远程计算机发送的数据包是否与此计算机接收的数据包相同。此错误还可能表示与其他IPsec实现的互操作性问题。 |
| 4961     | N   / A     | 介质     | IPsec丢弃了重放检查失败的入站数据包。如果此问题仍然存在，则可能表示对此计算机进行了重播攻击。 |
| 4962     | N   / A     | 介质     | IPsec丢弃了重放检查失败的入站数据包。入站数据包的序列号太低，以确保它不是重播。 |
| 4963     | N   / A     | 介质     | IPsec丢弃了应该受到保护的入站明文数据包。这通常是由于远程计算机在不通知此计算机的情况下更改其IPsec策略。这也可能是欺骗性攻击企图。 |
| 4965     | N   / A     | 介质     | IPsec从远程计算机收到一个包含不正确的安全参数索引（SPI）的数据包。这通常是由损坏数据包的硬件故障引起的。如果这些错误仍然存在，请验证从远程计算机发送的数据包是否与此计算机接收的数据包相同。此错误还可能表示与其他IPsec实现的互操作性问题。在这种情况下，如果不阻止连接，则可以忽略这些事件。 |
| 4976     | N   / A     | 介质     | 在主模式协商期间，IPsec收到无效的协商数据包。如果此问题仍然存在，则可能表示存在网络问题或尝试修改或重播此协商。 |
| 4977     | N   / A     | 介质     | 在快速模式协商期间，IPsec收到无效的协商数据包。如果此问题仍然存在，则可能表示存在网络问题或尝试修改或重播此协商。 |
| 4978     | N   / A     | 介质     | 在扩展模式协商期间，IPsec收到无效的协商数据包。如果此问题仍然存在，则可能表示存在网络问题或尝试修改或重播此协商。 |
| 4983     | N   / A     | 介质     | IPsec扩展模式协商失败。相应的主模式安全关联已被删除。        |
| 4984     | N   / A     | 介质     | IPsec扩展模式协商失败。相应的主模式安全关联已被删除。        |
| 5027     | N   / A     | 介质     | Windows防火墙服务无法从本地存储中检索安全策略。该服务将继续执行当前政策。 |
| 5028     | N   / A     | 介质     | Windows防火墙服务无法解析新的安全策略。该服务将继续使用当前强制执行的策略。 |
| 5029     | N   / A     | 介质     | Windows防火墙服务无法初始化驱动程序。该服务将继续执行当前政策。 |
| 5030     | N   / A     | 介质     | Windows防火墙服务无法启动。                                  |
| 5035     | N   / A     | 介质     | Windows防火墙驱动程序无法启动。                              |
| 5037     | N   / A     | 介质     | Windows防火墙驱动程序检测到严重的运行时错 终止。             |
| 5038     | N   / A     | 介质     | 代码完整性确定文件的图像哈希无效。由于未经授权的修改，文件可能已损坏，或者无效的哈希可能表示潜在的磁盘设备错误。 |
| 5120     | N   / A     | 介质     | OCSP响应程序服务已启动                                       |
| 5121     | N   / A     | 介质     | OCSP响应程序服务已停止                                       |
| 5122     | N   / A     | 介质     | OCSP   Responder Service中的配置条目已更改                   |
| 5123     | N   / A     | 介质     | OCSP   Responder Service中的配置条目已更改                   |
| 5376     | N   / A     | 介质     | 已备份凭据管理器凭据。                                       |
| 5377     | N   / A     | 介质     | Credential   Manager凭据已从备份还原。                       |
| 5453     | N   / A     | 介质     | 与远程计算机的IPsec协商失败，因为未启动IKE和AuthIP IPsec密钥模块（IKEEXT）服务。 |
| 5480     | N   / A     | 介质     | IPsec服务无法获取计算机上的完整网络接口列表。这会带来潜在的安全风险，因为某些网络接口可能无法获得应用的IPsec过滤器提供的保护。使用IP安全监视器管理单元诊断问题。 |
| 5483     | N   / A     | 介质     | IPsec服务无法初始化RPC服务器。无法启动IPsec服务。            |
| 5484     | N   / A     | 介质     | IPsec服务遇到严重故障并已关闭。关闭IPsec服务可能会使计算机面临更大的网络攻击风险或使计算机面临潜在的安全风险。 |
| 5485     | N   / A     | 介质     | IPsec服务无法在网络接口的即插即用事件上处理某些IPsec筛选器。这会带来潜在的安全风险，因为某些网络接口可能无法获得应用的IPsec过滤器提供的保护。使用IP安全监视器管理单元诊断问题。 |
| 6145     | N   / A     | 介质     | 处理组策略对象中的安全策略时发生一个或多个错误。             |
| 6273     | N   / A     | 介质     | 网络策略服务器拒绝访问用户。                                 |
| 6274     | N   / A     | 介质     | 网络策略服务器放弃了对用户的请求。                           |
| 6275     | N   / A     | 介质     | 网络策略服务器放弃了用户的记帐请求。                         |
| 6276     | N   / A     | 介质     | 网络策略服务器隔离了用户。                                   |
| 6277     | N   / A     | 介质     | 网络策略服务器授予用户访问权限，但由于主机未满足定义的健康策略而将其置于试用期。 |
| 6278     | N   / A     | 介质     | 网络策略服务器授予用户完全访问权限，因为主机符合定义的健康策略。 |
| 6279     | N   / A     | 介质     | 由于重复失败的身份验证尝试，网络策略服务器锁定了用户帐户     |
| 6280     | N   / A     | 介质     | 网络策略服务器解锁了用户帐户。                               |
| -        | 640         | 介质     | 一般帐户数据库已更改                                         |
| -        | 619         | 介质     | 服务质量政策发生了变化                                       |
| 24586    | N   / A     | 介质     | 转换音量时遇到错误                                           |
