 LAGG_ACTIVE,Member port [STRING] of aggregation group   [STRING] changed to the active state.,$1：端口名称   $2：聚合组类型及ID,6,LAGG/6/LAGG_ACTIVE: Member port FGE1/0/50   of aggregation group BAGG1 changed to the active state.,聚合组内某成员端口成为激活端口,无
 LAGG_INACTIVE_AICFG,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the member port and the   aggregate interface have different attribute configurations.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_AICFG: Member port   FGE1/0/50 of aggregation group BAGG1 changed to the inactive state, because   the member port and the aggregate interface have different attribute   configurations.",由于聚合组内某成员端口的属性类配置与聚合接口属性类配置不同，该成员端口成为去激活端口,修改该成员端口的属性类配置，使其与聚合接口属性类配置一致
 LAGG_INACTIVE_BFD,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the BFD session state of the   port was down.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_BFD: Member port   FGE1/0/50 of aggregation group BAGG1 changed to the inactive state, because   the BFD session state of the port is down.",聚合成员端口上的BFD会话down时，该成员端口变为去激活状态,排查链路故障、检查该非选中状态的成员端口的操作key和属性类配置是否与参考端口一致
 LAGG_INACTIVE_CONFIGURATION,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the aggregation configuration   of the port is incorrect.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_CONFIGURATION:   Member port FGE1/0/50 of aggregation group BAGG1 changed to the inactive   state, because the aggregation configuration of the port is incorrect.",由于聚合组内某成员端口配置限制，该成员端口变为去激活状态,无
 LAGG_INACTIVE_DUPLEX,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the duplex mode is different   between the member port and the reference port.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_DUPLEX: Member port   FGE1/0/50 of aggregation group BAGG1 changed to the inactive state, because   the duplex mode is different between the member port and the reference port.",由于聚合组内某成员端口的双工模式与参考端口不一致，该成员端口变为去激活状态,修改该端口双工模式，使其与参考端口一致
 LAGG_INACTIVE_HARDWAREVALUE,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because of the port's hardware   restirction.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_HARDWAREVALUE:   Member port FGE1/0/50 of aggregation group BAGG1 changed to the inactive   state, because of the port's hardware restirction.",聚合组内某成员端口因硬件限制与参考端口不一致，该成员端口变为去激活状态,无
 LAGG_INACTIVE_LOWER_LIMIT,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the number of active ports is   below the lower limit.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_LOWER_LIMIT: Member   port FGE1/0/50 of aggregation group BAGG1 changed to the inactive state,   because the number of active ports is below the lower limit.",因聚合组内激活端口数量未达到配置的最小激活端口数，聚合组内某成员端口变为去激活状态,增加激活端口数量，使其达到最小激活端口数
 LAGG_INACTIVE_PARTNER,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the aggregation configuration   of its peer port is incorrect.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_PARTNER: Member port   FGE1/0/50 of aggregation group BAGG1 changed to the inactive state, because   the aggregation configuration of its peer port is incorrect.",动态聚合组内，由于对端端口聚合配置不正确变为去激活状态，本端端口变为去激活状态,无
 LAGG_INACTIVE_PHYSTATE,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the physical state of the   port is down.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_PHYSTATE: Member   port FGE1/0/50 of aggregation group BAGG1 changed to the inactive state,   because the physical state of the port is down.",聚合组内某成员端口处于down状态，该成员端口变为去激活状态,使该端口处于UP状态
 LAGG_INACTIVE_RESOURCE_INSUFICIE,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because all aggregate resources are   occupied.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_RESOURCE_INSUFICIE:   Member port FGE1/0/50 of aggregation group BAGG1 changed to the inactive   state, because all aggregate resources are occupied.",聚合资源不足导致聚合组内成员端口变为去激活端口,无
 LAGG_INACTIVE_SPEED,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the speed configuration of   the port is incorrect.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_SPEED: Member port   FGE1/0/50 of aggregation group BAGG1 changed to the inactive state, because   the speed configuration of the port is incorrect.",聚合组内某成员端口速率与参考端口不一致，该端口变为去激活状态,修改该端口速率，使其与参考端口一致
 LAGG_INACTIVE_UPPER_LIMIT,"Member port [STRING] of aggregation group   [STRING] changed to the inactive state, because the number of active ports   has reached the upper limit.",$1：端口名称   $2：聚合组类型及ID,6,"LAGG/6/LAGG_INACTIVE_UPPER_LIMIT: Member   port FGE1/0/50 of aggregation group BAGG1 changed to the inactive state,   because the number of active ports has reached the upper limit.",动态聚合组内激活端口数量已达到上限。后加入的成员端口成为激活端口，致使某成员端口变为去激活状态,无
 LDP_MPLSLSRID_CHG,Please reset LDP sessions if you want to   make the new MPLS LSR ID take effect.,无,5,LDP/5/LDP_MPLSLSRID_CHG: -MDC=1; Please   reset LDP sessions if you want to make the new MPLS LSR ID take effect.,公网LDP和VPN实例LDP的LSR ID选择方式为：   1.如果配置了LDP   LSR ID，则LDP的LSR ID为此命令配置的值   2.否则，LDP的LSR ID为MPLS LSR ID   当公网LDP或VPN实例LDP的LSR ID没配置时，修改MPLS LSR ID，会触发该日志。日志提示用户手动重启公网LDP或VPN实例LDP会话使得新配置的MPLS LSR ID生效,当公网LDP或VPN实例LDP的LSR ID没配置时，使用命令display mpls ldp parameter [ vpn-instance vpn-instance-name ]查看已生效的LSR ID，与配置的MPLS LSR ID 比较，如果不一致，请手动重启LDP会话
