    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	195	
    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	198	
    Warning	C4251	'c10::IdWrapper::id_': struct 'c10::util::type_index' needs to have dll-interface to be used by clients of class 'c10::IdWrapper'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\typeid.h	65	
    Warning	C4251	'c10::intrusive_ptr_target::refcount_': struct 'std::atomic' needs to have dll-interface to be used by clients of class 'c10::intrusive_ptr_target'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\intrusive_ptr.h	63	
    Warning	C4251	'c10::intrusive_ptr_target::weakcount_': struct 'std::atomic' needs to have dll-interface to be used by clients of class 'c10::intrusive_ptr_target'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\intrusive_ptr.h	64	
    Warning	C4267	'return': conversion from 'size_t' to 'uint32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\intrusive_ptr.h	721	
    Warning	C4267	'return': conversion from 'size_t' to 'uint32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\intrusive_ptr.h	752	
    Warning	C4251	'c10::Storage::storage_impl_': class 'c10::intrusive_ptr>' needs to have dll-interface to be used by clients of struct 'c10::Storage'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\storage.h	181	
    Warning	C4267	'return': conversion from 'size_t' to 'unsigned int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\llvmmathextras.h	550	
    Warning	C4267	'return': conversion from 'size_t' to 'unsigned int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\llvmmathextras.h	556	
    Warning	C4267	'return': conversion from 'size_t' to 'unsigned int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\llvmmathextras.h	563	
    Warning	C4267	'return': conversion from 'size_t' to 'unsigned int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\llvmmathextras.h	569	
    Warning	C4251	'c10::impl::LocalTensorTypeSet::included_': class 'c10::TensorTypeSet' needs to have dll-interface to be used by clients of struct 'c10::impl::LocalTensorTypeSet'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\impl\localtensortypeset.h	50	
    Warning	C4251	'c10::impl::LocalTensorTypeSet::excluded_': class 'c10::TensorTypeSet' needs to have dll-interface to be used by clients of struct 'c10::impl::LocalTensorTypeSet'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\impl\localtensortypeset.h	51	
    Warning	C4251	'c10::MessageLogger::stream_': class 'std::basic_stringstream,std::allocator>' needs to have dll-interface to be used by clients of class 'c10::MessageLogger'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\logging_is_not_google_glog.h	47	
    Warning	C4251	'c10::VariableVersion::version_counter_': class 'c10::intrusive_ptr>' needs to have dll-interface to be used by clients of struct 'c10::VariableVersion'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	224	
    Warning	C4251	'c10::TensorImpl::autograd_meta_': class 'std::unique_ptr>' needs to have dll-interface to be used by clients of struct 'c10::TensorImpl'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1560	
    Warning	C4251	'c10::TensorImpl::named_tensor_meta_': class 'std::unique_ptr>' needs to have dll-interface to be used by clients of struct 'c10::TensorImpl'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1563	
    Warning	C4251	'c10::TensorImpl::sizes_': class 'c10::SmallVector' needs to have dll-interface to be used by clients of struct 'c10::TensorImpl'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1585	
    Warning	C4251	'c10::TensorImpl::strides_': class 'c10::SmallVector' needs to have dll-interface to be used by clients of struct 'c10::TensorImpl'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1586	
    Warning	C4251	'c10::TensorImpl::device_opt_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'c10::TensorImpl'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1611	
    Warning	C4251	'c10::TensorImpl::type_set_': class 'c10::TensorTypeSet' needs to have dll-interface to be used by clients of struct 'c10::TensorImpl'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1630	
    Warning	C4244	'argument': conversion from 'float' to 'const _Ty', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1027	
    Warning	C4244	'initializing': conversion from 'int64_t' to 'int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\tensorimpl.h	1377	
    Warning	C4251	'at::DeprecatedTypePropertiesRegistry::registry': class 'std::unique_ptr>' needs to have dll-interface to be used by clients of class 'at::DeprecatedTypePropertiesRegistry'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\deprecatedtypepropertiesregistry.h	26	
    Warning	C4251	'at::Generator::mutex_': class 'std::mutex' needs to have dll-interface to be used by clients of struct 'at::Generator'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\generator.h	75	
    Warning	C4251	'at::NamedTensorMeta::names_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'at::NamedTensorMeta'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\namedtensor.h	53	
    Warning	C4251	'at::Tensor::impl_': class 'c10::intrusive_ptr' needs to have dll-interface to be used by clients of class 'at::Tensor'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\tensorbody.h	1104	
    Warning	C4522	'at::Tensor': multiple assignment operators specified	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\tensorbody.h	1105	
    Warning	C4244	'argument': conversion from 'int64_t' to 'const _Kty', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\dict_inl.h	50	
    Warning	C4251	'c10::ivalue::ConstantString::str_': class 'std::basic_string,std::allocator>' needs to have dll-interface to be used by clients of struct 'c10::ivalue::ConstantString'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	118	
