# G0081: Tropic Trooper

## Description
[Tropic Trooper](https://attack.mitre.org/groups/G0081) is an unaffiliated threat group that has conducted targeted campaigns against organizations in Taiwan, the Philippines, and Hong Kong. The group primarily targets government, healthcare, transportation, and high-tech industries. Tropic Trooper has been active since 2011, as documented in reports by TrendMicro (Citation: TrendMicro Tropic Trooper Mar 2018) and Unit 42 (Citation: Unit 42 Tropic Trooper Nov 2016).

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows | [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [New Service](https://attack.mitre.org/techniques/T1050/) | Tropic Trooper installs a service that points to a malicious DLL dropped on the disk. | Windows Registry, Process Monitoring, Process Command-Line Parameters, Windows Event Logs |
| Linux, macOS, Windows | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Owner/User Discovery](https://attack.mitre.org/techniques/T1033/) | Tropic Trooper uses `letmein` to scan for saved usernames on the target system. | File Monitoring, Process Monitoring, Process Command-Line Parameters |
| Linux, macOS, Windows, AWS, GCP, Azure | [Discovery](https://attack.mitre.org/tactics/discovery/) | [System Information Discovery](https://attack.mitre.org/techniques/T1082/) | Tropic Trooper detects the OS version of the target system. | Azure Activity Logs, Stackdriver Logs, AWS CloudTrail Logs, Process Monitoring, Process Command-Line Parameters |
| macOS, Windows, AWS, GCP, Azure | [Discovery](https://attack.mitre.org/tactics/discovery/) | [Network Share Discovery](https://attack.mitre.org/techniques/T1135/) | Tropic Trooper uses `netview` to scan target systems for shared resources. | Process Monitoring, Process Command-Line Parameters, Network Protocol Analysis, Process Use of Network |
| Linux, Windows, macOS, AWS, GCP, Azure | [Discovery](https://attack.mitre.org/tactics/discovery/) | [Network Service Scanning](https://attack.mitre.org/techniques/T1046/) | Tropic Trooper uses `pr` to scan for open ports on target systems. | Netflow/Enclave Netflow, Network Protocol Analysis, Packet Capture, Process Command-Line Parameters, Process Use of Network |
| Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [DLL Side-Loading](https://attack.mitre.org/techniques/T1073/) | Tropic Trooper side-loads DLLs using a valid version of the Windows Address Book executable with one of their tools. | Process Use of Network, Process Monitoring, Loaded DLLs |
| Linux, Windows, macOS | [Execution](https://attack.mitre.org/tactics/execution/) | [Exploitation for Client Execution](https://attack.mitre.org/techniques/T1203/) | Tropic Trooper executes commands through Microsoft security vulnerabilities, including CVE-2017-11882, CVE-2018-0802, and CVE-2012-0158. | Anti-Virus, System Calls, Process Monitoring |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [Process Injection](https://attack.mitre.org/techniques/T1055/) | Tropic Trooper injects a DLL backdoor into the `dllhost.exe` file. | API Monitoring, Windows Registry, File Monitoring, DLL Monitoring, Process Monitoring, Named Pipes |
| Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Persistence](https://attack.mitre.org/tactics/persistence/) | [BITS Jobs](https://attack.mitre.org/techniques/T1197/) | Tropic Trooper leverages the BITSadmin command-line tool to create a job and launch a malicious process. | API Monitoring, Packet Capture, Windows Event Logs |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027/) | Tropic Trooper encrypts configuration files. | Network Protocol Analysis, Process Use of Network, File Monitoring, Malware Reverse Engineering, Binary File Metadata, Process Command-Line Parameters, Environment Variable, Process Monitoring, Windows Event Logs, Network Intrusion Detection System, Email Gateway, SSL/TLS Inspection |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/) | [Standard Cryptographic Protocol](https://attack.mitre.org/techniques/T1032/) | Tropic Trooper uses SSL to connect to C2 servers. | Packet Capture, Netflow/Enclave Netflow, Malware Reverse Engineering, Process Use of Network, Process Monitoring, SSL/TLS Inspection |
| Windows, macOS, Linux | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | Tropic Trooper sends spearphishing emails containing malicious Microsoft Office attachments. | File Monitoring, Packet Capture, Network Intrusion Detection System, Detonation Chamber, Email Gateway, Mail Server |
