 PHY_UPDOWN,Physical state on the interface [STRING] changed   to [STRING].,$1：接口名称   $2：链路状态，up、down,3,IFNET/3/PHY_UPDOWN: Physical state on the   Ethernet0/0 changed to down.,接口的链路状态发生变化,物理层状态为down时，请检查是否没有物理连线或者链路故障
 PROTOCOL_UPDOWN,Protocol [STRING] state on the interface   [STRING] changed to [STRING].,$1：协议名称   $2：接口名称   $3：协议状态，up、down,5,IFNET/5/PROTOCOL_UPDOWN: Protocol IPX   state on the interface Ethernet6/4/1 changed to up.,接口上一个协议的状态发生变化,网络层状态为down时，请检查网络层协议配置
 TUNNEL_LINK_UPDOWN,Line protocol state on the interface   [STRING] changed to [STRING].,$1：接口名称   $2：协议状态，up、down,5,IFNET/5/TUNNEL_LINK_UPDOWN: Line protocol   state on the interface Tunnel1 changed to down.,Tunnel接口的链路层协议状态发生变化,链路层状态为down时，请使用display interface命令查看链路层状态，进一步定位链路层状态为down的原因
 TUNNEL_PHY_UPDOWN,Physical state on the interface [STRING] changed   to [STRING].,$1：接口名称   $2：链路状态，up、down,3,IFNET/3/TUNNEL_PHY_UPDOWN: Physical state   on the Tunnel1 changed to down.,Tunnel接口的链路状态发生变化,物理层状态为down时，请检查是否没有物理连线或者链路故障
 VLAN_MODE_CHANGE,Dynamic VLAN [INT32] has changed to a   static VLAN.,$1：VLANID,5,IFNET/5/VLAN_MODE_CHANGE: Dynamic VLAN 20   has changed to a static VLAN.,创建VLAN虚接口导致动态VLAN转换成静态VLAN,无
 IKE_P1_SA_ESTABLISH_FAIL,"Failed to establish phase 1 SA for the   reason of [STRING]. The SA’s source address is [STRING], and its destination   address is [STRING].",$1：失败原因，显示为：   ·IKE提议匹配失败，显示为：no matching proposal   ·ID信息无效，显示为：invalid ID information   ·证书不可用，显示为：unavailable certificate   ·不支持的DOI，显示为：unsupported DOI   ·不支持当前应用场景，显示为：unsupported situation   ·IKE提议语法无效，显示为：invalid proposal syntax   ·SPI无效，显示为：invalid SPI   ·协议ID错误，显示为：invalid protocol ID   ·证书无效显示为：invalid certificate   ·认证失败，显示为：authentication failure   ·信息头错误，显示为：invalid message header   ·变换载荷ID无效，显示为：invalid transform ID   ·载荷形式错误，显示为：malformed payload   ·重传超时，显示为：retransmission timeout   ·配置错误，显示为：incorrect configuration   $2：源地址   $3：目的地址,6,IKE/6/IKE_P1_SA_ESTABLISH_FAIL: Failed to   establish phase 1 SA for the reason of no matching proposal. The SA’s source   address is 1.1.1.1 and its destination address is 2.2.2.2.,IKE建立第一阶段SA失败以及失败原因,检查本端和对端设备的IKE配置
 IKE_P2_SA_ESTABLISH_FAIL,"Failed to establish phase 2 SA for the   reason of [STRING]. The SA’s source address is [STRING], and its destination   address is [STRING].",$1：失败原因，显示为：   ·密钥信息无效，显示为：invalid key information   ·ID信息无效，显示为：invalid ID information   ·IKE提议不可用，显示为：unavailable proposal   ·不支持的DOI，显示为：unsupported DOI   ·不支持当前应用场景，显示为：unsupported situation   ·IKE提议语法无效，显示为：invalid proposal syntax   ·SPI无效，显示为：invalid SPI   ·协议ID无效，显示为：invalid protocol ID   ·哈希信息无效，显示为：invalid hash information   ·信息头无效，显示为：invalid message header   ·载荷形式错误，显示为：malformed payload   ·重传超时，显示为：retransmission timeout   ·配置错误，显示为：incorrect configuration   $2：源地址   $3：目的地址,6,"IKE/6/IKE_P2_SA_ESTABLISH_FAIL: Failed to   establish phase 2 SA for the reason of invalid key information. The SA’s   source address is 1.1.1.1, and its destination address is 2.2.2.2.",IKE建立第二阶段SA失败以及失败原因,检查本端和对端设备的IKE和IPsec配置
 IKE_P2_SA_TERMINATE,"The IKE phase 2 SA was deleted for the   reason of [STRING]. The SA’s source address is [STRING], and its destination   address is [STRING].",$1：删除SA的原因，显示为SA expiration   $2：源地址   $3：目的地址,6,"IKE/6/IKE_P2_SA_TERMINATE: The IKE phase   2 SA was deleted for the reason of SA expiration. The SA’s source address is   1.1.1.1, and its destination address is 2.2.2.2.",第二阶段SA由于过期失效而删除,无
 IPSEC_FAILED_ADD_FLOW_TABLE,Failed to add flow-table due to [STRING].,$1：失败原因,4,IPSEC/4/IPSEC_FAILED_ADD_FLOW_TABLE:   Failed to add flow-table due to no enough resource.,添加流表失败，可能原因包括硬件资源不足等,对于硬件资源不足情况，请联系技术支持
 IPSEC_PACKET_DISCARDED,"IPsec packet discarded, Src IP:[STRING],   Dst IP:[STRING], SPI:[UINT32], SN:[UINT32], Cause:[STRING].",$1：报文的源IP地址   $2：报文的目的IP地址   $3：SPI（Security   Parameter Index，安全参数索引）   $4：报文的序列号   $5：报文丢弃的原因：   ·抗重放检测失败，显示为：Anti-replay checking failed.   ·AH认证失败，显示为：AH authentication failed.   ·ESP认证失败，显示为：ESP authentication failed.   ·SA无效，显示为：Invalid SA.   ·ESP解密失败，显示为：ESP decryption failed.   ·报文的源地址匹配不上SA，显示为：Source address of packet does not match the SA.   ·没有匹配的ACL规则，显示为：No ACL rule matched.,6,"IPSEC/6/IPSEC_PACKET_DISCARDED: IPsec   packet discarded, Src IP:1.1.1.2, Dest IP:1.1.1.4, SPI:1002, SN:0, Cause:ah   authentication failed",IPsec报文被丢弃,无
 IPSEC_SA_ESTABLISH,"Established IPsec SA. The SA’s source   address is [STRING], destination address is [STRING], protocol is [STRING],   and SPI is [UINT32].",$1：IPsec SA的源IP地址   $2：IPsec SA的目的IP地址   $3：IPsec SA使用的安全协议   $4：IPsec SA的SPI,6,"IPSEC/6/IPSEC_SA_ESTABLISH: Established   IPsec SA. The SA’s source address is 1.1.1.1, destination address is 2.2.2.2,   protocol is AH, and SPI is 2435.",IPsec SA创建成功,无
