### Classification Results for Tactics and Techniques

Tables 2 and 3 present the performance of the classifiers for tactics and techniques, respectively. Classifiers not shown in the tables either did not outperform our naive baseline or achieved lower overall results than those included.

#### Table 2: Classification Results for Tactics Prediction

**Abbreviations:**
- CC = Classifier Chain
- BR = Binary Relevance
- DT = Decision Tree
- T = Tree
- KNN = K Nearest Neighbors

| **Classifier** | **Micro Precision** | **Micro Recall** | **Micro F0.5** | **Macro Precision** | **Macro Recall** | **Macro F0.5** |
|----------------|---------------------|------------------|----------------|---------------------|------------------|----------------|
| **Without Resampling** |
| Majority Baseline | 64.73% | 50.84% | 61.30% | 60.87% | 45.20% | 56.45% |
| Term Frequency | 64.73% | 50.84% | 61.30% | 60.87% | 45.20% | 56.45% |
| CC Adaboost DT | 67.19% | 40.57% | 59.38% | 64.01% | 33.46% | 51.89% |
| CC Bagging DT | 71.84% | 44.33% | 63.61% | 66.72% | 37.42% | 55.91% |
| CC Gradient T Boosting | 71.84% | 44.33% | 63.61% | 66.72% | 37.42% | 55.91% |
| CC Logistic Regression | 63.81% | 54.35% | 61.61% | 58.86% | 47.78% | 55.85% |
| CC Perceptron | 63.81% | 51.02% | 60.71% | 58.89% | 44.31% | 54.64% |
| CC Linear SVC | 62.30% | 49.27% | 59.08% | 57.26% | 42.37% | 52.91% |
| BR AdaBoost DT | 68.26% | 42.36% | 60.75% | 63.71% | 34.30% | 51.54% |
| BR Bagging DT | 68.26% | 42.36% | 60.75% | 63.71% | 34.30% | 51.54% |
| BR Gradient T Boosting | 71.42% | 48.19% | 65.04% | 66.35% | 40.16% | 56.78% |
| BR Logistic Regression | 63.71% | 54.42% | 61.54% | 58.74% | 47.81% | 55.76% |
| BR Ridge Classifier | 64.70% | 51.55% | 61.51% | 59.20% | 44.36% | 54.89% |
| BR Linear SVC | 64.70% | 51.55% | 61.51% | 59.20% | 44.36% | 54.89% |
| Adapted KNN | 57.93% | 38.66% | 52.55% | 52.55% | 30.41% | 43.06% |

| **Classifier** | **Micro Precision** | **Micro Recall** | **Micro F0.5** | **Macro Precision** | **Macro Recall** | **Macro F0.5** |
|----------------|---------------------|------------------|----------------|---------------------|------------------|----------------|
| **With Resampling** |
