### 术语表

#### 概念
**隔离机制**：用于确保任何行为仅影响与特定进程相关的内存和资源的一种方法。

#### J
**Jailbreak（越狱）**：越狱是指打破iOS设备上的限制，并允许用户获得对底层操作系统的根级别访问权限。这一过程类似于在运行Android操作系统的设备上进行root操作。

#### Java
**Java**：一种跨平台的编程语言，最初由Sun Microsystems公司开发。

#### Job Description（工作描述）
**工作描述**：一份详细文档，概述了组织中特定职位的要求。该文档通常包括安全分类、工作任务等信息。

#### Job Responsibilities（工作职责）
**工作职责**：指员工在其岗位上需要定期执行的具体任务。

#### Job Rotation（岗位轮换）
**岗位轮换**：通过让员工在不同岗位之间转换，以提高整体安全性的一种管理策略。岗位轮换具有两个主要功能：首先，它提供了一种知识冗余的方式；其次，人员流动可以减少欺诈、数据篡改、盗窃、怠工及滥用信息的风险。

#### Keccak算法
**Keccak算法**：2012年，美国联邦政府宣布选择Keccak作为SHA-3标准算法。

#### Kerberos
**Kerberos**：一种基于票据的身份验证机制，依赖于可信第三方来提供身份标识和认证服务。

#### Kerchoff假设/原则
**Kerchoff假设/原则**：认为算法应该是公开透明的，但所有密钥必须保密。大多数现代加密算法遵循这一原则，但并非全部如此。

#### Kernel（内核）
**内核**：操作系统的核心部分，始终驻留在内存中以便随时响应系统需求。

#### Kernel Proxy Firewalls（内核代理防火墙）
**内核代理防火墙**：集成到操作系统核心中的防火墙类型，能够提供多层次的会话和数据包评估。这类防火墙也被称为第五代防火墙。

#### Key（密钥）
1. **密钥**：用于加密或解密消息的数值。
2. **数据库键**：数据库中的列、属性或字段。

#### Key Distribution Center (KDC)（密钥分发中心）
**密钥分发中心(KDC)**：Kerberos身份验证系统的一个组成部分，负责维护所有已注册主体和客体的秘密密钥。同时，KDC也是COMSEC机构的一部分，专门负责分配对称密码系统的密钥，尤其适用于政府机构。

#### Key Escrow System（密钥托管系统）
**密钥托管系统**：一种密码学恢复机制，在此机制下，密钥被存储在一个数据库中。当密钥丢失或损坏时，只有授权的密钥托管机构才能恢复这些密钥。

#### Keyspace 或 Key Space（密钥空间）
**密钥空间**：指可用于特定算法的有效密钥值范围。

#### Keystroke Dynamics（击键力度）
**击键力度**：通过分析打字时间和按键时间来度量个体如何使用键盘的行为特征，属于生物测定学因素之一。

#### Keystroke Monitoring（击键监控）
**击键监控**：记录用户在物理键盘上的按键行为。这种记录可以通过图像（例如录像机）或逻辑/技术手段（如捕获硬件设备或软件程序）实现。

#### Keystroke Patterns（击键模式）
**击键模式**：生物测定学因素之一，代表个体独特的行为或生理特征。个人输入密码短语的速度和模式可用来建立身份标识或进行身份验证。

#### Knowledge Base（知识库）
**知识库**：专家系统的一个组成部分，包含系统所知的所有规则。知识库尝试以一系列“if-then”语句编码人类专家的知识。

#### Knowledge-based Detection（知识型检测）
**知识型检测**：入侵检测系统(IDS)采用的一种基于已知攻击特征数据库的发现机制。其主要缺点在于只能识别已知的攻击方法。

#### Known Plain-text Attack（已知明文攻击）
**已知明文攻击**：在这种攻击中，攻击者拥有加密信息的副本以及生成该密文的原始明文信息。掌握这些信息有助于破解较弱的编码方案。

#### KryptoKnight
**KryptoKnight**：一种基于票据的身份认证机制，类似于Kerberos，但采用的是对等身份认证方式。

#### LAN Extension（局域网扩展）
**局域网扩展**：一种远程访问多层交换机，通过WAN链接连接远距离网络。尽管其实质上创建了一个WAN环境，但营销人员倾向于避免使用WAN术语，而更愿意将其称为LAN或扩展LAN设备，以便更容易地向客户解释并促进销售。

#### Land Attack（陆地攻击）
**陆地攻击**：一种拒绝服务(DoS)攻击形式。在此类攻击中，攻击者向受害者发送大量SYN数据包，这些数据包已被篡改，使其源地址、目标地址及端口号与受害者相同。这将导致受害者误以为自己正在发起一个TCP/IP会话，从而引发系统故障，经常会导致系统挂起、崩溃或重启。

#### Lattice-based Access Control（格型访问控制）
**格型访问控制**：非自主访问控制的一种变体，为所有主体与客体之间的关系定义了访问权限的上下限。这些界限通常是任意设定的，但在实践中往往遵循军事或公司的安全标签级别。

#### Layer 1 to Layer 7（OSI模型各层）
- **第1层**：物理层
- **第2层**：数据链路层
- **第3层**：网络层
- **第4层**：传输层
- **第5层**：会话层
- **第6层**：表示层
- **第7层**：应用层

#### Layer 2 Forwarding (L2F)（第二层转发）
**第二层转发(L2F)**：Cisco开发的一种相互验证隧道机制协议。L2F不提供内置加密功能。

#### Layer 2 Tunneling Protocol (L2TP)（第二层隧道协议）
**第二层隧道协议(L2TP)**：结合了PPTP和L2F元素的点对点隧道协议。L2TP本身缺乏加密机制，通常与IPSec一起使用以增强安全性。

#### Layering（层次法）
**层次法**：通过连续部署多个安全控制措施，以达到最佳的安全效果。

#### Licensing（许可证颁发）
**许可证颁发**：定义产品使用方式的合同文件。

#### Life Cycle Assurance（生命周期保证）
**生命周期保证**：基于设计、架构、创建、测试和分发等概念对产品的信任度或可靠性进行评估的过程。最终目的是判断一个产品是否在设计阶段就将安全性视为核心特性之一。

#### Lighting（照明）
**照明**：最常见的边界安全控制措施之一，旨在阻止偶然闯入者、入侵者、小偷和其他希望在黑暗环境中实施恶意行为的人。

#### Link Encryption（链路加密）
**链路加密**：利用软件或硬件解决方案，在两点间建立一条安全通道，保护整个通信线路的安全。即对进入通道一端的所有数据进行加密，对离开另一端的数据进行解密。

#### Link State Routing Protocol（链路状态路由协议）
**链路状态路由协议**：一种维护所有已连接网络拓扑图的路由协议，并利用该图确定到达目的地的最短路径。

#### Local Alarm Systems（本地警报系统）
**本地警报系统**：能够广播可听警报信号的系统，其信号传播距离可达400英尺。此外，本地警报系统需受到保护（通常由保安人员负责），以防止损坏和破坏。为了使警报系统有效运作，附近必须有安全团队或保安人员能在警报触发后立即作出反应。

#### Local Area Network (LAN)（局域网）
**局域网(LAN)**：一种受地理范围限制的网络形式，常见于单个办公室、建筑物或城市街区内部。

#### Local Cache（本地缓存）
**本地缓存**：临时存储在客户端上的内容，供将来重复使用。典型的客户端可能包含多种类型的本地缓存，如ARP缓存、DNS缓存以及互联网文件缓存等。

#### Log Analysis（日志分析）
**日志分析**：一种更为详细且系统化的监控手段，通过对已记录的日志信息进行趋势和图形分析，识别异常、未经授权、违法及违反安全策略的活动。

#### Logging（日志记录）
**日志记录**：记录系统事件的过程，以便后续分析和审计。
