 FTPD_AUTHOR_FAILED,Authorization failed for user [STRING]@[STRING].,$1：用户名   $2：用户IP地址,6,FTP/6/FTPD_AUTHOR_FAILED: Authorization   failed for user admin@10.11.115.63.,FTP用户授权失败,请检查是否配置该用户支持FTP服务
 FTPD_REACH_SESSION_LIMIT,FTP client [STRING] failed to log in. The   current number of FTP sessions is [NUMBER]. The maximum number allowed is ([NUMBER]).,$1：FTP客户端IP地址   $2：当前的FTP会话数   $3：设备允许建立的FTP会话数,6,FTPD/6/FTPD_REACH_SESSION_LIMIT: FTP   client 1.1.1.1 failed to log in. The current number of FTP sessions is 10. The   maximum number allowed (10).,FTP登录用户达到上限。该日志在FTP服务端检测到登录客户端数达到上限时输出,·请使用display current-configuration | include sesion-limit命令查看设备当前允许的FTP最大登录用户数（如果执行该display命令后没有显示，则表示使用的是缺省配置）   ·根据需要使用aaa session-limit命令配置允许的FTP最大登录用户数
 HA_BATCHBACKUP_FINISHED,Batch backup of standby board in [STRING]   has finished.,$1：单板所在的槽位号，形如slot xx（分布式设备－独立运行模式）   $1：设备在IRF中的成员编号，形如slot xx（集中式IRF设备）   $1：单板在IRF中的槽位号，形如chassis xx slot xx（分布式设备－IRF模式）,5,HA/5/HA_BATCHBACKUP_FINISHED: Batch   backup of standby board in slot 1 has finished.（分布式设备－独立运行模式）（集中式IRF设备）,主用主控板和备用主控板之间的批量备份完成,无
 HA_BATCHBACKUP_STARTED,Batch backup of standby board in [STRING]   started.,$1：单板所在的槽位号，形如slot xx（分布式设备－独立运行模式）   $1：设备在IRF中的成员编号，形如slot xx（集中式IRF设备）   $1：单板在IRF中的槽位号，形如chassis xx slot xx（分布式设备－IRF模式）,5,HA/5/HA_BATCHBACKUP_STARTED: Batch backup   of standby board in slot 1 started.（分布式设备－独立运行模式）（集中式IRF设备）,主用主控板和备用主控板之间的批量备份开始,无
 HA_STANDBY_NOT_READY,"Standby board in [STRING] is not ready,   reboot ...",$1：单板所在的槽位号，形如slot xx（分布式设备－独立运行模式）   $1：设备在IRF中的成员编号，形如slot xx（集中式IRF设备）   $1：单板在IRF中的槽位号，形如chassis xx slot xx（分布式设备－IRF模式）,4,"HA/4/HA_STANDBY_NOT_READY: Standby board   in slot 1 is not ready, reboot ...（分布式设备－独立运行模式）（集中式IRF设备）",主备倒换时，如果备用主控板未准备好，则不会进行主备倒换，而是重启备用主控板和主用主控板，并在备用主控板上打印该信息,建议备用主控板批量备份完成前不要进行主备倒换
 HA_STANDBY_TO_MASTER,Standby board in [STRING] changed to the   master.,$1：单板所在的槽位号，形如slot xx（分布式设备－独立运行模式）   $1：设备在IRF中的成员编号，形如slot xx（集中式IRF设备）   $1：单板在IRF中的槽位号，形如chassis xx slot xx（分布式设备－IRF模式）,5,HA/5/HA_STANDBY_TO_MASTER: Standby board   in slot 1 changed to the master.（分布式设备－独立运行模式）（集中式IRF设备）,发生主备倒换，备用主控板成为主用主控板,无
 HQOS_DP_SET_FAIL,Failed to set drop profile [STRING]   globally.,$1：丢弃策略的名称,4,HQOS/4/HQOS_DP_SET_FAIL: Failed to set drop   profile b globally.,首次应用全局丢弃策略或者修改全局丢弃策略时失败,请检查丢弃策略配置，确保支持并且策略不冲突
 HQOS_FP_SET_FAIL,Failed to set [STRING] in forwarding profile   [STRING] globally.,$1：策略类型，可以为“gts”，“bandwidth”，“queue”或者“drop profile”   $2：转发策略的名称,4,HQOS/4/HQOS_FP_SET_FAIL: Failed to set   gts in forwarding profile b globally.,首次应用全局转发策略或者修改全局转发策略时失败,请检查转发策略，确保支持并且策略不冲突
 HQOS_POLICY_APPLY_FAIL,Failed to apply some forwarding classes   or forwarding groups in scheduler policy [STRING] to the [STRING] direction   of interface [STRING].,$1：调度策略的名称   $2：策略方式，可以为“inbound”或者““outbound”   $3：接口名称,4,HQOS/4/HQOS_POLICY_APPLY_FAIL: Failed to   apply some forwarding classes or forwarding groups in scheduler policy b to   the inbound direction of interface Ethernet3/1/2.,接口上应用调度策略失败，或者修改接口上已应用的调度策略,通过命令行 display qos scheduler-policy diagnosis   interface 查看失败的转发节点以及失败原因，之后检查运行配置
 HQOS_POLICY_RECOVER_FAIL,Failed to recover scheduler policy [STRING]   to the [STRING] direction of interface [STRING] due to [STRING].,$1：调度策略的名称   $2：策略方式，可以为“inbound”或者“outbound”   $3：接口名称   $4：失败原因,4,HQOS/4/HQOS_POLICY_RECOVER_FAIL: Failed   to recover scheduler policy b to the outbound direction of interface   Ethernet3/1/2 due to conflicting with QoS configuration.,接口板重启或设备重启，恢复接口上应用的调度策略失败,请根据失败原因检查配置
 HTTPD_CONNECT,[STRING] client [STRING] connected to the   server successfully.,$1：连接类型，HTTP或HTTPS   $2：客户端IP地址,6,HTTPD/6/HTTPD_CONNECT: HTTP client   192.168.30.117 connected to the server successfully.,HTTP/HTTPS服务器接受了客户端的请求，HTTP/HTTPS连接成功建立,无
 HTTPD_CONNECT_TIMEOUT,[STRING] client [STRING] connection idle   timeout.,$1：连接类型，HTTP或HTTPS   $2：客户端IP地址,6,HTTPD/6/HTTPD_CONNECT_TIMEOUT: HTTP   client 192.168.30.117 connection to server idle timeout.,HTTP/HTTPS连接因空闲时间太长而断开,无
 HTTPD_DISCONNECT,[STRING] client [STRING] disconnected   from the server.,$1：连接类型，HTTP或HTTPS   $2：客户端IP地址,6,HTTPD/6/HTTPD_DISCONNECT: HTTP client   192.168.30.117 disconnected from the server.,HTTP/HTTPS 客户端断开了到服务器的连接,无
 HTTPD_FAIL_FOR_ACL,[STRING] client [STRING] failed the ACL   check and could not connect to the server.,$1：连接类型，HTTP或HTTPS   $2：客户端IP地址,6,HTTPD/6/HTTPD_FAIL_FOR_ACL: HTTP client   192.168.30.117 failed the ACL check and cannot connect to the server.,HTTP/HTTPS客户端没有通过ACL检查，无法建立连接,无
