### Database Compatibility for Oracle® Developers
#### Reference Guide

#### 3.32 DBA_DIRECTORIES
The `DBA_DIRECTORIES` view provides information about all directories created with the `CREATE DIRECTORY` command.

| Name            | Type                | Description                              |
|-----------------|---------------------|------------------------------------------|
| `owner`         | `CHARACTER VARYING(30)` | User name of the directory's owner.      |
| `directory_name`| `CHARACTER VARYING(30)` | The alias name assigned to the directory.|
| `directory_path`| `CHARACTER VARYING(4000)` | The path to the directory.               |

#### 3.33 DBA_IND_COLUMNS
The `DBA_IND_COLUMNS` view provides information about all columns included in indexes on all tables in the database.

| Name              | Type       | Description                                          |
|-------------------|------------|------------------------------------------------------|
| `index_owner`     | `TEXT`     | User name of the index's owner.                      |
| `schema_name`     | `TEXT`     | Name of the schema in which the index belongs.        |
| `index_name`      | `TEXT`     | Name of the index.                                   |
| `table_owner`     | `TEXT`     | User name of the table's owner.                      |
| `table_name`      | `TEXT`     | Name of the table in which the index belongs.         |
| `column_name`     | `TEXT`     | Name of the column or attribute of the object column. |
| `column_position` | `SMALLINT` | The position of the column in the index.              |
| `column_length`   | `SMALLINT` | The length of the column (in bytes).                 |
| `char_length`     | `NUMERIC`  | The length of the column (in characters).            |
| `descend`         | `CHARACTER(1)` | Always set to 'Y' (descending); included for compatibility only. |

#### 3.34 DBA_INDEXES
The `DBA_INDEXES` view provides information about all indexes in the database.

| Name               | Type       | Description                                          |
|--------------------|------------|------------------------------------------------------|
| `owner`            | `TEXT`     | User name of the index's owner.                      |
| `schema_name`      | `TEXT`     | Name of the schema in which the index resides.        |
| `index_name`       | `TEXT`     | The name of the index.                               |
| `index_type`       | `TEXT`     | The index type is always BTREE; included for compatibility only. |
| `table_owner`      | `TEXT`     | User name of the owner of the indexed table.          |
| `table_name`       | `TEXT`     | The name of the indexed table.                       |
| `table_type`       | `TEXT`     | Included for compatibility only; always set to TABLE. |
| `uniqueness`       | `TEXT`     | Indicates if the index is UNIQUE or NONUNIQUE.       |
| `compression`      | `CHARACTER(1)` | Always set to 'N' (not compressed); included for compatibility only. |
| `tablespace_name`  | `TEXT`     | Name of the tablespace in which the table resides if other than the default tablespace. |
| `logging`          | `TEXT`     | Included for compatibility only; always set to LOGGING. |
| `status`           | `TEXT`     | Whether or not the state of the object is valid (VALID or INVALID). |
| `partitioned`      | `CHARACTER(3)` | Indicates that the index is partitioned; always set to NO. |
| `temporary`        | `CHARACTER(1)` | Indicates that an index is on a temporary table; always set to N. |
| `secondary`        | `CHARACTER(1)` | Included for compatibility only; always set to N.    |
| `join_index`       | `CHARACTER(3)` | Included for compatibility only; always set to NO.   |
| `dropped`          | `CHARACTER(3)` | Included for compatibility only; always set to NO.   |

#### 3.35 DBA_JOBS
The `DBA_JOBS` view provides information about all jobs in the database.

| Name              | Type                        | Description                                          |
|-------------------|-----------------------------|------------------------------------------------------|
| `job`             | `INTEGER`                   | The identifier of the job (Job ID).                  |
| `log_user`        | `TEXT`                      | The name of the user that submitted the job.          |
| `priv_user`       | `TEXT`                      | Same as `log_user`; included for compatibility only.  |
| `schema_user`     | `TEXT`                      | The name of the schema used to parse the job.         |
| `last_date`       | `TIMESTAMP WITH TIME ZONE`  | The last date that this job executed successfully.    |
| `last_sec`        | `TEXT`                      | Same as `last_date`.                                 |
| `this_date`       | `TIMESTAMP WITH TIME ZONE`  | The date that the job began executing.                |
| `this_sec`        | `TEXT`                      | Same as `this_date`.                                 |
| `next_date`       | `TIMESTAMP WITH TIME ZONE`  | The next date that this job will be executed.         |
| `next_sec`        | `TEXT`                      | Same as `next_date`.                                 |
| `total_time`      | `INTERVAL`                  | The execution time of this job (in seconds).          |
| `broken`          | `TEXT`                      | If 'Y', no attempt will be made to run this job; if 'N', this job will attempt to execute. |
| `interval`        | `TEXT`                      | Determines how often the job will repeat.             |
| `failures`        | `BIGINT`                    | The number of times that the job has failed to complete since its last successful execution. |
| `what`            | `TEXT`                      | The job definition (PL/SQL code block) that runs when the job executes. |
| `nls_env`         | `CHARACTER VARYING(4000)`   | Always NULL; provided for compatibility only.        |
| `misc_env`        | `BYTEA`                     | Always NULL; provided for compatibility only.        |
| `instance`        | `NUMERIC`                   | Always 0; provided for compatibility only.           |

#### 3.36 DBA_OBJECTS
The `DBA_OBJECTS` view provides information about all objects in the database.

| Name              | Type                | Description                                          |
|-------------------|---------------------|------------------------------------------------------|
| `owner`           | `TEXT`              | User name of the object's owner.                      |
| `schema_name`     | `TEXT`              | Name of the schema in which the object belongs.       |
| `object_name`     | `TEXT`              | Name of the object.                                  |
| `object_type`     | `TEXT`              | Type of the object – possible values are: INDEX, FUNCTION, PACKAGE, PACKAGE BODY, PROCEDURE, SEQUENCE, SYNONYM, TABLE, TRIGGER, and VIEW. |
| `status`          | `CHARACTER VARYING` | Included for compatibility only; always set to VALID. |
| `temporary`       | `TEXT`              | 'Y' if the table is temporary; 'N' if the table is permanent. |

#### 3.37 DBA_PART_KEY_COLUMNS
The `DBA_PART_KEY_COLUMNS` view provides information about the key columns of the partitioned tables that reside in the database.

| Name              | Type                | Description                                          |
|-------------------|---------------------|------------------------------------------------------|
| `owner`           | `TEXT`              | The owner of the table.                              |
| `schema_name`     | `TEXT`              | The name of the schema in which the table resides.    |
| `name`            | `TEXT`              | The name of the table in which the column resides.    |
| `object_type`     | `CHARACTER(5)`      | For compatibility only; always TABLE.                 |
| `column_name`     | `TEXT`              | The name of the column on which the key is defined.   |
| `column_position` | `INTEGER`           | 1 for the first column; 2 for the second column, etc. |

#### 3.38 DBA_PART_TABLES
The `DBA_PART_TABLES` view provides information about all of the partitioned tables in the database.

| Name                      | Type                | Description                                          |
|---------------------------|---------------------|------------------------------------------------------|
| `owner`                   | `TEXT`              | The owner of the partitioned table.                  |
| `schema_name`             | `TEXT`              | The schema in which the table resides.               |
| `table_name`              | `TEXT`              | The name of the table.                               |
