### 安全需求管理

#### 定义
安全需求涵盖了应用的安全功能和功能的安全性两个方面。针对这些需求，需要编写、验证和管理相应的测试用例，并提出相关要求。

#### 安全需求基线
- **持续更新的安全需求标准库**：建立并维护一个不断更新的安全需求标准库。
- **安全管理平台**：利用自动化和智能化的需求管理平台进行安全需求的管理和跟踪。

### 安全设计

#### 规范
- **威胁建模**：通过威胁建模识别潜在的安全风险。
- **安全架构审核**：对安全设计方案进行审核，确保其符合安全标准。

### 安全编码

#### 源代码安全检测
- **开源组件安全风险与合规检测**：检测开源组件的安全风险和合规性。
- **控制交付过程风险**：将安全内建到交付过程中，确保系统、产品和服务在最佳状态下交付。具体包括：
  - **配置管理**：对源代码及相关脚本、依赖组件、发布制品、应用配置和环境配置等进行安全管理。
  - **构建管理**：提升应用发布制品的安全性，确保构建过程可靠且可重复，有利于避免安全问题和版本变更追溯。
  - **测试管理**：在应用发布前，通过安全测试发现并排除安全缺陷，提高安全质量。
  - **部署与发布管理**：关注安全流程与规范，实施过程中的安全控制和低风险发布机制。

### 安全流程与规范

#### 嵌入DevOps流水线
- **安全控制方式嵌入DevOps流水线**：将安全控制方式嵌入到DevOps流水线中，确保安全质量门限和低风险发布机制。

### 控制运营过程风险

#### 运营过程中的安全监控
- **安全监控**：覆盖业务场景与基础运营环境，监测病毒攻击、DDoS攻击、暴力破解、注入攻击、接口滥用和Web欺诈等。
- **运营反馈**：通过对安全漏洞、缺陷和事件的分析与反馈，实现从运营到开发过程的DevSecOps闭环管理。
- **运营安全**：在运营过程中实施安全控制，识别、评估漏洞与缺陷，并降低或消除风险。包括对配置管理和变更管理的安全管理。
- **应急响应**：针对运营过程中的安全事件和风险进行响应、跟踪和处置，及时降低风险和影响，保障业务连续性。

### 中国信通院关于开发运维相关工作

#### 开发运维类行业标准制定
- **交流研讨与软科研成果输出**：组织交流研讨，输出软科研成果。
- **标准推广**：推广云计算运维工作组的标准，如《可信云服务专项评估 第1部分 面向云服务提供商的运维管理指南》。
- **标准符合性验证和评测**：进行标准符合性验证和评测，确保企业符合相关标准。

#### 云运维标准
- **《研发运营一体化（DevOps）能力成熟度模型》系列标准**：提供云服务运维管理流程指导、系统功能完备性和自动化管理。
- **运维研究成果**：发布《企业IT运维发展白皮书（2019年）》、《中国DevOps现状调查报告（2019年）》和《企业级AIOps实施建议白皮书》等。

#### 正在研制中的标准
- **《研发运营一体化能力成熟度模型》评测与推广**：推动该标准的评测与推广。
- **企业级DevOps赋能计划**：联合多家公司共同推进企业级DevOps赋能计划。

### 联系我们
- **刘老师**
  - 电话：15650786171
  - 邮箱：PI:EMAIL

---

感谢您的关注！全球网络安全倾听北京声音。
