以下是优化后的文本，使其更加清晰、连贯和专业：

---

**参考文献**

[19] E. Chin, A. P. Felt, K. Greenwood, and D. Wagner. 分析Android中的应用间通信. 在第9届国际移动系统、应用和服务会议（MobiSys '11）论文集, 页239–252, 纽约, NY, USA, 2011. ACM.

[20] M. K. Chong. 移动银行的可用身份验证. 博士论文, 开普敦大学, 2009年1月.

[21] P. Chuhan-Pole 和 M. Angwafo. 移动支付病毒式传播: 肯尼亚的M-PESA. 收录于《是的，非洲可以：一个充满活力大陆的成功故事》. 世界银行出版物, 2011年6月.

[22] S. Cobourne, K. Mayes, 和 K. Markantonakis. 使用智能卡Web服务器进行安全无分支银行服务. 在网络与系统安全会议论文集, 计算机科学讲义系列第7873卷, 页250–263. Springer Berlin Heidelberg, 2013年1月.

[23] I. Dacosta, M. Ahamad, 和 P. Traynor. 不信任任何人: 检测针对SSL/TLS的中间人攻击而无需第三方. 在欧洲计算机安全研究研讨会论文集, 页199–216. Springer, 2012年.

[24] M. Egele, D. Brumley, Y. Fratantonio, 和 C. Kruegel. Android应用程序中密码误用的实证研究. 在第20届ACM计算机与通信安全会议（CCS '13）论文集, 页73–84, 纽约, NY, USA, 2013. ACM.

[25] W. Enck, P. Gilbert, S. Han, V. Tendulkar, B.-G. Chun, L. P. Cox, J. Jung, P. McDaniel, 和 A. N. Sheth. TaintDroid: 用于智能手机实时隐私监控的信息流跟踪系统. ACM计算机系统事务, 32(2):5:1–5:29, 2014年6月.

[26] W. Enck, D. Octeau, P. McDaniel, 和 S. Chaudhuri. Android应用程序安全研究. 在第20届USENIX安全研讨会论文集, 旧金山, CA, USA, 2011年.

[27] W. Enck, P. Traynor, P. McDaniel, 和 T. La Porta. 利用具有SMS功能的蜂窝网络中的开放功能. 在第12届ACM计算机与通信安全会议论文集, 页393–404. ACM, 2005年.

[28] S. Fahl, M. Harbach, T. Muders, L. Baumgartner, B. Freisleben, 和 M. Smith. 为什么Eve和Mallory喜欢Android: Android SSL（不）安全分析. 在第2012届ACM计算机与通信安全会议（CCS '12）论文集, 页50–61, 纽约, NY, USA, 2012. ACM.

[29] S. Fahl, M. Harbach, H. Perl, M. Koetter, 和 M. Smith. 重新思考App化世界中的SSL开发. 在第20届ACM计算机与通信安全会议（CCS '13）论文集, 页49–60, 纽约, NY, USA, 2013. ACM.

[30] A. P. Felt, E. Chin, S. Hanna, D. Song, 和 D. Wagner. 揭秘Android权限. 在第18届ACM计算机与通信安全会议（CCS '11）论文集, 页627–638, 纽约, NY, USA, 2011. ACM.

---

**附录**

| 应用包名 | 国家 | Mallodroid警告 | 市场限制 | 下载量 |
| --- | --- | --- | --- | --- |
| bo.com.tigo.tigoapp | 玻利维亚 | √ | √ | 1,000-5,000 |
| br.com.mobicare.minhaoi | 巴西 | √ | √ | 500,000-1,000,000 |
| com.cellulant.wallet | 尼日利亚 | √ | √ | 100-500 |
| com.directoriotigo.hwm | 洪都拉斯 | √ | √ | 10,000-50,000 |
| com.econet.ecocash | 津巴布韦 | √ | √ | 10,000-50,000 |
| com.ezuza.mobile.agent | 墨西哥 | √ | √ | 10-50 |
| com.f1soft.esewa | 尼泊尔 | √ | √ | 50,000-100,000 |
| com.fetswallet App | 尼日利亚 | √ | √ | 100-500 |
| com.globe.gcash.android | 菲律宾 | √ | √ | 10,000-50,000 |
| com.indosatapps.dompetku | 印度尼西亚 | √ | √ | 5,000-10,000 |
| com.japps.firstmonie | 尼日利亚 | √ | √ | 50,000-100,000 |
| com.m4u.vivozuum | 巴西 | √ | √ | 10,000-50,000 |
| com.mcoin.android | 印度尼西亚 | √ | √ | 1,000-5,000 |
| com.mdinar | 突尼斯 | √ | √ | 500-1,000 |
| com.mfino.fortismobile | 尼日利亚 | √ | N/A | 100-500 |
| com.mibilleteramovil | 阿根廷 | √ | √ | 500-1,000 |
| com.mobilis.teasy.production | 尼日利亚 | √ | √ | 100-500 |
| com.mom.app | 印度 | √ | √ | 10,000-50,000 |
| com.moremagic.myanmarmobilemoney | 缅甸 | √ | √ | 191 |
| com.mservice.momotransfer | 越南 | √ | √ | 100,000-500,000 |
| com.myairtelapp | 印度 | √ | √ | 1,000,000-5,000,000 |
| com.oxigen.oxigenwallet | 印度 | √ | √ | 100,000-500,000 |
| com.pagatech.customer.android | 尼日利亚 | √ | √ | 10,000-50,000 |
| com.palomar.mpay | 泰国 | √ | √ | 5,000-10,000 |
| com.paycom.app | 尼日利亚 | √ | √ | 1,000-5,000 |
| com.pocketmoni.ui | 尼日利亚 | √ | √ | 100,000-500,000 |
| com.ptdam.emoney | 印度尼西亚 | √ | √ | 10,000-50,000 |
| com.qulix.mozido.jccul.android | 牙买加 | √ | √ | 5,000-10,000 |
| com.sbg.mobile.phone | 南非 | √ | √ | 500-1,000 |
| com.simba | 黎巴嫩 | √ | √ | 1,000-5,000 |
| com.SingTel.mWallet | 新加坡 | √ | √ | 100,000-500,000 |
| com.suvidhaa.android | 印度 | √ | √ | 50,000-100,000 |
| com.tpago.movil | 墨西哥 | √ | √ | 10,000-50,000 |
| com.useboom.android | 尼日利亚 | √ | √ | 1,000-5,000 |
| com.vanso.gtbankapp | 尼日利亚 | √ | √ | 50,000-100,000 |
