以下是优化后的文本，使其更加清晰、连贯和专业：

---

### SSH 认证失败日志

以下日志记录了从 IP 地址 183.62.140.253 对 `root` 用户进行多次 SSH 认证尝试失败的情况。每次认证失败后，连接都被断开。

#### 事件详情

- **日期时间**：2023年12月10日
- **服务器**：LabSZ
- **IP 地址**：183.62.140.253
- **用户**：root

| 序号 | 时间       | 进程ID | 日志消息                                                                                         |
|------|------------|--------|--------------------------------------------------------------------------------------------------|
| 1365 | 10:58:09   | 25103  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1366 | 10:58:11   | 25103  | root 用户从 183.62.140.253 端口 47331 ssh2 认证失败                                              |
| 1367 | 10:58:11   | 25103  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1368 | 10:58:11   | 25105  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1369 | 10:58:13   | 25105  | root 用户从 183.62.140.253 端口 47653 ssh2 认证失败                                              |
| 1370 | 10:58:13   | 25105  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1371 | 10:58:13   | 25107  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1372 | 10:58:15   | 25107  | root 用户从 183.62.140.253 端口 48088 ssh2 认证失败                                              |
| 1373 | 10:58:15   | 25107  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1374 | 10:58:15   | 25110  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1375 | 10:58:17   | 25110  | root 用户从 183.62.140.253 端口 48505 ssh2 认证失败                                              |
| 1376 | 10:58:17   | 25110  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1377 | 10:58:17   | 25113  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1378 | 10:58:19   | 25113  | root 用户从 183.62.140.253 端口 48911 ssh2 认证失败                                              |
| 1379 | 10:58:19   | 25113  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1380 | 10:58:20   | 25115  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1381 | 10:58:22   | 25115  | root 用户从 183.62.140.253 端口 49345 ssh2 认证失败                                              |
| 1382 | 10:58:22   | 25115  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1383 | 10:58:22   | 25118  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1384 | 10:58:24   | 25118  | root 用户从 183.62.140.253 端口 49810 ssh2 认证失败                                              |
| 1385 | 10:58:24   | 25118  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1386 | 10:58:24   | 25121  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1387 | 10:58:26   | 25121  | root 用户从 183.62.140.253 端口 50215 ssh2 认证失败                                              |
| 1388 | 10:58:26   | 25121  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1389 | 10:58:26   | 25123  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1390 | 10:58:29   | 25123  | root 用户从 183.62.140.253 端口 50545 ssh2 认证失败                                              |
| 1391 | 10:58:29   | 25123  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1392 | 10:58:29   | 25125  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
| 1393 | 10:58:31   | 25125  | root 用户从 183.62.140.253 端口 51094 ssh2 认证失败                                              |
| 1394 | 10:58:31   | 25125  | 收到来自 183.62.140.253 的断开连接请求: 11: Bye Bye [preauth]                                   |
| 1395 | 10:58:31   | 25127  | pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253 user=root |
