以下是优化后的文本，使其更加清晰、连贯和专业：

---

# LeetCode 题目列表

## 字符串操作

1. **20. 有效的括号**
   - 语言: Go
   - 难度: 简单
   - 时间复杂度: O(log n)
   - 空间复杂度: O(1)

2. **22. 括号生成**
   - 语言: Go
   - 难度: 中等
   - 时间复杂度: O(log n)
   - 空间复杂度: O(1)

3. **28. 实现 strStr()**
   - 语言: Go
   - 难度: 简单
   - 时间复杂度: O(u)
   - 空间复杂度: O(1)

4. **30. 串联所有单词的子串**
   - 语言: Go
   - 难度: 困难
   - 时间复杂度: O(u)
   - 空间复杂度: O(u)

5. **49. 字母异位词分组**
   - 语言: Go
   - 难度: 中等
   - 时间复杂度: O(n log n)
   - 空间复杂度: O(n)

6. **71. 简化路径**
   - 语言: GQ
   - 难度: 中等
   - 时间复杂度: O(u)
   - 空间复杂度: O(u)

7. **76. 最小覆盖子串**
   - 语言: Go
   - 难度: 困难
   - 时间复杂度: O(n)
   - 空间复杂度: O(u)

8. **91. 解码方法**
   - 语言: GQ
   - 难度: 中等
   - 时间复杂度: O(u)
   - 空间复杂度: O(n)

9. **93. 复原 IP 地址**
   - 语言: GQ
   - 难度: 中等
   - 时间复杂度: O(u)
   - 空间复杂度: O(n)

10. **125. 验证回文串**
    - 语言: Go
    - 难度: 简单
    - 时间复杂度: O(u)
    - 空间复杂度: O(1)

11. **126. 单词接龙 II**
    - 语言: GQ
    - 难度: 困难
    - 时间复杂度: O(u)
    - 空间复杂度: O(n^2)

12. **344. 反转字符串**
    - 语言: Go
    - 难度: 简单
    - 时间复杂度: O(u)
    - 空间复杂度: O(1)

13. **345. 反转字符串中的元音字母**
    - 语言: Go
    - 难度: 简单
    - 时间复杂度: O(u)
    - 空间复杂度: O(1)

14. **767. 重新组织字符串**
    - 语言: Go
    - 难度: 中等
    - 时间复杂度: O(n log n)
    - 空间复杂度: O(log n)

15. **842. 将数组拆分成斐波那契序列**
    - 语言: Go
    - 难度: 中等
    - 时间复杂度: O(n^2)
    - 空间复杂度: O(1)

16. **856. 括号的分数**
    - 语言: Go
    - 难度: 中等
    - 时间复杂度: O(u)
    - 空间复杂度: O(u)

17. **925. 长按键入**
    - 语言: Go
    - 难度: 简单
    - 时间复杂度: O(u)
    - 空间复杂度: O(1)

18. **1003. 检查替换后的词是否有效**
    - 语言: Go
    - 难度: 中等
    - 时间复杂度: O(u)
    - 空间复杂度: O(1)

## 二叉树操作

1. **94. 二叉树的中序遍历**
   - 语言: Go
   - 难度: 中等
   - 时间复杂度: O(n)
   - 空间复杂度: O(1)

2. **96. 不同的二叉搜索树**
   - 语言: Go
   - 难度: 中等
   - 时间复杂度: O(n^2)
   - 空间复杂度: O(u)

3. **98. 验证二叉搜索树**
   - 语言: Go
   - 难度: 中等
