生成集群，一共144 segments  
3、参数   
```
postgres=# select source,category,name,setting,unit from pg_settings where source<>'default' or name ~ '^gp_' or name ~ '^vitesse' order by source,category,name;
        source        |                       category                       |                    name                     |                                     setting                                      | unit 
----------------------+------------------------------------------------------+---------------------------------------------+----------------------------------------------------------------------------------+------
 client               | Reporting and Logging / What to Log                  | application_name                            | psql                                                                             | 
 command line         | Client Connection Defaults / Locale and Formatting   | TimeZone                                    | PRC                                                                              | 
 command line         | Client Connection Defaults / Locale and Formatting   | timezone_abbreviations                      | Default                                                                          | 
 command line         | Connections and Authentication / Connection Settings | listen_addresses                            | *                                                                                | 
 command line         | Connections and Authentication / Connection Settings | port                                        | 15432                                                                            | 
 command line         | Preset Options                                       | gp_contentid                                | -1                                                                               | 
 command line         | Preset Options                                       | gp_dbid                                     | 1                                                                                | 
 command line         | Preset Options                                       | gp_num_contents_in_cluster                  | 144                                                                              | 
 command line         | Preset Options                                       | gp_standby_dbid                             | 0                                                                                | 
 command line         | Reporting and Logging / What to Log                  | log_timezone                                | PRC                                                                              | 
 configuration file   | Append-Only Tables                                   | max_appendonly_tables                       | 10000                                                                            | 
 configuration file   | Client Connection Defaults / Locale and Formatting   | DateStyle                                   | ISO, MDY                                                                         | 
 configuration file   | Client Connection Defaults / Locale and Formatting   | default_text_search_config                  | pg_catalog.english                                                               | 
 configuration file   | Client Connection Defaults / Locale and Formatting   | lc_messages                                 | en_US.utf8                                                                       | 
 configuration file   | Client Connection Defaults / Locale and Formatting   | lc_monetary                                 | en_US.utf8                                                                       | 
 configuration file   | Client Connection Defaults / Locale and Formatting   | lc_numeric                                  | en_US.utf8                                                                       | 
 configuration file   | Client Connection Defaults / Locale and Formatting   | lc_time                                     | en_US.utf8                                                                       | 
 configuration file   | Connections and Authentication / Connection Settings | max_connections                             | 25                                                                               | 
 configuration file   | Developer Options                                    | gp_autostats_mode                           | ON_NO_STATS                                                                      | 
 configuration file   | Developer Options                                    | gp_autostats_on_change_threshold            | 2147483647                                                                       | 
 configuration file   | Developer Options                                    | gp_backup_directIO                          | off                                                                              | 
 configuration file   | Developer Options                                    | gp_backup_directIO_read_chunk_mb            | 20                                                                               | 
 configuration file   | Greenplum Database / Array Tuning                    | gp_connections_per_thread                   | 0                                                                                | 
 configuration file   | Greenplum Database / Array Tuning                    | gp_interconnect_type                        | UDPIFC                                                                           | 
 configuration file   | Greenplum Database / Array Tuning                    | gp_segment_connect_timeout                  | 600                                                                              | s
 configuration file   | Greenplum Database / Array Tuning                    | gp_xliw_agent_enable                        | off                                                                              | 
 configuration file   | Greenplum Database / Array Tuning                    | gp_xliw_log_level                           | 8                                                                                | 
 configuration file   | Greenplum Database / Array Tuning                    | gp_xliw_unix_path                           | /tmp/xliwagent.socket                                                            | 
 configuration file   | Greenplum Database / Array Tuning                    | gp_xliw_worker_num                          | 2                                                                                | 
 configuration file   | Reporting and Logging / What to Log                  | log_autostats                               | off                                                                              | 
 configuration file   | Reporting and Logging / What to Log                  | log_statement                               | all                                                                              | 
 configuration file   | Resource Usage                                       | max_prepared_transactions                   | 250                                                                              | 
 configuration file   | Resource Usage / Free Space Map                      | max_fsm_pages                               | 200000                                                                           | 
 configuration file   | Resource Usage / Memory                              | gp_vmem_protect_limit                       | 8192                                                                             | 
 configuration file   | Resource Usage / Memory                              | shared_buffers                              | 4000                                                                             | 32kB
 configuration file   | Resource Usage / Resources Management                | gp_resqueue_memory_policy                   | eager_free                                                                       | 
 configuration file   | Statistics / ANALYZE Database Contents               | optimizer_analyze_root_partition            | on                                                                               | 
 default              | Append-Only Tables                                   | gp_appendonly_compaction_threshold          | 10                                                                               | 
 default              | Append-Only Tables                                   | gp_default_storage_options                  | appendonly=false,blocksize=32768,compresstype=none,checksum=true,orientation=row | 
 default              | Client Connection Defaults / Other Defaults          | gp_command_count                            | 26                                                                               | 
 default              | Client Connection Defaults / Other Defaults          | gp_connection_send_timeout                  | 3600                                                                             | 
 default              | Client Connection Defaults / Other Defaults          | gp_role                                     | dispatch                                                                         | 
 default              | Client Connection Defaults / Other Defaults          | gp_session_id                               | 505                                                                              | 
 default              | Client Connection Defaults / Other Defaults          | gp_vmem_idle_resource_timeout               | 18000                                                                            | ms
 default              | Customized Options                                   | gp_hadoop_home                              |                                                                                  | 
 default              | Customized Options                                   | gp_hadoop_target_version                    | hadoop                                                                           | 
 default              | Customized Options                                   | vitesse.copy_dump                           |                                                                                  | 
 default              | Customized Options                                   | vitesse_cpuname                             |                                                                                  | 
 default              | Customized Options                                   | vitesse.dbgbreak_mask                       | 0                                                                                | 
 default              | Customized Options                                   | vitesse.enable                              | on                                                                               | 
