User: 如何保护企业网站免受DDoS攻击？请列举常用的防御措施和工具。
Assistant: 常用的防御措施和工具如下：

1. 增加带宽和硬件资源：增加带宽和硬件资源是防御DDoS攻击的最基本手段之一，可以增加企业系统处理能力，从而抵御部分攻击。

2. 防火墙：防火墙可以识别和过滤恶意数据包，不过由于DDoS攻击的流量是非常庞大的，防火墙的作用被大大削弱。

3. CDN（内容分发网络）：CDN是一种分布式的服务器系统，可以将静态和动态资源缓存到CDN节点上，从而分散攻击流量，缓解攻击影响。

4. WAF（Web应用程序防火墙）：WAF可以监测和过滤HTTP请求和响应，对于一些常见的攻击方式，如SQL注入、XSS攻击等，能有效防止。

5. IDS/IPS（入侵检测和入侵防御系统）：IDS/IPS可以检测和防止攻击，但其作用也会被DDoS攻击流量所限制。

6. 负载均衡：负载均衡可以将流量分散到多台服务器上，从而增加系统处理能力，缓解攻击的影响。

7. 第三方防护服务：一些企业可以选择购买第三方的DDoS防护服务，这些服务提供商拥有强大的防御能力，可以帮助企业抵御大规模的DDoS攻击。
