 POWER_MONITOR_RECOVERED,Power monitor unit [INT32] recovered.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   Chassis [INT32] power monitor unit   [INT32] recovered.（分布式设备－IRF模式）,$1：电源监控模块ID,5,DEV/5/POWER_MONITOR_RECOVERED: Power   monitor unit 1 recovered.,电源监控模块插入后，状态从Failed或者Absent状态转换为OK,无
 POWER_RECOVERED,Power [INT32] recovered.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   Chassis [INT32] power [INT32] recovered.（分布式设备－IRF模式）,$1：电源模块ID（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：设备在IRF中的成员编号（分布式设备－IRF模式）   $2：电源模块ID（分布式设备－IRF模式）,5,DEV/5/POWER_RECOVERED: Power 1 recovered.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）,电源模块插入后，状态从Failed或者Absent状态转换为OK,无
 RPS_ABSENT,RPS [INT32] is absent.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   Chassis [INT32] RPS [INT32] is absent.（分布式设备－IRF模式）,$1：冗余电源模块ID（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：设备在IRF中的成员编号（分布式设备－IRF模式）   $2：冗余电源模块ID（分布式设备－IRF模式）,3,DEV/3/RPS_ABSENT: RPS 1 is absent.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）,冗余电源模块被拔出,1.检查冗余电源模块是否插紧   2.检查冗余电源模块是否损坏   3.重新安装冗余电源模块或更换冗余电源模块
 RPS_NORMAL,RPS [INT32] is normal.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   Chassis [INT32] RPS [INT32] is normal.（分布式设备－IRF模式）,$1：冗余电源模块ID（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：设备在IRF中的成员编号（分布式设备－IRF模式）   $2：冗余电源模块ID（分布式设备－IRF模式）,5,DEV/5/RPS_NORMAL: RPS 1 is normal.（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）,冗余电源模块插入后，状态正常,无
 SUBCARD_FAULT,"Subcard state changed to Fault on [STRING]   subslot [INT32], type is [STRING].",$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：子卡所在的子槽位号   $3：子卡类型,2,"DEV/2/SUBCARD_FAULT: Subcard state   changed to Fault on subslot 1, type is MIM-1ATM-OC3SML.（集中式设备）   DEV/2/SUBCARD_FAULT: Subcard state   changed to Fault on slot 2 subslot 1, type is MIM-1ATM-OC3SML.（分布式设备－独立运行模式）（集中式IRF设备）",子卡重启，稍后，子卡状态转换为Fault，或者子卡故障,1.如果后续子卡状态可以变为Normal，则无需处理   2.如果子卡一直处于Falut状态，则子卡故障，更换子卡
 SUBCARD_INSERTED,"Subcard was inserted in [STRING] subslot [INT32],   type is [STRING].",$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：子卡所在的子槽位号   $3：子卡类型,4,"DEV/4/SUBCARD_INSERTED: Subcard was   inserted in subslot 1, type is MIM-1ATM-OC3SML.（集中式设备）   DEV/4/SUBCARD_INSERTED: Subcard was   inserted in slot 2 subslot 1, type is MIM-1ATM-OC3SML.（分布式设备－独立运行模式）（集中式IRF设备）",一块子卡安装到了指定槽位,无
 SUBCARD_REBOOT,Subcard is rebooting on [STRING] subslot [INT32].,$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：子卡所在的子槽位号,5,DEV/5/SUBCARD_REBOOT: Subcard is   rebooting on subslot 1.（集中式设备）   DEV/5/SUBCARD_REBOOT: Subcard is   rebooting on slot 2 subslot 1.（分布式设备－独立运行模式）（集中式IRF设备）,用户在重启子卡或者子卡因为运行异常自动重启,如果子卡重启后能正常运行，则无需处理。如果您想进一步了解异常重启的原因或者子卡不断自动重启，请联系技术支持
 SUBCARD_REMOVED,"Subcard was removed from [STRING] subslot   [INT32], type is [STRING].",$1：形式为slot xx，表示设备（集中式设备）   $1：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）   $1：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $1：形式为chassis xx slot yy，xx表示设备在IRF中的成员编号，yy表示单板所在的槽位号（分布式设备－IRF模式）   $2：子卡所在的子槽位号   $3：子卡类型,3,"DEV/3/SUBCARD_REMOVED: Subcard was   removed from subslot 1, type is MIM-1ATM-OC3SML.（集中式设备）   DEV/3/SUBCARD_REMOVED: Subcard was   removed from slot 2 subslot 1, type is MIM-1ATM-OC3SML.（分布式设备－独立运行模式）（集中式IRF设备）",一块子卡被拔出,1.检查子卡是否插紧   2.检查子卡是否损坏   3.重新安装子卡或更换子卡
 SYSTEM_REBOOT,System is rebooting now.,无,5,DEV/5/SYSTEM_REBOOT: System is rebooting   now.,用户在重启系统，或者系统因为异常而重启,1.检查是否有用户在重启系统   2.如果没有用户重启，等待系统重新启动后，通过display version命令显示信息中的Last reboot reason字段，查看重启原因   3.如果重启原因为异常重启，请联系技术支持
 TEMPERATURE_ALARM,Temperature is greater than the   high-temperature alarming threshold on [STRING] [STRING] sensor [STRING] [USHOT].   Current temperature is [INT32] degrees centigrade.,$1：不显示该字段（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：形式为chassis xx，xx表示设备在IRF中的成员编号（分布式设备－IRF模式）   $2：形式为slot xx，表示设备（集中式设备）   $2：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）（分布式设备－IRF模式）   $2：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $3：传感器类型   $4：传感器ID   $5：传感器当前的温度，单位为摄氏度,4,DEV/4/TEMPERATURE_ALARM: Temperature is   greater than the high-temperature alarming threshold on sensor inflow 1.（集中式设备）   DEV/4/TEMPERATURE_ALARM: Temperature is   greater than the high-temperature alarming threshold on slot 2 sensor inflow   1.（分布式设备－独立运行模式）（集中式IRF设备）,传感器温度超过了严重级（Alarm）高温告警门限。环境温度太高或者风扇异常,1.检查环境温度是否过高，保持设备环境正常通风   2.display fan命令检查风扇是否不在或故障，以及检查风扇实际是否运转。如果风扇不在位，安装风扇；如果风扇故障，更换风扇
 TEMPERATURE_LOW,Temperature is less than the low-temperature   threshold on [STRING] [STRING] sensor [STRING] [INT32]. Current temperature   is [INT32] degrees centigrade.,$1：不显示该字段（集中式设备）（分布式设备－独立运行模式）（集中式IRF设备）   $1：形式为chassis xx，xx表示设备在IRF中的成员编号（分布式设备－IRF模式）   $2：形式为slot xx，表示设备（集中式设备）   $2：形式为slot xx，xx表示单板所在的槽位号（分布式设备－独立运行模式）（分布式设备－IRF模式）   $2：形式为slot xx，xx表示设备在IRF中的成员编号（集中式IRF设备）   $3：传感器类型   $4：传感器ID   $5：传感器当前的温度，单位为摄氏度,4,DEV/4/TEMPERATURE_LOW: Temperature is   less than the low-temperature threshold on sensor inflow 1.（集中式设备）   DEV/4/TEMPERATURE_LOW: Temperature is   less than the low-temperature threshold on slot 2 sensor inflow 1.（分布式设备－独立运行模式）（集中式IRF设备）,传感器温度低于低温告警门限,环境温度过低，改善环境温度
