CamCard | 6.5.1.9544-6.5.1  
BirthdayBash | 1.2-1.0  
好吃吗 | 2.0.7-2.0  
伊索寓言故事 | 1.0-1.0  
ComingCall | 1.52-1.52  
Superstar2 | 1.0-1.0  
ScramblingSnakes | 1.1.1  
财富 | 2.0  
梦幻战神 | 10.2.2-10.2.2  
都都宝 | 1.2.2.1-1.2.2  
JewelsQuest | 3.8-3.8  
YaYa药师 | 1.1.1-1.1.1  
JewelsQuest2 | 3.39-3.39  
YaYa | 6.4.3-6.4  
WO+创富 | 2.0.6-2.0.4  
2345浏览器 | 4.0.1-4.0.1  
Albums | 292-2.9.2  
豆腐做法大全 | 1.0.0-1.0.0  
PonySalon | 1.0-1.0  
MusicFestivalSalon | 1.0-1.1  
银耳汤做法 | 1.0.0-1.0.0  
财达同花顺 | 2.4.2-2.4.2  
花椒 | 2627-1.3  
舌尖上的美味 | 2.0.1-2.0.0  
鲫鱼做法大全 | 1.0.0-1.0.0  
挖掘机大师3D | 1.0.5.0-1.0.5  
BoatTripSalon | 1.0-1.0  
特色西餐 | 1.0-1.0  
Juniorchefmaster | 1.0-1.1  
炒饭做法大全 | 1.0.0-1.0.0  
心脏病防治 | 1.0.1-1.0.0  
Empireoftheocean | 2.7.1-2.7  
MagicKing | 2.0-2.0  
炒股入门 | 1.0-1.0.3  
星派送 | 1.0-1.0  
智慧树 | 3.9-3.9  
CollectBoys | 1.0-1.0.0  
懒人私房菜 | 2.0.1-2.0.0  
PrincessMakeover | 1.0-1.1  
美味奶茶DIY | 1.0.0-1.0.0  
营养早餐 | 1.0-1.0  
申万宏源 | 1-1.1.6  
一品粥 | 1.0-1.0  
素菜大全 | 1.0-1.0  
公交来了 | 20150715-1.3  
KneeDoctor | 1.0.1.1-1.0.1  
黄瓜做法大全 | 1.0.0  
微调查 | 1432-3.4.5  
中药方剂辞典 | 2.0.0  
ChinessChess | 618-2.6.18  
土豆做法大全 | 1.0.0  
鱼的做法 | 1.0  
冰品饮品DIY | 1.0  
面包做法大全 | 1.0-1.0  
仁和珠宝 | 1.02-1.0  
一日三餐 | 1.0.1-1.0.0  
风云三国2 | 1.0.1  
汽车之友 | 2.0.12-1.40  
AutoWorld | 261-3.1.3  
财新周刊 | 3041-3.0.4  
PDFReaderFree | 2.7.6-2.7.1  
悦耳 | 2.3.2-2.3.2  
AngelFuel | 4.3.0.2-4.3.0  
EFParents | 106-2.0.0  
中搜搜悦 | 5.0.0-5.0.0  
YOHO!有货 | 3.4.0.1508240001-3.4.0  
GNum | 2.3.100000459  
WallPapersHD* | 9.3.5-9.3.5  
TurboInvoice | 2.3.1-2.3  
