### 业务逻辑和设计

1. **特权使用**
   - 设计是否对外部连接/命令使用任何提升的操作系统或系统特权？

2. **API和技术缺陷**
   - 使用的API和技术是否存在已知的缺陷？例如：DWR。

3. **内置安全控制**
   - 设计框架是否提供任何内置的安全控制，如ASP.NET MVC中的控件？应用程序是否利用了这些控件？

4. **特权减少**
   - 特权是否在任何时候都尽可能地减少？

5. **故障处理**
   - 程序是否设计为在出现异常时能够正常失败？

6. **风险分析**
   - 设计是否确定了所有切入点和信任边界，并在风险分析报告中进行了分析？

### 授权

1. **身份验证和授权审计**
   - 身份验证和授权审计的位置是否正确？

2. **无效请求处理**
   - 在无效请求（例如，验证/授权审计失败）后，执行是否停止/终止？

3. **审计执行**
   - 审计是否正确执行？是否存在后门参数？

4. **文件和文件夹审计**
   - 审计是否应用于Web根目录内的所有必需文件和文件夹？

5. **输入安全审计**
   - 在处理输入之前是否进行安全审计？

6. **容器管理的身份验证**
   - 如果是容器管理的身份验证，身份验证是否仅基于Web方法？
   - 身份验证是否适用于所有资源？

7. **密码复杂性审计**
   - 是否对密码执行了复杂性审计？

8. **密码披露**
   - 是否以将密码写入文件、日志或控制台的方式向用户披露密码？

9. **服务器身份验证**
   - 应用程序设计是否要求服务器身份验证（防欺骗措施）？

10. **密码过期**
    - 应用程序是否支持密码过期？

### 会话管理

1. **会话安全性**
   - 设计是否可以安全地处理会话？

2. **会话共享**
   - 设计是否涉及组件/模块之间的会话共享？会话两端是否正确验证？

3. **会话参数**
   - URL中未传递任何会话参数。

4. **会话Cookie过期**
   - 会话Cookie在合理的短时间内过期。

5. **会话Cookie加密**
   - 会话Cookie被加密。

6. **会话数据验证**
   - 会话数据已验证。

7. **会话ID复杂性**
   - 会话ID很复杂。

8. **会话存储安全性**
   - 会话存储是安全的。

9. **会话不活动超时**
   - 会话不活动超时被强制执行。

### 密码学

1. **密码存储**
   - 密码是否以加密格式存储？

2. **数据库凭证存储**
   - 数据库凭证是否以加密格式存储？

