在尝试安装SciPy库的过程中，遇到了多个版本的链接，但其中许多由于与当前Python环境不兼容而被跳过。以下是详细的处理过程：

### 跳过的链接（不兼容）
- **0.13.0-cp34-cp34m-manylinux1_x86_64.whl**
- **0.14.0-cp33-cp33m-manylinux1_x86_64.whl**
- **0.14.0-cp34-cp34m-manylinux1_x86_64.whl**
- **0.17.0-cp35-cp35m-manylinux1_x86_64.whl**
- **0.14.0-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.whl**
- **0.13.1-cp27-cp27m-manylinux1_x86_64.whl**
- **0.16.0-cp35-cp35m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.10.1-cp26-cp26mu-manylinux1_x86_64.whl**
- **0.13.0-cp33-cp33m-manylinux1_x86_64.whl**
- **0.11.0-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.whl**
- **0.17.1-cp27-cp27mu-manylinux1_x86_64.whl**
- **0.12.1-cp27-cp27mu-manylinux1_x86_64.whl**
- **0.17.0-cp35-cp35m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.13.2-cp27-cp27m-manylinux1_x86_64.whl**
- **0.17.1-cp35-cp35m-manylinux1_x86_64.whl**
- **0.10.0-cp27-cp27mu-manylinux1_x86_64.whl**
- **0.13.2-cp26-cp26mu-manylinux1_x86_64.whl**
- **0.15.1-cp26-cp26mu-manylinux1_x86_64.whl**
- **0.16.0-cp27-cp27m-manylinux1_x86_64.whl**
- **0.16.1-cp34-cp34m-manylinux1_x86_64.whl**
- **0.14.1rc1-cp33-cp33m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.11.0-cp27-cp27m-manylinux1_x86_64.whl**
- **0.14.1rc1-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.15.0-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.13.0-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.whl**
- **0.14.0-cp33-cp33m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.15.1-cp27-cp27m-manylinux1_x86_64.whl**
- **0.15.1-cp34-cp34m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.14.1rc1.dev_205726a-cp34-cp34m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.14.0-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.13.1-cp33-cp33m-manylinux1_x86_64.whl**
- **0.15.0-cp26-cp26mu-manylinux1_x86_64.whl**
- **0.15.0-cp27-cp27mu-manylinux1_x86_64.whl**
- **0.14.1rc1.dev_205726a-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.14.1-cp33-cp33m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.13.3-cp33-cp33m-macosx_10_6_intel.whl**
- **0.16.1-cp27-cp27m-manylinux1_x86_64.whl**
- **0.16.1-cp33-cp33m-manylinux1_x86_64.whl**
- **0.10.1-cp27-cp27mu-manylinux1_x86_64.whl**
- **0.14.1-cp33-cp33m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.13.3-cp26-cp26mu-manylinux1_x86_64.whl**
- **0.17.1-cp34-cp34m-manylinux1_x86_64.whl**
- **0.13.2-cp34-cp34m-manylinux1_x86_64.whl**
- **0.14.0-cp33-cp33m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.whl**
- **0.16.1-cp26-cp26mu-manylinux1_x86_64.whl**
- **0.17.0-cp34-cp34m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.15.1-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**
- **0.16.0-cp34-cp34m-manylinux1_x86_64.whl**
- **0.14.1rc1.dev_52fb336-cp34-cp34m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl**

### 找到的链接
- **0.13.0.zip**
- **0.16.1.tar.gz**
- **0.17.0.zip**
- **0.8.0.tar.gz**
- **0.13.1.tar.gz**
- **0.15.1.zip**
- **0.10.0.zip**
- **0.12.1.tar.gz**
- **0.15.0.tar.gz**
- **0.10.0.tar.gz**
- **0.12.1.zip**
- **0.10.1.tar.gz**
- **0.17.1.zip**
- **0.13.3.zip**
- **0.13.2.tar.gz**
- **0.16.1.zip**

### 选择的版本
最终选择了版本 **0.17.1**，并使用缓存中的 `scipy-0.17.1.tar.gz` 文件进行安装。

### 下载和安装
- **下载链接**: 
  - `https://pypi.python.org/packages/05/5e/973bf71cfa865d962a68893e35e366a0a7ac0b713bc398b4e584c1bed982/scipy-0.17.1.tar.gz#md5=8987b9a3e3cd79218a0a423b21c8e4de`
- **运行 `setup.py`**:
  - `python setup.py egg_info`

通过以上步骤，确保了安装的SciPy版本与当前Python环境兼容，并成功完成了安装。
